query_gene,query_uniprot,source,scope,reported_matches,hits_30pct_identity_both_80pct_coverage,hits_40pct_identity_both_80pct_coverage,target,fident,alnlen,qstart,qend,qlen,tstart,tend,tlen,evalue,bits,qcov,tcov
BBC3,Q9BXH1,validation,local,1,1,1,Q9BXH1,1.000,193,1,193,193,1,193,193,1.214E-123,386,1.000,1.000
BBC3,Q9BXH1,validation,both_coverage_80pct,1,1,1,Q9BXH1,1.000,193,1,193,193,1,193,193,1.214E-123,386,1.000,1.000
KEAP1,Q14145,training,local,1,0,0,Q9P2D0,0.209,162,68,224,624,755,916,1353,3.437E-04,42,0.252,0.120
KEAP1,Q14145,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
KEAP1,Q14145,validation,local,1,0,0,O75882,0.216,277,352,596,624,329,605,1429,9.393E-06,48,0.393,0.194
KEAP1,Q14145,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
NFE2L2,Q16236,training,local,0,0,0,,,,,,,,,,,,,
NFE2L2,Q16236,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
NFE2L2,Q16236,validation,local,0,0,0,,,,,,,,,,,,,
NFE2L2,Q16236,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CUL3,Q13618,training,local,5,2,1,Q13618,1.000,768,1,768,768,1,768,768,0.000E+00,1528,1.000,1.000
CUL3,Q13618,training,both_coverage_80pct,4,2,1,Q13618,1.000,768,1,768,768,1,768,768,0.000E+00,1528,1.000,1.000
CUL3,Q13618,validation,local,0,0,0,,,,,,,,,,,,,
CUL3,Q13618,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
SQSTM1,Q13501,training,local,4,1,1,Q13501,1.000,440,1,440,440,1,440,440,6.999E-299,906,1.000,1.000
SQSTM1,Q13501,training,both_coverage_80pct,1,1,1,Q13501,1.000,440,1,440,440,1,440,440,6.999E-299,906,1.000,1.000
SQSTM1,Q13501,validation,local,0,0,0,,,,,,,,,,,,,
SQSTM1,Q13501,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BRCA1,P38398,training,local,49,0,0,Q9BZY9,0.320,103,15,117,1863,7,98,425,3.353E-10,64,0.055,0.216
BRCA1,P38398,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BRCA1,P38398,validation,local,0,0,0,,,,,,,,,,,,,
BRCA1,P38398,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BARD1,Q99728,training,local,105,1,1,Q99728,1.000,777,1,777,777,1,777,777,0.000E+00,1571,1.000,1.000
BARD1,Q99728,training,both_coverage_80pct,1,1,1,Q99728,1.000,777,1,777,777,1,777,777,0.000E+00,1571,1.000,1.000
BARD1,Q99728,validation,local,0,0,0,,,,,,,,,,,,,
BARD1,Q99728,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
PALB2,Q86YC2,training,local,1,1,1,Q86YC2,1.000,1186,1,1186,1186,1,1186,1186,0.000E+00,2374,1.000,1.000
PALB2,Q86YC2,training,both_coverage_80pct,1,1,1,Q86YC2,1.000,1186,1,1186,1186,1,1186,1186,0.000E+00,2374,1.000,1.000
PALB2,Q86YC2,validation,local,0,0,0,,,,,,,,,,,,,
PALB2,Q86YC2,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BRIP1,Q9BX63,training,local,4,1,1,Q9BX63,1.000,1249,1,1249,1249,1,1249,1249,0.000E+00,2526,1.000,1.000
BRIP1,Q9BX63,training,both_coverage_80pct,1,1,1,Q9BX63,1.000,1249,1,1249,1249,1,1249,1249,0.000E+00,2526,1.000,1.000
BRIP1,Q9BX63,validation,local,0,0,0,,,,,,,,,,,,,
BRIP1,Q9BX63,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
KRAS,P01116,training,local,37,5,0,Q92963,0.524,164,3,165,189,21,184,219,3.786E-51,177,0.862,0.749
KRAS,P01116,training,both_coverage_80pct,7,5,0,Q15382,0.371,159,5,162,189,8,166,184,5.342E-30,116,0.836,0.864
KRAS,P01116,validation,local,0,0,0,,,,,,,,,,,,,
KRAS,P01116,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
RAF1,P04049,training,local,211,1,1,P15056,0.567,655,9,647,648,101,755,766,6.668E-223,698,0.986,0.855
RAF1,P04049,training,both_coverage_80pct,1,1,1,P15056,0.567,655,9,647,648,101,755,766,6.668E-223,698,0.986,0.855
RAF1,P04049,validation,local,0,0,0,,,,,,,,,,,,,
RAF1,P04049,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BRAF,P15056,training,local,215,1,1,P15056,1.000,766,1,766,766,1,766,766,0.000E+00,1530,1.000,1.000
BRAF,P15056,training,both_coverage_80pct,1,1,1,P15056,1.000,766,1,766,766,1,766,766,0.000E+00,1530,1.000,1.000
BRAF,P15056,validation,local,0,0,0,,,,,,,,,,,,,
BRAF,P15056,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
ARAF,P10398,training,local,208,0,0,P15056,0.595,602,9,597,606,147,748,766,8.459E-218,681,0.972,0.786
ARAF,P10398,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
ARAF,P10398,validation,local,0,0,0,,,,,,,,,,,,,
ARAF,P10398,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CDK2,P24941,training,local,207,3,3,Q00537,0.534,289,1,289,298,189,476,523,5.170E-99,321,0.970,0.551
CDK2,P24941,training,both_coverage_80pct,3,3,3,Q00534,0.484,295,2,291,298,11,305,326,1.670E-82,273,0.973,0.905
CDK2,P24941,validation,local,0,0,0,,,,,,,,,,,,,
CDK2,P24941,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CCNA2,P20248,training,local,0,0,0,,,,,,,,,,,,,
CCNA2,P20248,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CCNA2,P20248,validation,local,0,0,0,,,,,,,,,,,,,
CCNA2,P20248,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CCNE1,P24864,training,local,0,0,0,,,,,,,,,,,,,
CCNE1,P24864,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CCNE1,P24864,validation,local,0,0,0,,,,,,,,,,,,,
CCNE1,P24864,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CDKN1B,P46527,training,local,0,0,0,,,,,,,,,,,,,
CDKN1B,P46527,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CDKN1B,P46527,validation,local,3,1,1,P46527,1.000,198,1,198,198,1,198,198,9.584E-129,401,1.000,1.000
CDKN1B,P46527,validation,both_coverage_80pct,1,1,1,P46527,1.000,198,1,198,198,1,198,198,9.584E-129,401,1.000,1.000
HIF1A,Q16665,training,local,0,0,0,,,,,,,,,,,,,
HIF1A,Q16665,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
HIF1A,Q16665,validation,local,0,0,0,,,,,,,,,,,,,
HIF1A,Q16665,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
ARNT,P27540,training,local,0,0,0,,,,,,,,,,,,,
ARNT,P27540,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
ARNT,P27540,validation,local,0,0,0,,,,,,,,,,,,,
ARNT,P27540,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
VHL,P40337,training,local,0,0,0,,,,,,,,,,,,,
VHL,P40337,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
VHL,P40337,validation,local,1,1,1,P40337,1.000,213,1,213,213,1,213,213,2.678E-138,430,1.000,1.000
VHL,P40337,validation,both_coverage_80pct,1,1,1,P40337,1.000,213,1,213,213,1,213,213,2.678E-138,430,1.000,1.000
CTNNB1,P35222,training,local,6,1,1,P35222,1.000,781,1,781,781,1,781,781,0.000E+00,1564,1.000,1.000
CTNNB1,P35222,training,both_coverage_80pct,1,1,1,P35222,1.000,781,1,781,781,1,781,781,0.000E+00,1564,1.000,1.000
CTNNB1,P35222,validation,local,0,0,0,,,,,,,,,,,,,
CTNNB1,P35222,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CDH1,P12830,training,local,0,0,0,,,,,,,,,,,,,
CDH1,P12830,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CDH1,P12830,validation,local,27,5,2,P12830,1.000,882,1,882,882,1,882,882,0.000E+00,1785,1.000,1.000
CDH1,P12830,validation,both_coverage_80pct,5,5,2,P12830,1.000,882,1,882,882,1,882,882,0.000E+00,1785,1.000,1.000
CTNNA1,P35221,training,local,3,1,1,P26232,0.782,945,9,905,906,8,952,953,0.000E+00,1391,0.990,0.992
CTNNA1,P35221,training,both_coverage_80pct,1,1,1,P26232,0.782,945,9,905,906,8,952,953,0.000E+00,1391,0.990,0.992
CTNNA1,P35221,validation,local,0,0,0,,,,,,,,,,,,,
CTNNA1,P35221,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TCF7L2,Q9NQB0,training,local,13,1,1,Q9NQB0,1.000,619,1,619,619,1,619,619,0.000E+00,1232,1.000,1.000
TCF7L2,Q9NQB0,training,both_coverage_80pct,1,1,1,Q9NQB0,1.000,619,1,619,619,1,619,619,0.000E+00,1232,1.000,1.000
TCF7L2,Q9NQB0,validation,local,0,0,0,,,,,,,,,,,,,
TCF7L2,Q9NQB0,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TNFRSF1A,P19438,training,local,0,0,0,,,,,,,,,,,,,
TNFRSF1A,P19438,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TNFRSF1A,P19438,validation,local,16,1,1,P19438,1.000,455,1,455,455,1,455,455,6.536E-317,959,1.000,1.000
TNFRSF1A,P19438,validation,both_coverage_80pct,2,1,1,P19438,1.000,455,1,455,455,1,455,455,6.536E-317,959,1.000,1.000
TNF,P01375,training,local,11,1,1,P01375,1.000,233,1,233,233,1,233,233,2.303E-153,474,1.000,1.000
TNF,P01375,training,both_coverage_80pct,1,1,1,P01375,1.000,233,1,233,233,1,233,233,2.303E-153,474,1.000,1.000
TNF,P01375,validation,local,0,0,0,,,,,,,,,,,,,
TNF,P01375,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
LTA,P01374,training,local,7,1,1,P01374,1.000,205,1,205,205,1,205,205,3.551E-135,420,1.000,1.000
LTA,P01374,training,both_coverage_80pct,1,1,1,P01374,1.000,205,1,205,205,1,205,205,3.551E-135,420,1.000,1.000
LTA,P01374,validation,local,0,0,0,,,,,,,,,,,,,
LTA,P01374,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TRADD,Q15628,training,local,2,1,1,Q15628,1.000,312,1,312,312,1,312,312,4.555E-197,605,1.000,1.000
TRADD,Q15628,training,both_coverage_80pct,1,1,1,Q15628,1.000,312,1,312,312,1,312,312,4.555E-197,605,1.000,1.000
TRADD,Q15628,validation,local,0,0,0,,,,,,,,,,,,,
TRADD,Q15628,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BECN1,Q14457,training,local,1,1,1,Q14457,1.000,450,1,450,450,1,450,450,1.419E-294,894,1.000,1.000
BECN1,Q14457,training,both_coverage_80pct,1,1,1,Q14457,1.000,450,1,450,450,1,450,450,1.419E-294,894,1.000,1.000
BECN1,Q14457,validation,local,0,0,0,,,,,,,,,,,,,
BECN1,Q14457,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
ATG14,Q6ZNE5,training,local,1,1,1,Q6ZNE5,1.000,492,1,492,492,1,492,492,9.041E-322,975,1.000,1.000
ATG14,Q6ZNE5,training,both_coverage_80pct,1,1,1,Q6ZNE5,1.000,492,1,492,492,1,492,492,9.041E-322,975,1.000,1.000
ATG14,Q6ZNE5,validation,local,0,0,0,,,,,,,,,,,,,
ATG14,Q6ZNE5,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
UVRAG,Q9P2Y5,training,local,1,1,1,Q9P2Y5,1.000,699,1,699,699,1,699,699,0.000E+00,1395,1.000,1.000
UVRAG,Q9P2Y5,training,both_coverage_80pct,1,1,1,Q9P2Y5,1.000,699,1,699,699,1,699,699,0.000E+00,1395,1.000,1.000
UVRAG,Q9P2Y5,validation,local,0,0,0,,,,,,,,,,,,,
UVRAG,Q9P2Y5,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
