target,group,endpoint,source,pairs,seen,seen_fraction,mean_positive_degree,median_positive_degree
BRCA1,context,partner,validation,150,23,0.15333333333333332,1.8133333333333332,0.0
BRCA1,background,query,training,150,0,0.0,0.0,0.0
BRCA1,background,query,validation,150,0,0.0,0.0,0.0
BRCA1,background,partner,training,150,44,0.29333333333333333,9.88,0.0
BRCA1,background,partner,validation,150,21,0.14,2.8133333333333335,0.0
BRCA1,low_plausibility,query,training,150,0,0.0,0.0,0.0
BRCA1,low_plausibility,query,validation,150,0,0.0,0.0,0.0
BRCA1,low_plausibility,partner,training,150,14,0.09333333333333334,0.6466666666666666,0.0
BRCA1,low_plausibility,partner,validation,150,65,0.43333333333333335,5.153333333333333,0.0
KRAS,P,query,training,3,0,0.0,0.0,0.0
KRAS,P,query,validation,3,0,0.0,0.0,0.0
KRAS,P,partner,training,3,1,0.3333333333333333,11.333333333333334,0.0
KRAS,P,partner,validation,3,0,0.0,0.0,0.0
KRAS,context,query,training,150,0,0.0,0.0,0.0
KRAS,context,query,validation,150,0,0.0,0.0,0.0
KRAS,context,partner,training,150,68,0.4533333333333333,15.886666666666667,0.0
KRAS,context,partner,validation,150,22,0.14666666666666667,2.16,0.0
KRAS,background,query,training,150,0,0.0,0.0,0.0
KRAS,background,query,validation,150,0,0.0,0.0,0.0
KRAS,background,partner,training,150,44,0.29333333333333333,6.886666666666667,0.0
KRAS,background,partner,validation,150,34,0.22666666666666666,4.193333333333333,0.0
KRAS,low_plausibility,query,training,150,0,0.0,0.0,0.0
KRAS,low_plausibility,query,validation,150,0,0.0,0.0,0.0
KRAS,low_plausibility,partner,training,150,24,0.16,5.013333333333334,0.0
KRAS,low_plausibility,partner,validation,150,71,0.47333333333333333,9.766666666666667,0.0
CDK2,P,query,training,3,0,0.0,0.0,0.0
CDK2,P,query,validation,3,0,0.0,0.0,0.0
CDK2,P,partner,training,3,0,0.0,0.0,0.0
CDK2,P,partner,validation,3,1,0.3333333333333333,4.666666666666667,0.0
CDK2,context,query,training,150,0,0.0,0.0,0.0
CDK2,context,query,validation,150,0,0.0,0.0,0.0
CDK2,context,partner,training,150,38,0.25333333333333335,9.173333333333334,0.0
CDK2,context,partner,validation,150,19,0.12666666666666668,2.506666666666667,0.0
CDK2,background,query,training,150,0,0.0,0.0,0.0
CDK2,background,query,validation,150,0,0.0,0.0,0.0
CDK2,background,partner,training,150,30,0.2,7.206666666666667,0.0
CDK2,background,partner,validation,150,29,0.19333333333333333,3.006666666666667,0.0
CDK2,low_plausibility,query,training,150,0,0.0,0.0,0.0
CDK2,low_plausibility,query,validation,150,0,0.0,0.0,0.0
CDK2,low_plausibility,partner,training,150,29,0.19333333333333333,6.766666666666667,0.0
CDK2,low_plausibility,partner,validation,150,47,0.31333333333333335,7.833333333333333,0.0
HIF1A,P,query,training,3,0,0.0,0.0,0.0
HIF1A,P,query,validation,3,0,0.0,0.0,0.0
HIF1A,P,partner,training,3,0,0.0,0.0,0.0
HIF1A,P,partner,validation,3,1,0.3333333333333333,33.0,0.0
HIF1A,context,query,training,150,0,0.0,0.0,0.0
HIF1A,context,query,validation,150,0,0.0,0.0,0.0
HIF1A,context,partner,training,150,36,0.24,12.7,0.0
HIF1A,context,partner,validation,150,15,0.1,1.6066666666666667,0.0
HIF1A,background,query,training,150,0,0.0,0.0,0.0
HIF1A,background,query,validation,150,0,0.0,0.0,0.0
HIF1A,background,partner,training,150,24,0.16,3.6266666666666665,0.0
HIF1A,background,partner,validation,150,19,0.12666666666666668,2.546666666666667,0.0
HIF1A,low_plausibility,query,training,150,0,0.0,0.0,0.0
HIF1A,low_plausibility,query,validation,150,0,0.0,0.0,0.0
HIF1A,low_plausibility,partner,training,150,24,0.16,6.053333333333334,0.0
HIF1A,low_plausibility,partner,validation,150,39,0.26,6.466666666666667,0.0
CTNNB1,P,query,training,3,3,1.0,289.0,289.0
CTNNB1,P,query,validation,3,0,0.0,0.0,0.0
CTNNB1,P,partner,training,3,1,0.3333333333333333,20.0,0.0
CTNNB1,P,partner,validation,3,1,0.3333333333333333,41.333333333333336,0.0
CTNNB1,context,query,training,150,150,1.0,289.0,289.0
CTNNB1,context,query,validation,150,0,0.0,0.0,0.0
CTNNB1,context,partner,training,150,35,0.23333333333333334,6.42,0.0
CTNNB1,context,partner,validation,150,23,0.15333333333333332,2.7733333333333334,0.0
CTNNB1,background,query,training,150,150,1.0,289.0,289.0
CTNNB1,background,query,validation,150,0,0.0,0.0,0.0
CTNNB1,background,partner,training,150,42,0.28,9.06,0.0
CTNNB1,background,partner,validation,150,28,0.18666666666666668,2.8,0.0
CTNNB1,low_plausibility,query,training,150,150,1.0,289.0,289.0
CTNNB1,low_plausibility,query,validation,150,0,0.0,0.0,0.0
CTNNB1,low_plausibility,partner,training,150,21,0.14,3.4066666666666667,0.0
CTNNB1,low_plausibility,partner,validation,150,71,0.47333333333333333,9.473333333333333,0.0
TNFRSF1A,P,query,training,3,0,0.0,0.0,0.0
TNFRSF1A,P,query,validation,3,3,1.0,58.0,58.0
TNFRSF1A,P,partner,training,3,3,1.0,45.666666666666664,45.0
TNFRSF1A,P,partner,validation,3,0,0.0,0.0,0.0
TNFRSF1A,context,query,training,150,0,0.0,0.0,0.0
TNFRSF1A,context,query,validation,150,150,1.0,58.0,58.0
TNFRSF1A,context,partner,training,150,25,0.16666666666666666,2.8066666666666666,0.0
TNFRSF1A,context,partner,validation,150,40,0.26666666666666666,4.153333333333333,0.0
TNFRSF1A,background,query,training,150,0,0.0,0.0,0.0
TNFRSF1A,background,query,validation,150,150,1.0,58.0,58.0
TNFRSF1A,background,partner,training,150,28,0.18666666666666668,4.3933333333333335,0.0
TNFRSF1A,background,partner,validation,150,40,0.26666666666666666,3.8333333333333335,0.0
TNFRSF1A,low_plausibility,query,training,150,0,0.0,0.0,0.0
TNFRSF1A,low_plausibility,query,validation,150,150,1.0,58.0,58.0
TNFRSF1A,low_plausibility,partner,training,150,45,0.3,12.633333333333333,0.0
TNFRSF1A,low_plausibility,partner,validation,150,27,0.18,4.373333333333333,0.0
BECN1,P,query,training,3,3,1.0,87.0,87.0
BECN1,P,query,validation,3,0,0.0,0.0,0.0
BECN1,P,partner,training,3,2,0.6666666666666666,17.333333333333332,24.0
BECN1,P,partner,validation,3,1,0.3333333333333333,11.0,0.0
BECN1,context,query,training,150,150,1.0,87.0,87.0
BECN1,context,query,validation,150,0,0.0,0.0,0.0
BECN1,context,partner,training,150,45,0.3,9.96,0.0
BECN1,context,partner,validation,150,33,0.22,3.5733333333333333,0.0
BECN1,background,query,training,150,150,1.0,87.0,87.0
BECN1,background,query,validation,150,0,0.0,0.0,0.0
BECN1,background,partner,training,150,29,0.19333333333333333,5.84,0.0
BECN1,background,partner,validation,150,32,0.21333333333333335,4.3533333333333335,0.0
BECN1,low_plausibility,query,training,150,150,1.0,87.0,87.0
BECN1,low_plausibility,query,validation,150,0,0.0,0.0,0.0
BECN1,low_plausibility,partner,training,150,26,0.17333333333333334,6.493333333333333,0.0
BECN1,low_plausibility,partner,validation,150,53,0.35333333333333333,7.52,0.0
