query_gene,partner_gene,query_uniprot,partner_uniprot,class,U_stratum,original_tuna_prior_pair,prior_train_development_pair,query_training_accession_positive_degree,query_training_accession_sampled_negative_degree,query_training_exact_sequence_positive_degree,query_training_exact_sequence_sampled_negative_degree,query_validation_accession_positive_degree,query_validation_accession_sampled_negative_degree,query_validation_exact_sequence_positive_degree,query_validation_exact_sequence_sampled_negative_degree,partner_training_accession_positive_degree,partner_training_accession_sampled_negative_degree,partner_training_exact_sequence_positive_degree,partner_training_exact_sequence_sampled_negative_degree,partner_validation_accession_positive_degree,partner_validation_accession_sampled_negative_degree,partner_validation_exact_sequence_positive_degree,partner_validation_exact_sequence_sampled_negative_degree,partner_training_seen,partner_positive_degree,partner_positive_degree_fraction
ERN1,ESYT1,O75460,Q9BSJ8,U,context,False,False,24,26,24,26,0,0,0,0,53,56,53,56,0,0,0,0,1,53,0.4864864864864865
ERN1,RNF103,O75460,O00237,U,context,False,False,24,26,24,26,0,0,0,0,7,7,7,7,0,0,0,0,1,7,0.5
ERN1,AMFR,O75460,Q9UKV5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,RNF145,O75460,Q96MT1,U,context,False,False,24,26,24,26,0,0,0,0,10,9,10,9,0,0,0,0,1,10,0.5238095238095238
ERN1,SLC37A2,O75460,Q8TED4,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SEZ6L,O75460,Q9BYH1,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0.5
ERN1,CANX,O75460,P27824,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CLSTN2,O75460,Q9H4D0,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP7A1,O75460,P22680,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ATP2A2,O75460,P16615,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PNPLA8,O75460,Q9NP80,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CREB3L1,O75460,Q96BA8,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ATP8B1,O75460,O43520,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,HHATL,O75460,Q9HCP6,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TRPM8,O75460,Q7Z2W7,U,context,False,False,24,26,24,26,0,0,0,0,6,4,6,4,0,0,0,0,1,6,0.5833333333333334
ERN1,JPH1,O75460,Q9HDC5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ROBO1,O75460,Q9Y6N7,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,WLS,O75460,Q5T9L3,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SLC27A4,O75460,Q6P1M0,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,RFT1,O75460,Q96AA3,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DHCR24,O75460,Q15392,U,context,False,False,24,26,24,26,0,0,0,0,23,28,23,28,0,0,0,0,1,23,0.4528301886792453
ERN1,CLGN,O75460,O14967,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,72,54,72,54,0,0,0.5
ERN1,LBR,O75460,Q14739,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,33,31,33,31,0,0,0.5
ERN1,GRAMD1A,O75460,Q96CP6,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ERMP1,O75460,Q7Z2K6,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,36,37,36,37,0,0,0.5
ERN1,SLC30A1,O75460,Q9Y6M5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ANO5,O75460,Q75V66,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DSE,O75460,Q9UL01,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,13,14,13,14,0,0,0.5
ERN1,CSPG5,O75460,O95196,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,8,12,8,12,0,0,0.5
ERN1,RHBDF2,O75460,Q6PJF5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,39,37,39,37,0,0,0.5
ERN1,TMEM67,O75460,Q5HYA8,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,35,45,35,45,0,0,0.5
ERN1,ANKLE2,O75460,Q86XL3,U,context,False,False,24,26,24,26,0,0,0,0,53,53,53,53,0,0,0,0,1,53,0.5
ERN1,SEMA4B,O75460,Q9NPR2,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,12,16,12,16,0,0,0.5
ERN1,ARCN1,O75460,P48444,U,background,False,False,24,26,24,26,0,0,0,0,49,45,49,45,0,0,0,0,1,49,0.5208333333333334
ERN1,INTS3,O75460,Q68E01,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DCAF8L2,O75460,P0C7V8,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DCLRE1C,O75460,Q96SD1,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0.5
ERN1,SYN1,O75460,P17600,U,background,False,False,24,26,24,26,0,0,0,0,20,32,20,32,0,0,0,0,1,20,0.3888888888888889
ERN1,TGM1,O75460,P22735,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,39,38,39,38,0,0,0.5
ERN1,NLRP10,O75460,Q86W26,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,1,8,1,8,0,0,0.5
ERN1,LGALS3BP,O75460,Q08380,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,NCOA2,O75460,Q15596,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CTNND1,O75460,O60716,U,background,False,False,24,26,24,26,0,0,0,0,60,81,60,81,0,0,0,0,1,60,0.42657342657342656
ERN1,FLYWCH1,O75460,Q4VC44,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0.5
ERN1,ANO8,O75460,Q9HCE9,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PRKD1,O75460,Q15139,U,background,False,False,24,26,24,26,0,0,0,0,40,56,40,56,0,0,0,0,1,40,0.41836734693877553
ERN1,ZNF546,O75460,Q86UE3,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,NPHP4,O75460,O75161,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DENND1A,O75460,Q8TEH3,U,background,False,False,24,26,24,26,0,0,0,0,31,38,31,38,0,0,0,0,1,31,0.4507042253521127
ERN1,ENTPD2,O75460,Q9Y5L3,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,EXO1,O75460,Q9UQ84,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ITGA6,O75460,P23229,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DLL4,O75460,Q9NR61,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ANKRD13C,O75460,Q8N6S4,U,background,False,False,24,26,24,26,0,0,0,0,3,3,3,3,0,0,0,0,1,3,0.5
ERN1,EPHA6,O75460,Q9UF33,U,background,False,False,24,26,24,26,0,0,0,0,3,4,3,4,0,0,0,0,1,3,0.4444444444444444
ERN1,CYP1B1,O75460,Q16678,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0.5
ERN1,SESN3,O75460,P58005,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,AP1G2,O75460,O75843,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,MARK4,O75460,Q96L34,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ZSWIM6,O75460,Q9HCJ5,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0.5
ERN1,MAP3K11,O75460,Q16584,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SLC22A10,O75460,Q63ZE4,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,STK31,O75460,Q9BXU1,U,background,False,False,24,26,24,26,0,0,0,0,3,5,3,5,0,0,0,0,1,3,0.4
ERN1,FAM91A1,O75460,Q658Y4,U,background,False,False,24,26,24,26,0,0,0,0,32,46,32,46,0,0,0,0,1,32,0.4125
ERN1,DLAT,O75460,P10515,U,background,False,False,24,26,24,26,0,0,0,0,54,54,54,54,0,0,0,0,1,54,0.5
ERN1,SLC6A4,O75460,P31645,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CCDC14,O75460,Q49A88,U,background,False,False,24,26,24,26,0,0,0,0,60,58,60,58,0,0,0,0,1,60,0.5083333333333333
ERN1,EIF4G3,O75460,O43432,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,NUP160,O75460,Q12769,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,28,29,28,29,0,0,0.5
ERN1,ADAM11,O75460,O75078,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PLAG1,O75460,Q6DJT9,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,REXO1,O75460,Q8N1G1,U,background,False,False,24,26,24,26,0,0,0,0,2,2,2,2,0,0,0,0,1,2,0.5
ERN1,ACVRL1,O75460,P37023,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ZNF287,O75460,Q9HBT7,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TFRC,O75460,P02786,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,KCNH1,O75460,O95259,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,4,9,4,9,0,0,0.5
ERN1,DIAPH1,O75460,O60610,U,background,False,False,24,26,24,26,0,0,0,0,28,47,28,47,0,0,0,0,1,28,0.37662337662337664
ERN1,PHTF2,O75460,Q8N3S3,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PGLYRP2,O75460,Q96PD5,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PHACTR4,O75460,Q8IZ21,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,10,17,10,17,0,0,0.5
ERN1,KANK1,O75460,Q14678,U,background,False,False,24,26,24,26,0,0,0,0,14,20,14,20,0,0,0,0,1,14,0.4166666666666667
ERN1,ROCK2,O75460,O75116,U,background,False,False,24,26,24,26,0,0,0,0,30,53,30,53,0,0,0,0,1,30,0.36470588235294116
ERN1,POGLUT1,O75460,Q8NBL1,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,7,8,7,8,0,0,0.5
ERN1,SIRT6,O75460,Q8N6T7,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ATG14,O75460,Q6ZNE5,U,context,False,False,24,26,24,26,0,0,0,0,24,27,24,27,0,0,0,0,1,24,0.4716981132075472
ERN1,MTMR9,O75460,Q96QG7,U,context,False,False,24,26,24,26,0,0,0,0,22,32,22,32,0,0,0,0,1,22,0.4107142857142857
ERN1,PRSS50,O75460,Q9UI38,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0.5
ERN1,SCYL1,O75460,Q96KG9,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TRIM32,O75460,Q13049,U,context,False,False,24,26,24,26,0,0,0,0,55,58,55,58,0,0,0,0,1,55,0.48695652173913045
ERN1,NHLRC1,O75460,Q6VVB1,U,context,False,False,24,26,24,26,0,0,0,0,6,1,6,1,0,0,0,0,1,6,0.7777777777777778
ERN1,SULF2,O75460,Q8IWU5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP2C18,O75460,P33260,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TESPA1,O75460,A2RU30,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5
ERN1,CYP26A1,O75460,O43174,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP2F1,O75460,P24903,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,NPHS2,O75460,Q9NP85,U,context,False,False,24,26,24,26,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0.75
ERN1,CYP2J2,O75460,P51589,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0.5
ERN1,ASPSCR1,O75460,Q9BZE9,U,context,False,False,24,26,24,26,0,0,0,0,24,25,24,25,0,0,0,0,1,24,0.49019607843137253
ERN1,PDIA4,O75460,P13667,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,RSAD2,O75460,Q8WXG1,U,context,False,False,24,26,24,26,0,0,0,0,13,6,13,6,0,0,0,0,1,13,0.6666666666666666
ERN1,RCN3,O75460,Q96D15,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,KLHL14,O75460,Q9P2G3,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CALR,O75460,P27797,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,89,89,89,89,0,0,0.5
ERN1,SEC24D,O75460,O94855,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PLOD3,O75460,O60568,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,35,49,35,49,0,0,0.5
ERN1,SRP68,O75460,Q9UHB9,U,context,False,False,24,26,24,26,0,0,0,0,40,45,40,45,0,0,0,0,1,40,0.47126436781609193
ERN1,LGI1,O75460,O95970,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,13,15,13,15,0,0,0.5
ERN1,GASK1A,O75460,Q9UFP1,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,RASGRP1,O75460,O95267,U,context,False,False,24,26,24,26,0,0,0,0,2,4,2,4,0,0,0,0,1,2,0.375
ERN1,AZIN2,O75460,Q96A70,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,DDN,O75460,O94850,U,context,False,False,24,26,24,26,0,0,0,0,3,4,3,4,0,0,0,0,1,3,0.4444444444444444
ERN1,COLGALT1,O75460,Q8NBJ5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,P3H1,O75460,Q32P28,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CTTN,O75460,Q14247,U,context,False,False,24,26,24,26,0,0,0,0,97,86,97,86,0,0,0,0,1,97,0.5297297297297298
ERN1,MMP27,O75460,Q9H306,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP26B1,O75460,Q9NR63,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,7,2,7,2,0,0,0.5
ERN1,PIP4K2C,O75460,Q8TBX8,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP3A43,O75460,Q9HB55,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,LSG1,O75460,Q9H089,U,context,False,False,24,26,24,26,0,0,0,0,31,21,31,21,0,0,0,0,1,31,0.5925925925925926
ERN1,AHCY,O75460,P23526,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,NCK2,O75460,O43639,U,context,False,False,24,26,24,26,0,0,0,0,90,63,90,63,0,0,0,0,1,90,0.5870967741935483
ERN1,UBA5,O75460,Q9GZZ9,U,context,False,False,24,26,24,26,0,0,0,0,33,28,33,28,0,0,0,0,1,33,0.5396825396825397
ERN1,CYP2W1,O75460,Q8TAV3,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SQSTM1,O75460,Q13501,U,context,False,False,24,26,24,26,0,0,0,0,316,283,316,283,0,0,0,0,1,316,0.5274542429284526
ERN1,UFL1,O75460,O94874,U,context,False,False,24,26,24,26,0,0,0,0,286,220,286,220,0,0,0,0,1,286,0.5649606299212598
ERN1,POFUT1,O75460,Q9H488,U,context,False,False,24,26,24,26,0,0,0,0,9,9,9,9,0,0,0,0,1,9,0.5
ERN1,ZC3H12A,O75460,Q5D1E8,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CLEC18A,O75460,A5D8T8,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0.5
ERN1,GORASP2,O75460,Q9H8Y8,U,context,False,False,24,26,24,26,0,0,0,0,88,101,88,101,0,0,0,0,1,88,0.46596858638743455
ERN1,HYAL3,O75460,O43820,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP1A1,O75460,P04798,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,LPIN1,O75460,Q14693,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TMC8,O75460,Q8IU68,U,background,False,False,24,26,24,26,0,0,0,0,2,2,2,2,0,0,0,0,1,2,0.5
ERN1,DLX2,O75460,Q07687,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,5,9,5,9,0,0,0.5
ERN1,ETV6,O75460,P41212,U,background,False,False,24,26,24,26,0,0,0,0,26,40,26,40,0,0,0,0,1,26,0.39705882352941174
ERN1,OSBPL10,O75460,Q9BXB5,U,background,False,False,24,26,24,26,0,0,0,0,15,20,15,20,0,0,0,0,1,15,0.43243243243243246
ERN1,HLX,O75460,Q14774,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0.5
ERN1,MMP15,O75460,P51511,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,12,9,12,9,0,0,0.5
ERN1,PELI2,O75460,Q9HAT8,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TEKT3,O75460,Q9BXF9,U,background,False,False,24,26,24,26,0,0,0,0,12,11,12,11,0,0,0,0,1,12,0.52
ERN1,NFKBIZ,O75460,Q9BYH8,U,background,False,False,24,26,24,26,0,0,0,0,4,6,4,6,0,0,0,0,1,4,0.4166666666666667
ERN1,HAPLN1,O75460,P10915,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CATSPERG,O75460,Q6ZRH7,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CASS4,O75460,Q9NQ75,U,background,False,False,24,26,24,26,0,0,0,0,17,6,17,6,0,0,0,0,1,17,0.72
ERN1,CPNE2,O75460,Q96FN4,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ZBTB49,O75460,Q6ZSB9,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ITGAM,O75460,P11215,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ZNF687,O75460,Q8N1G0,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,GNAQ,O75460,P50148,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,QKI,O75460,Q96PU8,U,background,False,False,24,26,24,26,0,0,0,0,56,62,56,62,0,0,0,0,1,56,0.475
ERN1,FOLH1,O75460,Q04609,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,POLRMT,O75460,O00411,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,45,31,45,31,0,0,0.5
ERN1,TTLL2,O75460,Q9BWV7,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ADAM22,O75460,Q9P0K1,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,4,8,4,8,0,0,0.5
ERN1,CPB2,O75460,Q96IY4,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ODAD4,O75460,Q96NG3,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PPM1B,O75460,O75688,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,26,30,26,30,0,0,0.5
ERN1,GPC4,O75460,O75487,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,OTOP1,O75460,Q7RTM1,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ERVS71-1,O75460,P61550,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TGFBRAP1,O75460,Q8WUH2,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,8,13,8,13,0,0,0.5
ERN1,CA12,O75460,O43570,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0.5
ERN1,CAMK1,O75460,Q14012,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,RABEPK,O75460,Q7Z6M1,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,LRRC8B,O75460,Q6P9F7,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,TTC39A,O75460,Q5SRH9,U,background,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
