query_gene,partner_gene,query_uniprot,partner_uniprot,class,panel_row,training_accession_labels,training_exact_sequence_labels,validation_accession_labels,validation_exact_sequence_labels
ERN1,ZNF287,O75460,Q9HBT7,U,96,,,,
ERN1,TFRC,O75460,P02786,U,97,,,,
ERN1,KCNH1,O75460,O95259,U,98,,,,
ERN1,DIAPH1,O75460,O60610,U,99,,,,
ERN1,PHTF2,O75460,Q8N3S3,U,100,,,,
ERN1,PGLYRP2,O75460,Q96PD5,U,101,,,,
ERN1,PHACTR4,O75460,Q8IZ21,U,102,,,,
ERN1,KANK1,O75460,Q14678,U,103,,,,
ERN1,ROCK2,O75460,O75116,U,104,,,,
ERN1,POGLUT1,O75460,Q8NBL1,U,105,,,,
ERN1,SIRT6,O75460,Q8N6T7,U,106,,,,
ERN1,ATG14,O75460,Q6ZNE5,U,107,,,,
ERN1,MTMR9,O75460,Q96QG7,U,108,,,,
ERN1,PRSS50,O75460,Q9UI38,U,109,,,,
ERN1,SCYL1,O75460,Q96KG9,U,110,,,,
ERN1,TRIM32,O75460,Q13049,U,111,,,,
ERN1,NHLRC1,O75460,Q6VVB1,U,112,,,,
ERN1,SULF2,O75460,Q8IWU5,U,113,,,,
ERN1,CYP2C18,O75460,P33260,U,114,,,,
ERN1,TESPA1,O75460,A2RU30,U,115,,,,
ERN1,CYP26A1,O75460,O43174,U,116,,,,
ERN1,CYP2F1,O75460,P24903,U,117,,,,
ERN1,NPHS2,O75460,Q9NP85,U,118,,,,
ERN1,CYP2J2,O75460,P51589,U,119,,,,
ERN1,ASPSCR1,O75460,Q9BZE9,U,120,,,,
ERN1,PDIA4,O75460,P13667,U,121,,,,
ERN1,RSAD2,O75460,Q8WXG1,U,122,,,,
ERN1,RCN3,O75460,Q96D15,U,123,,,,
ERN1,KLHL14,O75460,Q9P2G3,U,124,,,,
ERN1,CALR,O75460,P27797,U,125,,,,
ERN1,SEC24D,O75460,O94855,U,126,,,,
ERN1,PLOD3,O75460,O60568,U,127,,,,
ERN1,SRP68,O75460,Q9UHB9,U,128,,,,
ERN1,LGI1,O75460,O95970,U,129,,,,
ERN1,GASK1A,O75460,Q9UFP1,U,130,,,,
ERN1,RASGRP1,O75460,O95267,U,131,,,,
ERN1,AZIN2,O75460,Q96A70,U,132,,,,
ERN1,DDN,O75460,O94850,U,133,,,,
ERN1,COLGALT1,O75460,Q8NBJ5,U,134,,,,
ERN1,P3H1,O75460,Q32P28,U,135,,,,
ERN1,CTTN,O75460,Q14247,U,136,,,,
ERN1,MMP27,O75460,Q9H306,U,137,,,,
ERN1,CYP26B1,O75460,Q9NR63,U,138,,,,
ERN1,PIP4K2C,O75460,Q8TBX8,U,139,,,,
ERN1,CYP3A43,O75460,Q9HB55,U,140,,,,
ERN1,LSG1,O75460,Q9H089,U,141,,,,
ERN1,AHCY,O75460,P23526,U,142,,,,
ERN1,NCK2,O75460,O43639,U,143,,,,
ERN1,UBA5,O75460,Q9GZZ9,U,144,,,,
ERN1,CYP2W1,O75460,Q8TAV3,U,145,,,,
ERN1,SQSTM1,O75460,Q13501,U,146,,,,
ERN1,UFL1,O75460,O94874,U,147,,,,
ERN1,POFUT1,O75460,Q9H488,U,148,,,,
ERN1,ZC3H12A,O75460,Q5D1E8,U,149,,,,
ERN1,CLEC18A,O75460,A5D8T8,U,150,,,,
ERN1,GORASP2,O75460,Q9H8Y8,U,151,,,,
ERN1,HYAL3,O75460,O43820,U,152,,,,
ERN1,CYP1A1,O75460,P04798,U,153,,,,
ERN1,LPIN1,O75460,Q14693,U,154,,,,
ERN1,TMC8,O75460,Q8IU68,U,155,,,,
ERN1,DLX2,O75460,Q07687,U,156,,,,
ERN1,ETV6,O75460,P41212,U,157,,,,
ERN1,OSBPL10,O75460,Q9BXB5,U,158,,,,
ERN1,HLX,O75460,Q14774,U,159,,,,
ERN1,MMP15,O75460,P51511,U,160,,,,
ERN1,PELI2,O75460,Q9HAT8,U,161,,,,
ERN1,TEKT3,O75460,Q9BXF9,U,162,,,,
ERN1,NFKBIZ,O75460,Q9BYH8,U,163,,,,
ERN1,HAPLN1,O75460,P10915,U,164,,,,
ERN1,CATSPERG,O75460,Q6ZRH7,U,165,,,,
ERN1,CASS4,O75460,Q9NQ75,U,166,,,,
ERN1,CPNE2,O75460,Q96FN4,U,167,,,,
ERN1,ZBTB49,O75460,Q6ZSB9,U,168,,,,
ERN1,ITGAM,O75460,P11215,U,169,,,,
ERN1,ZNF687,O75460,Q8N1G0,U,170,,,,
ERN1,GNAQ,O75460,P50148,U,171,,,,
ERN1,QKI,O75460,Q96PU8,U,172,,,,
ERN1,FOLH1,O75460,Q04609,U,173,,,,
ERN1,POLRMT,O75460,O00411,U,174,,,,
ERN1,TTLL2,O75460,Q9BWV7,U,175,,,,
ERN1,ADAM22,O75460,Q9P0K1,U,176,,,,
ERN1,CPB2,O75460,Q96IY4,U,177,,,,
ERN1,ODAD4,O75460,Q96NG3,U,178,,,,
ERN1,PPM1B,O75460,O75688,U,179,,,,
ERN1,GPC4,O75460,O75487,U,180,,,,
ERN1,OTOP1,O75460,Q7RTM1,U,181,,,,
ERN1,ERVS71-1,O75460,P61550,U,182,,,,
ERN1,TGFBRAP1,O75460,Q8WUH2,U,183,,,,
ERN1,CA12,O75460,O43570,U,184,,,,
ERN1,CAMK1,O75460,Q14012,U,185,,,,
ERN1,RABEPK,O75460,Q7Z6M1,U,186,,,,
ERN1,LRRC8B,O75460,Q6P9F7,U,187,,,,
ERN1,TTC39A,O75460,Q5SRH9,U,188,,,,
ERN1,ARK2C,O75460,Q6ZSG1,U,189,,,,
ERN1,BEND7,O75460,Q8N7W2,U,190,,,,
ERN1,TOB1,O75460,P50616,U,191,,,,
ERN1,CDC37,O75460,Q16543,U,192,,,,
ERN1,CCDC39,O75460,Q9UFE4,U,193,,,,
ERN1,TRPS1,O75460,Q9UHF7,U,194,,,,
ERN1,RFX6,O75460,Q8HWS3,U,195,,,,
ERN1,TEX11,O75460,Q8IYF3,U,196,,,,
ERN1,COL23A1,O75460,Q86Y22,U,197,,,,
ERN1,SNX9,O75460,Q9Y5X1,U,198,,,,
ERN1,SLC6A7,O75460,Q99884,U,199,,,,
ERN1,RARG,O75460,P13631,U,200,,,,
ERN1,EPM2A,O75460,B3EWF7,U,201,,,,
ERN1,POU3F3,O75460,P20264,U,202,,,,
ERN1,PNMA3,O75460,Q9UL41,U,203,,,,
ERN1,TJAP1,O75460,Q5JTD0,U,204,,,,
ERN1,HMGCLL1,O75460,Q8TB92,U,205,,,,
ERN1,PDIA5,O75460,Q14554,U,206,,,,
ERN1,ATG4B,O75460,Q9Y4P1,U,207,,,,
ERN1,PSMF1,O75460,Q92530,U,208,,,,
ERN1,UBXN4,O75460,Q92575,U,209,,,,
ERN1,HSD17B3,O75460,P37058,U,210,,,,
ERN1,LOXL2,O75460,Q9Y4K0,U,211,,,,
ERN1,RINT1,O75460,Q6NUQ1,U,212,,,,
ERN1,JMJD8,O75460,Q96S16,U,213,,,,
ERN1,CES3,O75460,Q6UWW8,U,214,,,,
ERN1,TP53,O75460,P04637,U,215,,,,
ERN1,FKBP10,O75460,Q96AY3,U,216,,,,
ERN1,ZFYVE1,O75460,Q9HBF4,U,217,,,,
ERN1,MAPK8IP1,O75460,Q9UQF2,U,218,,,,
ERN1,PNKD,O75460,Q8N490,U,219,,,,
ERN1,AUP1,O75460,Q9Y679,U,220,,,,
ERN1,GIMAP8,O75460,Q8ND71,U,221,,,,
ERN1,DNASE1L3,O75460,Q13609,U,222,,,,
ERN1,HSPA13,O75460,P48723,U,223,,,,
ERN1,HSP90B1,O75460,P14625,U,224,,,,
ERN1,RAP1GDS1,O75460,P52306,U,225,,,,
ERN1,PRDX4,O75460,Q13162,U,226,,,,
ERN1,CALU,O75460,O43852,U,227,,,,
ERN1,PLCD4,O75460,Q9BRC7,U,228,,,,
ERN1,CERCAM,O75460,Q5T4B2,U,229,,,,
ERN1,PKMYT1,O75460,Q99640,U,230,,,,
ERN1,CYP2C9,O75460,P11712,U,231,,,,
ERN1,SCP2,O75460,P22307,U,232,,,,
ERN1,ERP44,O75460,Q9BS26,U,233,,,,
ERN1,POGLUT2,O75460,Q6UW63,U,234,,,,
ERN1,HAP1,O75460,P54257,U,235,,,,
ERN1,EOGT,O75460,Q5NDL2,U,236,,,,
ERN1,CRELD2,O75460,Q6UXH1,U,237,,,,
ERN1,TRAPPC12,O75460,Q8WVT3,U,238,,,,
ERN1,MAPKAP1,O75460,Q9BPZ7,U,239,,,,
ERN1,CYP2B6,O75460,P20813,U,240,,,,
ERN1,NPLOC4,O75460,Q8TAT6,U,241,,,,
ERN1,SPAST,O75460,Q9UBP0,U,242,,,,
ERN1,PPT1,O75460,P50897,U,243,,,,
ERN1,PROC,O75460,P04070,U,244,,,,
ERN1,TREX1,O75460,Q9NSU2,U,245,,,,
ERN1,CHI3L1,O75460,P36222,U,246,,,,
ERN1,ASB11,O75460,Q8WXH4,U,247,,,,
ERN1,TXNDC5,O75460,Q8NBS9,U,248,,,,
ERN1,TXNDC16,O75460,Q9P2K2,U,249,,,,
ERN1,DHDDS,O75460,Q86SQ9,U,250,,,,
ERN1,CYP4F2,O75460,P78329,U,251,,,,
ERN1,FKBP9,O75460,O95302,U,252,,,,
ERN1,P4HA3,O75460,Q7Z4N8,U,253,,,,
ERN1,CASQ1,O75460,P31415,U,254,,,,
ERN1,LRRC8A,O75460,Q8IWT6,U,255,,,,
ERN1,MRPL1,O75460,Q9BYD6,U,256,,,,
ERN1,MAMLD1,O75460,Q13495,U,257,,,,
ERN1,GALE,O75460,Q14376,U,258,,,,
ERN1,CHRDL1,O75460,Q9BU40,U,259,,,,
ERN1,TRAIP,O75460,Q9BWF2,U,260,,,,
ERN1,CLOCK,O75460,O15516,U,261,,,,
ERN1,CCDC154,O75460,A6NI56,U,262,,,,
ERN1,C1QBP,O75460,Q07021,U,263,,,,
ERN1,BLZF1,O75460,Q9H2G9,U,264,0,0,,
ERN1,KLF10,O75460,Q13118,U,265,,,,
ERN1,FBXL5,O75460,Q9UKA1,U,266,,,,
ERN1,HEXD,O75460,Q8WVB3,U,267,,,,
ERN1,LYPLA1,O75460,O75608,U,268,,,,
ERN1,EPHX2,O75460,P34913,U,269,,,,
ERN1,HSF2BP,O75460,O75031,U,270,,,,
ERN1,STT3A,O75460,P46977,U,271,,,,
ERN1,WIF1,O75460,Q9Y5W5,U,272,,,,
ERN1,PDE1B,O75460,Q01064,U,273,,,,
ERN1,ALDH9A1,O75460,P49189,U,274,,,,
ERN1,CASP9,O75460,P55211,U,275,,,,
ERN1,OSCAR,O75460,Q8IYS5,U,276,,,,
ERN1,FSHR,O75460,P23945,U,277,,,,
ERN1,PLPP1,O75460,O14494,U,278,,,,
ERN1,CD1C,O75460,P29017,U,279,,,,
ERN1,HTR1A,O75460,P08908,U,280,,,,
ERN1,RECQL,O75460,P46063,U,281,,,,
ERN1,C1QC,O75460,P02747,U,282,,,,
ERN1,STK38L,O75460,Q9Y2H1,U,283,,,,
ERN1,RUBCNL,O75460,Q9H714,U,284,,,,
ERN1,MEIS3P2,O75460,A8K0S8,U,285,,,,
ERN1,GORAB,O75460,Q5T7V8,U,286,,,,
ERN1,ZNF724,O75460,A8MTY0,U,287,,,,
ERN1,PLEKHA3,O75460,Q9HB20,U,288,,,,
ERN1,CXCR6,O75460,O00574,U,289,,,,
ERN1,ITGB5,O75460,P18084,U,290,,,,
ERN1,PARS2,O75460,Q7L3T8,U,291,,,,
ERN1,AJUBA,O75460,Q96IF1,U,292,,,,
ERN1,RNF169,O75460,Q8NCN4,U,293,,,,
ERN1,CFAP263,O75460,Q9H0I3,U,294,,,,
ERN1,PITX1,O75460,P78337,U,295,,,,
ERN1,EEF1A1,O75460,P68104,U,296,,,,
ERN1,GHSR,O75460,Q92847,U,297,,,,
ERN1,MS4A10,O75460,Q96PG2,U,298,,,,
ERN1,CILK1,O75460,Q9UPZ9,U,299,,,,
ERN1,RAB21,O75460,Q9UL25,U,300,,,,
ERN1,RTP1,O75460,P59025,U,301,,,,
ERN1,LDLRAD3,O75460,Q86YD5,U,302,,,,
ERN1,PSG7,O75460,Q13046,U,303,,,,
ERN1,MMP17,O75460,Q9ULZ9,U,304,,,,
ERN1,UBE2J2,O75460,Q8N2K1,U,305,,,,
ERN1,UGT1A8,O75460,Q9HAW9,U,306,,,,
ERN1,JPH2,O75460,Q9BR39,U,307,,,,
ERN1,DOLK,O75460,Q9UPQ8,U,308,,,,
ERN1,HLA-DQB2,O75460,P05538,U,309,,,,
ERN1,EMC3,O75460,Q9P0I2,U,310,,,,
ERN1,PIGT,O75460,Q969N2,U,311,,,,
ERN1,RCE1,O75460,Q9Y256,U,312,,,,
ERN1,TLR3,O75460,O15455,U,313,,,,
ERN1,SLC39A7,O75460,Q92504,U,314,,,,
ERN1,SHISA2,O75460,Q6UWI4,U,315,,,,
ERN1,SLC37A3,O75460,Q8NCC5,U,316,,,,
ERN1,ATL1,O75460,Q8WXF7,U,317,,,,
ERN1,TMEM174,O75460,Q8WUU8,U,318,,,,
ERN1,DPY19L3,O75460,Q6ZPD9,U,319,,,,
ERN1,MOXD1,O75460,Q6UVY6,U,320,,,,
ERN1,UGT1A10,O75460,Q9HAW8,U,321,,,,
ERN1,RNF43,O75460,Q68DV7,U,322,,,,
ERN1,CTDNEP1,O75460,O95476,U,323,,,,
ERN1,TAAR1,O75460,Q96RJ0,U,324,,,,
ERN1,HLA-DRB1,O75460,P01911,U,325,,,,
ERN1,RNF139,O75460,Q8WU17,U,326,,,,
ERN1,GRAMD1C,O75460,Q8IYS0,U,327,,,,
ERN1,LPCAT2,O75460,Q7L5N7,U,328,,,,
ERN1,FICD,O75460,Q9BVA6,U,329,,,,
ERN1,MSMO1,O75460,Q15800,U,330,,,,
ERN1,ACSL3,O75460,O95573,U,331,,,,
ERN1,HSD11B1,O75460,P28845,U,332,,,,
ERN1,ALG9,O75460,Q9H6U8,U,333,,,,
ERN1,PIGZ,O75460,Q86VD9,U,334,,,,
ERN1,DMPK,O75460,Q09013,U,335,,,,
ERN1,UGT2B7,O75460,P16662,U,336,,,,
ERN1,SARAF,O75460,Q96BY9,U,337,,,,
ERN1,CYP4F22,O75460,Q6NT55,U,338,,,,
ERN1,ATP6AP2,O75460,O75787,U,339,,,,
ERN1,KCNK2,O75460,O95069,U,340,,,,
ERN1,DEGS2,O75460,Q6QHC5,U,341,,,,
ERN1,VMP1,O75460,Q96GC9,U,342,,,,
ERN1,TMC6,O75460,Q7Z403,U,343,,,,
ERN1,HSD17B7,O75460,P56937,U,344,,,,
ERN1,ATF6B,O75460,Q99941,U,345,,,,
ERN1,YIF1A,O75460,O95070,U,346,,,,
ERN1,TRIM59,O75460,Q8IWR1,U,347,,,,
ERN1,DOLPP1,O75460,Q86YN1,U,348,,,,
ERN1,TMCC3,O75460,Q9ULS5,U,349,,,,
ERN1,ELOVL4,O75460,Q9GZR5,U,350,,,,
ERN1,CYP19A1,O75460,P11511,U,351,,,,
ERN1,TEX264,O75460,Q9Y6I9,U,352,,,,
ERN1,LMAN1,O75460,P49257,U,353,,,,
ERN1,SLC35D3,O75460,Q5M8T2,U,354,,,,
ERN1,CAP2,O75460,P40123,U,355,,,,
ERN1,GRIA2,O75460,P42262,U,356,,,,
ERN1,PICK1,O75460,Q9NRD5,U,357,,,,
ERN1,AHCYL1,O75460,O43865,U,358,,,,
ERN1,RABEP1,O75460,Q15276,U,359,,,,
ERN1,EBF3,O75460,Q9H4W6,U,360,,,,
ERN1,LHX2,O75460,P50458,U,361,,,,
ERN1,PAK1IP1,O75460,Q9NWT1,U,362,,,,
ERN1,ANXA11,O75460,P50995,U,363,,,,
ERN1,PSMC1,O75460,P62191,U,364,,,,
ERN1,EFHD2,O75460,Q96C19,U,365,,,,
ERN1,MCM6,O75460,Q14566,U,366,,,,
ERN1,DNAJB5,O75460,O75953,U,367,,,,
ERN1,SLC5A4,O75460,Q9NY91,U,368,,,,
ERN1,GLRX3,O75460,O76003,U,369,,,,
ERN1,GPR88,O75460,Q9GZN0,U,370,,,,
ERN1,DAW1,O75460,Q8N136,U,371,,,,
ERN1,DERA,O75460,Q9Y315,U,372,,,,
ERN1,POGLUT3,O75460,Q7Z4H8,U,373,,,,
ERN1,SAGE1,O75460,Q9NXZ1,U,374,,,,
ERN1,CYP4F12,O75460,Q9HCS2,U,375,,,,
ERN1,SYDE1,O75460,Q6ZW31,U,376,,,,
ERN1,PLEKHA1,O75460,Q9HB21,U,377,,,,
ERN1,CNST,O75460,Q6PJW8,U,378,,,,
ERN1,KCNA7,O75460,Q96RP8,U,379,,,,
ERN1,ZYG11B,O75460,Q9C0D3,U,380,,,,
ERN1,STOML2,O75460,Q9UJZ1,U,381,,,,
ERN1,MAPK14,O75460,Q16539,U,382,,,,
ERN1,MS4A14,O75460,Q96JA4,U,383,,,,
ERN1,WTIP,O75460,A6NIX2,U,384,,,,
ERN1,MTF1,O75460,Q14872,U,385,,,,
ERN1,KCNC1,O75460,P48547,U,386,,,,
ERN1,ZNF443,O75460,Q9Y2A4,U,387,,,,
ERN1,SPMIP4,O75460,Q8N865,U,388,,,,
ERN1,DNAJC17,O75460,Q9NVM6,U,389,,,,
ERN1,TRAF1,O75460,Q13077,U,390,,,,
ERN1,SP9,O75460,P0CG40,U,391,,,,
ERN1,SLCO4A1,O75460,Q96BD0,U,392,,,,
ERN1,FGFRL1,O75460,Q8N441,U,393,,,,
ERN1,EOMES,O75460,O95936,U,394,,,,
ERN1,EYA1,O75460,Q99502,U,395,,,,
ERN1,SIM2,O75460,Q14190,U,396,,,,
ERN1,GBA1,O75460,P04062,U,397,,,,
ERN1,SIRT2,O75460,Q8IXJ6,U,398,,,,
ERN1,SPIDR,O75460,Q14159,U,399,,,,
ERN1,SLC35A3,O75460,Q9Y2D2,U,400,,,,
ERN1,PURA,O75460,Q00577,U,401,,,,
ERN1,PKD2L1,O75460,Q9P0L9,U,402,,,,
ERN1,METAP1,O75460,P53582,U,403,,,,
ERN1,SFRP5,O75460,Q5T4F7,U,404,,,,
TP53,MDM2,P04637,Q00987,P,1,,,,
TP53,MDM4,P04637,O15151,P,2,,,,
TP53,EP300,P04637,Q09472,P,3,,,,
TP53,ZNF778,P04637,Q96MU6,U,4,,,,
TP53,ZNF583,P04637,Q96ND8,U,5,,,,
TP53,KANSL3,P04637,Q9P2N6,U,6,,,,
TP53,ZFP69,P04637,Q49AA0,U,7,,,,
TP53,POLGARF,P04637,A0A3B3IS91,U,8,,,,
TP53,ACD,P04637,Q96AP0,U,9,,,,
TP53,PHF10,P04637,Q8WUB8,U,10,,,,
TP53,RBFOX2,P04637,O43251,U,11,,,,
TP53,FEZF2,P04637,Q8TBJ5,U,12,,,,
TP53,ACTB,P04637,P60709,U,13,,,,
TP53,CCNE2,P04637,O96020,U,14,,,,
TP53,ZNF440,P04637,Q8IYI8,U,15,,,,
TP53,CRNKL1,P04637,Q9BZJ0,U,16,,,,
TP53,ZNF784,P04637,Q8NCA9,U,17,,,,
TP53,NUFIP2,P04637,Q7Z417,U,18,,,,
TP53,RPS6,P04637,P62753,U,19,,,,
TP53,ZNF724,P04637,A8MTY0,U,20,,,,
TP53,BRD2,P04637,P25440,U,21,,,,
TP53,TRAIP,P04637,Q9BWF2,U,22,,,,
TP53,COPS7B,P04637,Q9H9Q2,U,23,,,,
TP53,HOXB5,P04637,P09067,U,24,,,,
TP53,DPH1,P04637,Q9BZG8,U,25,,,,
TP53,POLD2,P04637,P49005,U,26,,,,
TP53,ALKBH1,P04637,Q13686,U,27,,,,
TP53,SP2,P04637,Q02086,U,28,,,,
TP53,NASP,P04637,P49321,U,29,,,,
TP53,NSMCE1,P04637,Q8WV22,U,30,,,,
TP53,RNGTT,P04637,O60942,U,31,,,,
TP53,ARIH1,P04637,Q9Y4X5,U,32,,,,
TP53,SMU1,P04637,Q2TAY7,U,33,,,,
TP53,ATXN1,P04637,P54253,U,34,,,,
TP53,NET1,P04637,Q7Z628,U,35,,,,
TP53,ANAPC5,P04637,Q9UJX4,U,36,,,,
TP53,FGD2,P04637,Q7Z6J4,U,37,,,,
TP53,PLEKHO1,P04637,Q53GL0,U,38,,,,
TP53,ZNF585A,P04637,Q6P3V2,U,39,,,,
TP53,ZNF2,P04637,Q9BSG1,U,40,,,,
TP53,RPS6KA3,P04637,P51812,U,41,,,,
TP53,TLE6,P04637,Q9H808,U,42,,,,
TP53,TUBD1,P04637,Q9UJT1,U,43,,,,
TP53,MX2,P04637,P20592,U,44,,,,
TP53,RAD52,P04637,P43351,U,45,,,,
TP53,UNKL,P04637,Q9H9P5,U,46,,,,
TP53,NUP107,P04637,P57740,U,47,,,,
TP53,ELL,P04637,P55199,U,48,,,,
TP53,GCAT,P04637,O75600,U,49,,,,
TP53,DUX4,P04637,Q9UBX2,U,50,,,,
TP53,AFMID,P04637,Q63HM1,U,51,,,,
TP53,ZNF230,P04637,Q9UIE0,U,52,,,,
TP53,WDR77,P04637,Q9BQA1,U,53,,,,
TP53,RASL12,P04637,Q9NYN1,U,54,,,,
TP53,ZNF780B,P04637,Q9Y6R6,U,55,,,,
TP53,WDR83,P04637,Q9BRX9,U,56,,,,
TP53,ADGRF4,P04637,Q8IZF3,U,57,,,,
TP53,EXOSC10,P04637,Q01780,U,58,,,,
TP53,ACTR3B,P04637,Q9P1U1,U,59,,,,
TP53,FIGNL2,P04637,A6NMB9,U,60,,,,
TP53,ANXA11,P04637,P50995,U,61,,,,
TP53,GRM2,P04637,Q14416,U,62,,,,
TP53,KCNK18,P04637,Q7Z418,U,63,,,,
TP53,C1QTNF3,P04637,Q9BXJ4,U,64,,,,
TP53,DCAF12L2,P04637,Q5VW00,U,65,,,,
TP53,CAPNS1,P04637,P04632,U,66,,,,
TP53,PHYHD1,P04637,Q5SRE7,U,67,,,,
TP53,ANKRD1,P04637,Q15327,U,68,,,,
TP53,ADAM30,P04637,Q9UKF2,U,69,,,,
TP53,GCNT4,P04637,Q9P109,U,70,,,,
TP53,AGPAT2,P04637,O15120,U,71,,,,
