query_gene,partner_gene,partner_uniprot,model,score,rank_min,rank_max,rank_mid,panel_size,top10_fractional_credit,fraction_U_outranked_half_ties,matched_100U_concordance,matched_context_50U_concordance,matched_background_50U_concordance,development_exposed_positive,homomeric
EGFR,GRB2,P62993,ipin_baseline,-1.6319588820139568,76,76,76.0,303,0.0,0.7533333333333333,0.78,0.84,0.72,False,False
EGFR,SHC1,P29353,ipin_baseline,-2.3526440461476645,190,190,190.0,303,0.0,0.37666666666666665,0.33,0.34,0.32,False,False
EGFR,CBL,P22681,ipin_baseline,-1.5951319535573323,67,67,67.0,303,0.0,0.78,0.75,0.68,0.82,False,False
EGFR,GRB2,P62993,ipin_optimized,-1.8957593441009521,93,93,93.0,303,0.0,0.6933333333333334,0.69,0.8,0.58,False,False
EGFR,SHC1,P29353,ipin_optimized,-2.27628763516744,127,127,127.0,303,0.0,0.5866666666666667,0.57,0.6,0.54,False,False
EGFR,CBL,P22681,ipin_optimized,-2.13212513923645,116,116,116.0,303,0.0,0.62,0.64,0.6,0.68,False,False
EGFR,GRB2,P62993,tuna_original,0.807906985282898,5,5,5.0,303,1.0,0.9933333333333333,1.0,1.0,1.0,False,False
EGFR,SHC1,P29353,tuna_original,0.8374773859977722,2,2,2.0,303,1.0,1.0,1.0,1.0,1.0,False,False
EGFR,CBL,P22681,tuna_original,0.853426456451416,1,1,1.0,303,1.0,1.0,1.0,1.0,1.0,False,False
EGFR,GRB2,P62993,tuna_retrained,-7.295586585998535,20,20,20.0,303,0.0,0.9366666666666666,0.9,0.94,0.86,False,False
EGFR,SHC1,P29353,tuna_retrained,-8.561941464742025,65,65,65.0,303,0.0,0.79,0.82,0.86,0.78,False,False
EGFR,CBL,P22681,tuna_retrained,-10.382659276326498,165,165,165.0,303,0.0,0.46,0.45,0.54,0.36,False,False
BCL2,BCL2L11,O43521,ipin_baseline,-0.9792822400728861,12,12,12.0,303,0.0,0.9666666666666667,0.97,0.98,0.96,False,False
BCL2,BAD,Q92934,ipin_baseline,-1.266326904296875,27,27,27.0,303,0.0,0.92,0.9,0.92,0.88,False,False
BCL2,BBC3,Q9BXH1,ipin_baseline,-0.21183940892418227,3,3,3.0,303,1.0,0.9933333333333333,0.99,1.0,0.98,False,False
BCL2,BCL2L11,O43521,ipin_optimized,0.7513763507207235,7,7,7.0,303,1.0,0.98,0.98,0.98,0.98,False,False
BCL2,BAD,Q92934,ipin_optimized,0.3422282934188843,15,15,15.0,303,0.0,0.96,0.96,0.94,0.98,False,False
BCL2,BBC3,Q9BXH1,ipin_optimized,0.5386053224404653,9,9,9.0,303,1.0,0.9766666666666667,0.96,0.98,0.94,False,False
BCL2,BCL2L11,O43521,tuna_original,0.6817493438720703,50,50,50.0,303,0.0,0.84,0.9,0.92,0.88,False,False
BCL2,BAD,Q92934,tuna_original,0.48476284742355347,158,158,158.0,303,0.0,0.48333333333333334,0.45,0.48,0.42,False,False
BCL2,BBC3,Q9BXH1,tuna_original,0.7704581618309021,16,16,16.0,303,0.0,0.95,0.93,0.98,0.88,False,False
BCL2,BCL2L11,O43521,tuna_retrained,-3.922259251276652,18,18,18.0,303,0.0,0.9433333333333334,0.93,0.94,0.92,False,False
BCL2,BAD,Q92934,tuna_retrained,-4.508002281188965,25,25,25.0,303,0.0,0.9233333333333333,0.92,0.94,0.9,False,False
BCL2,BBC3,Q9BXH1,tuna_retrained,-6.492899258931478,90,90,90.0,303,0.0,0.71,0.66,0.7,0.62,False,False
KEAP1,NFE2L2,Q16236,ipin_baseline,-1.4846925735473633,177,177,177.0,303,0.0,0.4166666666666667,0.39,0.28,0.5,False,False
KEAP1,CUL3,Q13618,ipin_baseline,-1.6863672733306885,203,203,203.0,303,0.0,0.3333333333333333,0.39,0.3,0.48,False,False
KEAP1,SQSTM1,Q13501,ipin_baseline,0.25287104149659473,7,7,7.0,303,1.0,0.98,0.96,0.96,0.96,True,False
KEAP1,NFE2L2,Q16236,ipin_optimized,-0.9663161834081014,221,221,221.0,303,0.0,0.2733333333333333,0.32,0.1,0.54,False,False
KEAP1,CUL3,Q13618,ipin_optimized,0.1590913931528727,106,106,106.0,303,0.0,0.6533333333333333,0.68,0.58,0.78,False,False
KEAP1,SQSTM1,Q13501,ipin_optimized,2.1253724098205566,6,6,6.0,303,1.0,0.9833333333333333,0.97,0.96,0.98,True,False
KEAP1,NFE2L2,Q16236,tuna_original,0.508673906326294,153,153,153.0,303,0.0,0.5,0.5,0.36,0.64,False,False
KEAP1,CUL3,Q13618,tuna_original,0.5333703756332397,115,115,115.0,303,0.0,0.6233333333333333,0.73,0.72,0.74,False,False
KEAP1,SQSTM1,Q13501,tuna_original,0.6626248359680176,3,3,3.0,303,1.0,0.9933333333333333,1.0,1.0,1.0,True,False
KEAP1,NFE2L2,Q16236,tuna_retrained,-6.935651938120524,218,218,218.0,303,0.0,0.2833333333333333,0.32,0.2,0.44,False,False
KEAP1,CUL3,Q13618,tuna_retrained,-6.580003579457601,187,187,187.0,303,0.0,0.38333333333333336,0.46,0.36,0.56,False,False
KEAP1,SQSTM1,Q13501,tuna_retrained,-5.522786617279053,95,95,95.0,303,0.0,0.6866666666666666,0.67,0.58,0.76,True,False
BRCA1,BARD1,Q99728,ipin_baseline,-0.5525114337603251,16,16,16.0,303,0.0,0.95,0.92,0.92,0.92,False,False
BRCA1,PALB2,Q86YC2,ipin_baseline,-1.759886344273885,132,132,132.0,303,0.0,0.5666666666666667,0.52,0.44,0.6,False,False
BRCA1,BRIP1,Q9BX63,ipin_baseline,-1.826077143351237,145,145,145.0,303,0.0,0.5266666666666666,0.52,0.46,0.58,False,False
BRCA1,BARD1,Q99728,ipin_optimized,-0.03799167275428772,15,15,15.0,303,0.0,0.9533333333333334,0.91,0.9,0.92,False,False
BRCA1,PALB2,Q86YC2,ipin_optimized,-0.563131054242452,38,38,38.0,303,0.0,0.88,0.91,0.88,0.94,False,False
BRCA1,BRIP1,Q9BX63,ipin_optimized,-1.0274316569169362,82,82,82.0,303,0.0,0.7366666666666667,0.75,0.66,0.84,False,False
BRCA1,BARD1,Q99728,tuna_original,0.6228072643280029,8,8,8.0,303,1.0,0.9766666666666667,0.99,1.0,0.98,False,False
BRCA1,PALB2,Q86YC2,tuna_original,0.5864367485046387,32,32,32.0,303,0.0,0.9033333333333333,0.82,0.74,0.9,False,False
BRCA1,BRIP1,Q9BX63,tuna_original,0.6213306188583374,10,10,10.0,303,1.0,0.9733333333333334,0.98,0.98,0.98,False,False
BRCA1,BARD1,Q99728,tuna_retrained,-5.600692431131999,26,26,26.0,303,0.0,0.92,0.95,0.94,0.96,False,False
BRCA1,PALB2,Q86YC2,tuna_retrained,-4.2183451652526855,3,3,3.0,303,1.0,0.9933333333333333,0.99,1.0,0.98,False,False
BRCA1,BRIP1,Q9BX63,tuna_retrained,-5.81093708674113,33,33,33.0,303,0.0,0.9,0.93,0.92,0.94,False,False
