target,partner_uniprot,partner_sequence_sha256,anchor_positive_uniprot,U_stratum,partner_length,anchor_compartment,anchor_transmembrane,partner_transmembrane,partner_subcellular_location,meets_anchor_context_rule
ERN1,Q9P246,7d3d403ed450488ce8eee2cb47983ed953898efe40dce6647c3a78730adc7a8e,O75460,context,746,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16860747, ECO:0000269|PubMed:17905723, ECO:0000269|PubMed:18160041}; Single-pass type I membrane protein {ECO:0000269|PubMed:16860747, ECO:0000269|PubMed:17905723, ECO:0000269|PubMed:18160041}. Note=Dynamically translocates from a uniform endoplasmic reticulum distribution to punctual endoplasmic reticulum-plasma membrane junctions in response to decrease in endoplasmic reticulum Ca(2+) concentration.",True
ERN1,Q96HA1,ad9228d8eec6db259b63fefaf104c9e125cfffdfd7dbfdafa6c05516e68e6707,O75460,context,1249,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:17900573}. Nucleus membrane {ECO:0000269|PubMed:17900573}; Single-pass membrane protein {ECO:0000269|PubMed:17900573}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Stably associated with the NPC throughout interphase and the endoplasmic reticulum during metaphase. {ECO:0000250}.",True
ERN1,Q9HBI6,fa76ad53937714cb7af37a17cdcffaebdf10c91590afe68fb0ef4f7b1d69c21c,O75460,context,524,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18065749}; Single-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000269|PubMed:18065749}; Single-pass membrane protein {ECO:0000305}.,True
ERN1,Q96KA5,9543c42c9a190d7665df58599c141dcbc946ff753aaa6a3294694595d4615ef3,O75460,context,538,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:35344438}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q13563,6c891357d9b76430f334a5059d64247f2c2a09b4fe5c018a22e9a05c108bb0ae,O75460,context,968,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:18695040, ECO:0000269|PubMed:20881056, ECO:0000269|PubMed:27259053}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368, ECO:0000269|PubMed:29899465, ECO:0000269|PubMed:30093605}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:10760273, ECO:0000269|PubMed:11854751, ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:20881056, ECO:0000269|PubMed:28092368, ECO:0000305|PubMed:10913159}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368, ECO:0000269|PubMed:29899465, ECO:0000269|PubMed:30093605}. Cell membrane {ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:19556541, ECO:0000269|PubMed:26269590, ECO:0000269|PubMed:27071085, ECO:0000269|PubMed:27214281, ECO:0000269|PubMed:27259053, ECO:0000269|PubMed:28092368, ECO:0000269|PubMed:29899465, ECO:0000269|PubMed:30093605}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368, ECO:0000269|PubMed:29899465, ECO:0000269|PubMed:30093605}. Basolateral cell membrane {ECO:0000269|PubMed:10770959}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:10770959}. Golgi apparatus {ECO:0000250|UniProtKB:O35245}. Vesicle {ECO:0000269|PubMed:37681898}. Secreted, extracellular exosome {ECO:0000269|PubMed:37681898}. Note=PKD2 localization to the plasma and ciliary membranes requires PKD1. PKD1:PKD2 interaction is required to reach the Golgi apparatus form endoplasmic reticulum and then traffic to the cilia (By similarity). Retained in the endoplasmic reticulum by interaction with PACS1 and PACS2 (PubMed:15692563). Detected on kidney tubule basolateral membranes and basal cytoplasmic vesicles (PubMed:10770959). Cell surface and cilium localization requires GANAB (PubMed:27259053). Detected on migrasomes and on extracellular exosomes in urine (PubMed:21406692). Preferentially localized to the dorsal side of immotile cilia (By similarity). {ECO:0000250|UniProtKB:O35245, ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:21406692, ECO:0000269|PubMed:27259053}.",True
ERN1,Q8IW70,d22ccf9fdf2e7351924c4d78818ab7b5aea4d84b24cb6f6693f2af86f1983456,O75460,context,566,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8N4L1}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8N4L1}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000250|UniProtKB:Q8N4L1}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q9BSJ8,5d2df2a81cbede929b47affc1e51d954a2952851fe3e9b0d2def0cfa23286161,O75460,context,1104,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29469807}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:29469807}; Peripheral membrane protein {ECO:0000269|PubMed:29469807}. Note=Localizes primarily to the endoplasmic reticulum (PubMed:29469807). Recruited to sites of contact between the endoplasmic reticulum and the cell membrane in response to increased cytosolic calcium levels (PubMed:22250200, PubMed:29469807). {ECO:0000269|PubMed:22250200, ECO:0000269|PubMed:29469807}.",True
ERN1,O00237,de514c18a7442552a8885cc4a76deb8d0e235cd100cde75ebb96e1e9d59b19eb,O75460,context,685,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18675248}; Multi-pass membrane protein {ECO:0000269|PubMed:18675248}.,True
ERN1,Q9UKV5,aa75de0f227794926334937190f6e61a10fa1b6e21d2177305819def8c6fdf58,O75460,context,643,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11724934, ECO:0000269|PubMed:22728137, ECO:0000269|PubMed:36593296}; Multi-pass membrane protein {ECO:0000269|PubMed:11724934}. Note=Palmitoylation promotes localization to the peripheral endoplasmic reticulum. {ECO:0000269|PubMed:22728137}.",True
ERN1,Q96MT1,9c483986da1005cd3cf58901f277668e809f41979d7ace7d384c6c31a26e333c,O75460,context,663,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q5SWK7}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q8TED4,733787b506467b22506fab05f28bf1809eeaf020fe9a2c6e6c199f00ab04e66c,O75460,context,501,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21949678}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q9BYH1,94a7db9f2b412b698434b82578857c439bacf8578452eae5fc3bde5fbd2aef46,O75460,context,1024,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,True
ERN1,P27824,68375565de7ba112ea4f0b26d019ffdc01c2fbd8b04149921677b4f26df1f1ea,O75460,context,592,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22314232}; Single-pass type I membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:P24643}; Single-pass type I membrane protein {ECO:0000255}. Melanosome membrane {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}; Single-pass type I membrane protein {ECO:0000255}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545, PubMed:17081065). The palmitoylated form preferentially localizes to the perinuclear rough ER (PubMed:22314232). Localizes to endoplasmic reticulum mitochondria-associated membrane (MAMs) that connect the endoplasmic reticulum and the mitochondria (By similarity). {ECO:0000250|UniProtKB:P24643, ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:22314232}.",True
ERN1,Q9H4D0,b18ce4f9a4b621957ccb9ffbbac60c8cabea99279e21d0bddbcba3a5e8e7edd9,O75460,context,955,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9ER65}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9ER65}; Single-pass type I membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9ER65}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9ER65}. Note=Most prominent in the postsynaptic specializations of asymmetric (type I) synapses with both axodendritic and axospinous localization. {ECO:0000250|UniProtKB:Q9ER65}.",True
ERN1,P22680,996cc0bbc33f589266ba536b8442741ee686816dbceb0611f32ace76144f001a,O75460,context,504,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:2384150}; Single-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:2384150}; Single-pass membrane protein {ECO:0000305}.",True
ERN1,P16615,b70cdec6cd43cdcdf11909033159e3c13c0c2556f6b71f1e884f5fa5a2fafb99,O75460,context,1042,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O55143}; Multi-pass membrane protein {ECO:0000255}. Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:12804600}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with FLVCR2 at the mitochondrial-ER contact junction. {ECO:0000250|UniProtKB:O55143}.,True
ERN1,Q9NP80,c9e2230d45885621cea8bc314116f27930c2d6541cdc253c141397db0d3f4852,O75460,context,782,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q5XTS1}; Single-pass membrane protein {ECO:0000305|PubMed:10744668, ECO:0000305|PubMed:10833412}. Mitochondrion membrane {ECO:0000305|PubMed:17213206}; Single-pass membrane protein {ECO:0000305|PubMed:10744668, ECO:0000305|PubMed:10833412}. Peroxisome membrane {ECO:0000269|PubMed:15695510}; Single-pass membrane protein {ECO:0000305|PubMed:10744668, ECO:0000305|PubMed:10833412}.",True
ERN1,Q96BA8,2727b04c24f9f2e05607104d3159ac847146701fc12caa0a686a1a19166ffad9,O75460,context,519,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: [Cyclic AMP-responsive element-binding protein 3-like protein 1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12054625, ECO:0000269|PubMed:16417584, ECO:0000269|PubMed:25310401}; Single-pass type II membrane protein. Note=ER membrane resident protein. Upon ER stress, translocated to the Golgi apparatus where it is cleaved. The cytosolic N-terminal fragment (processed cyclic AMP-responsive element-binding protein 3-like protein 1) is transported into the nucleus. {ECO:0000269|PubMed:12054625, ECO:0000269|PubMed:16417584, ECO:0000269|PubMed:21767813, ECO:0000269|PubMed:25310401}.; SUBCELLULAR LOCATION: [Processed cyclic AMP-responsive element-binding protein 3-like protein 1]: Nucleus {ECO:0000269|PubMed:24079343, ECO:0000269|PubMed:25310401}. Note=Upon ER stress or DNA damage, transported into the nucleus. {ECO:0000269|PubMed:12054625, ECO:0000269|PubMed:21767813, ECO:0000269|PubMed:24079343, ECO:0000269|PubMed:25310401}.",True
ERN1,O43520,dc1088308009fadd03dbde7a2b6c0072628f292e0f3af483a85858de6dd206a1,O75460,context,1251,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17948906, ECO:0000269|PubMed:20947505, ECO:0000269|PubMed:20961850, ECO:0000269|PubMed:21914794, ECO:0000269|PubMed:25315773}; Multi-pass membrane protein. Apical cell membrane {ECO:0000269|PubMed:20512993}. Cell projection, stereocilium {ECO:0000250|UniProtKB:Q148W0}. Endoplasmic reticulum {ECO:0000269|PubMed:17948906, ECO:0000269|PubMed:20947505, ECO:0000269|PubMed:20961850, ECO:0000269|PubMed:21914794}. Golgi apparatus {ECO:0000269|PubMed:20961850}. Note=Exit from the endoplasmic reticulum requires the presence of CDC50A or CDC50B (PubMed:20947505). Localizes to apical membranes in epithelial cells (PubMed:20512993). {ECO:0000269|PubMed:20512993, ECO:0000269|PubMed:20947505}.",True
ERN1,Q9HCP6,6c91b50e8c59bd910cb6ad498bcc3bb23807dc04e5b321f6a12a06024cee1be1,O75460,context,504,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,True
ERN1,Q7Z2W7,b752efca239d6c441dadf5c0a7bb5e4a9500b78108fb7bafa7604d2ee58898cc,O75460,context,1104,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16174775}; Multi-pass membrane protein {ECO:0000269|PubMed:37857704}. Membrane raft {ECO:0000250|UniProtKB:Q8R4D5}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11325849, ECO:0000269|PubMed:16174775}. Note=Lipid raft association modulates TRPM8 channel activity (By similarity). Located in the endoplasmic reticulum in prostate cancer cells (PubMed:11325849, PubMed:16174775). {ECO:0000250|UniProtKB:Q8R4D5, ECO:0000269|PubMed:11325849, ECO:0000269|PubMed:16174775}.",True
ERN1,Q9HDC5,bce96c902ac5c1f2e338dda5930f1f67504aada40923be91db9b6498b2691f0c,O75460,context,661,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Sarcoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Note=Localized predominantly on the plasma membrane. The transmembrane domain is anchored in endoplasmic/sarcoplasmic reticulum membrane, while the N-terminal part associates with the plasma membrane. In skeletal muscle cells, it is predominantly localized at the junction of the A and I bands (By similarity). {ECO:0000250}.",True
ERN1,Q9Y6N7,0fe54049496424046298f9c231a1f25530e91f03518fc10f72a3a52e837041a1,O75460,context,1651,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24560577}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:O89026}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:O55005}; Single-pass membrane protein {ECO:0000250|UniProtKB:O55005}. Note=Detected at growth cones in thalamus neurons. Detected at growth cones in thalamus neurons (By similarity). PRRG4 prevents cell surface location and both colocalize in the Endoplasmic reticulum/Golgi adjacent to the cell nucleus (By similarity). {ECO:0000250|UniProtKB:O55005, ECO:0000250|UniProtKB:O89026}.",True
ERN1,Q5T9L3,560ea4b2407f91aa0b50585bd0411391133d62e9b3a33ba3254fcdd49028fc0c,O75460,context,541,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cell membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Note=Co-localizes with the adaptin AP2A2 at distinct punctae. {ECO:0000269|PubMed:18160347}.,True
ERN1,Q6P1M0,c218164d8240367ddc0a582375a2b317d8a568806ebc6a07d79cbdf0e8959430,O75460,context,643,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22022213, ECO:0000305|PubMed:24269233}; Multi-pass membrane protein {ECO:0000255}.",True
ERN1,Q96AA3,a9ae01ddb7b673d350bce6786cda2679bcca48358c67f139d6b39000e83b6f60,O75460,context,541,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P38206}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q15392,ffa75f4fe09bf9ffc4f5b5d5b32a54d9d240a77390218f19626c6e2fe8f1d4d2,O75460,context,516,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11007892, ECO:0000269|PubMed:22010141}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:11007892}; Single-pass membrane protein {ECO:0000255}.",True
ERN1,O14967,06ce723a2b771ba57d518947602afcd24632d7ab83da4263c06258a5caae1ae3,O75460,context,610,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type I membrane protein.,True
ERN1,Q14739,8b8c937e803ac438e59ff34112b9d50226910c81a7e211182e16f99015bb4715,O75460,context,615,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:32694168, ECO:0000269|PubMed:8157662}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21327084}. Cytoplasm {ECO:0000269|PubMed:21327084}. Nucleus {ECO:0000269|PubMed:21327084}. Note=Nucleus; nuclear rim. {ECO:0000269|PubMed:21327084}.",True
ERN1,Q96CP6,05ffe5aa5f41f7566eca5e7689a76c7096642bbb99dda345579654a166ea9737,O75460,context,724,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29469807}; Single-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:29469807}; Single-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:31222192}. Note=In lipid-poor conditions localizes to the ER membrane and is recruited to endoplasmic reticulum-plasma membrane contact sites (EPCS) in response to excess cholesterol in the PM (By similarity). Localizes to distinct EPCS than GRAMD2A and ESYT2/3 (PubMed:29469807). {ECO:0000250|UniProtKB:Q8VEF1, ECO:0000269|PubMed:29469807}.",True
ERN1,Q7Z2K6,c8e1c55da65999d47cea2534e1238ce1416bde4b470cb23391e0576e927c1119,O75460,context,904,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6UPR8}; Multi-pass membrane protein {ECO:0000255}.,True
