target,partner_gene,partner_uniprot,model,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,PDIA6,Q15084,ipin_baseline,low_plausibility,1,50,51,0.6,0.047619047619047616,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,low_plausibility,1,50,51,0.16,0.023255813953488372,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,context_background,1,100,101,0.97,0.25,4,4,4.0,0.25,1.0,1.0,0.2,20.2,0.43067655807339306,1.0,1.0,1.0,0.1,10.1,0.43067655807339306,1.0,1.0,1.0,0.05,5.05,0.43067655807339306,1.0
ERN1,HSPA5,P11021,ipin_baseline,context_background,1,100,101,0.13,0.011363636363636364,88,88,88.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,context_background,1,100,101,0.61,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,context_background,1,100,101,0.23,0.01282051282051282,78,78,78.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,all_U,1,150,151,0.98,0.25,4,4,4.0,0.25,1.0,1.0,0.2,30.200000000000003,0.43067655807339306,1.0,1.0,1.0,0.1,15.100000000000001,0.43067655807339306,1.0,1.0,1.0,0.05,7.550000000000001,0.43067655807339306,1.0
ERN1,HSPA5,P11021,ipin_baseline,all_U,1,150,151,0.13333333333333333,0.007633587786259542,131,131,131.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,all_U,1,150,151,0.6066666666666667,0.016666666666666666,60,60,60.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,all_U,1,150,151,0.20666666666666667,0.008333333333333333,120,120,120.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,context,1,50,51,0.98,0.5,2,2,2.0,0.5,1.0,1.0,0.2,10.200000000000001,0.6309297535714575,1.0,1.0,1.0,0.1,5.1000000000000005,0.6309297535714575,1.0,1.0,1.0,0.05,2.5500000000000003,0.6309297535714575,1.0
ERN1,HSPA5,P11021,ipin_optimized,context,1,50,51,0.4,0.03225806451612903,31,31,31.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,context,1,50,51,0.26,0.02631578947368421,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,context,1,50,51,0.32,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,background,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,background,1,50,51,0.32,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,background,1,50,51,0.26,0.02631578947368421,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,background,1,50,51,0.38,0.03125,32,32,32.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,low_plausibility,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,low_plausibility,1,50,51,0.22,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,low_plausibility,1,50,51,0.3,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,low_plausibility,1,50,51,0.28,0.02702702702702703,37,37,37.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,context_background,1,100,101,0.99,0.5,2,2,2.0,0.5,1.0,1.0,0.2,20.2,0.6309297535714575,1.0,1.0,1.0,0.1,10.1,0.6309297535714575,1.0,1.0,1.0,0.05,5.05,0.6309297535714575,1.0
ERN1,HSPA5,P11021,ipin_optimized,context_background,1,100,101,0.36,0.015384615384615385,65,65,65.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,context_background,1,100,101,0.26,0.013333333333333334,75,75,75.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,context_background,1,100,101,0.35,0.015151515151515152,66,66,66.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,all_U,1,150,151,0.9933333333333333,0.5,2,2,2.0,0.5,1.0,1.0,0.2,30.200000000000003,0.6309297535714575,1.0,1.0,1.0,0.1,15.100000000000001,0.6309297535714575,1.0,1.0,1.0,0.05,7.550000000000001,0.6309297535714575,1.0
ERN1,HSPA5,P11021,ipin_optimized,all_U,1,150,151,0.31333333333333335,0.009615384615384616,104,104,104.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,all_U,1,150,151,0.2733333333333333,0.00909090909090909,110,110,110.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,all_U,1,150,151,0.32666666666666666,0.00980392156862745,102,102,102.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,context,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,context,1,50,51,0.22,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,context,1,50,51,0.68,0.058823529411764705,17,17,17.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.23981246656813146,1.0
ERN1,SEC61A1,P61619,tuna_retrained,context,1,50,51,0.52,0.04,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,background,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,background,1,50,51,0.22,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,background,1,50,51,0.78,0.08333333333333333,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.27023815442731974,1.0
ERN1,SEC61A1,P61619,tuna_retrained,background,1,50,51,0.86,0.125,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,5.1000000000000005,0.31546487678572877,1.0,1.0,1.0,0.05,2.5500000000000003,0.31546487678572877,1.0
ERN1,ERN1,O75460,tuna_retrained,low_plausibility,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,low_plausibility,1,50,51,0.48,0.037037037037037035,27,27,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,low_plausibility,1,50,51,0.92,0.2,5,5,5.0,0.2,1.0,1.0,0.2,10.200000000000001,0.38685280723454163,1.0,1.0,1.0,0.1,5.1000000000000005,0.38685280723454163,1.0,1.0,1.0,0.05,2.5500000000000003,0.38685280723454163,1.0
ERN1,SEC61A1,P61619,tuna_retrained,low_plausibility,1,50,51,0.92,0.2,5,5,5.0,0.2,1.0,1.0,0.2,10.200000000000001,0.38685280723454163,1.0,1.0,1.0,0.1,5.1000000000000005,0.38685280723454163,1.0,1.0,1.0,0.05,2.5500000000000003,0.38685280723454163,1.0
ERN1,ERN1,O75460,tuna_retrained,context_background,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,context_background,1,100,101,0.22,0.012658227848101266,79,79,79.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,context_background,1,100,101,0.73,0.03571428571428571,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,context_background,1,100,101,0.69,0.03125,32,32,32.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,all_U,1,150,151,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,30.200000000000003,1.0,1.0,1.0,1.0,0.1,15.100000000000001,1.0,1.0,1.0,1.0,0.05,7.550000000000001,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,all_U,1,150,151,0.30666666666666664,0.009523809523809525,105,105,105.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,all_U,1,150,151,0.7933333333333333,0.03125,32,32,32.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,all_U,1,150,151,0.7666666666666667,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,context,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,context,1,50,51,0.58,0.045454545454545456,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,context,1,50,51,0.66,0.05555555555555555,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.23540891336663824,1.0
ERN1,SEC61A1,P61619,tuna_original,context,1,50,51,0.26,0.02631578947368421,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,background,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,background,1,50,51,0.76,0.07692307692307693,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.26264953503719357,1.0
ERN1,PDIA6,Q15084,tuna_original,background,1,50,51,0.88,0.14285714285714285,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,5.1000000000000005,0.3333333333333333,1.0,1.0,1.0,0.05,2.5500000000000003,0.3333333333333333,1.0
ERN1,SEC61A1,P61619,tuna_original,background,1,50,51,0.82,0.1,10,10,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,5.1000000000000005,0.2890648263178879,1.0,1.0,1.0,0.05,2.5500000000000003,0.2890648263178879,1.0
ERN1,ERN1,O75460,tuna_original,low_plausibility,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,low_plausibility,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,PDIA6,Q15084,tuna_original,low_plausibility,1,50,51,0.98,0.5,2,2,2.0,0.5,1.0,1.0,0.2,10.200000000000001,0.6309297535714575,1.0,1.0,1.0,0.1,5.1000000000000005,0.6309297535714575,1.0,1.0,1.0,0.05,2.5500000000000003,0.6309297535714575,1.0
ERN1,SEC61A1,P61619,tuna_original,low_plausibility,1,50,51,0.96,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,10.200000000000001,0.5,1.0,1.0,1.0,0.1,5.1000000000000005,0.5,1.0,1.0,1.0,0.05,2.5500000000000003,0.5,1.0
ERN1,ERN1,O75460,tuna_original,context_background,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,context_background,1,100,101,0.67,0.029411764705882353,34,34,34.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,context_background,1,100,101,0.77,0.041666666666666664,24,24,24.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,context_background,1,100,101,0.54,0.02127659574468085,47,47,47.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,all_U,1,150,151,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,30.200000000000003,1.0,1.0,1.0,1.0,0.1,15.100000000000001,1.0,1.0,1.0,1.0,0.05,7.550000000000001,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,all_U,1,150,151,0.78,0.029411764705882353,34,34,34.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,all_U,1,150,151,0.84,0.04,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,all_U,1,150,151,0.68,0.02040816326530612,49,49,49.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,context,1,50,51,0.2,0.024390243902439025,41,41,41.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,context,1,50,51,0.48,0.037037037037037035,27,27,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,context,1,50,51,0.78,0.08333333333333333,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.27023815442731974,1.0
TP53,MDM2,Q00987,ipin_baseline,background,1,50,51,0.48,0.037037037037037035,27,27,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,background,1,50,51,0.64,0.05263157894736842,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.23137821315975915,1.0
TP53,EP300,Q09472,ipin_baseline,background,1,50,51,0.64,0.05263157894736842,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.23137821315975915,1.0
TP53,MDM2,Q00987,ipin_baseline,low_plausibility,1,50,51,0.6,0.047619047619047616,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,low_plausibility,1,50,51,0.8,0.09090909090909091,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.27894294565112987,1.0
TP53,EP300,Q09472,ipin_baseline,low_plausibility,1,50,51,0.88,0.14285714285714285,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,5.1000000000000005,0.3333333333333333,1.0,1.0,1.0,0.05,2.5500000000000003,0.3333333333333333,1.0
TP53,MDM2,Q00987,ipin_baseline,context_background,1,100,101,0.34,0.014925373134328358,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,context_background,1,100,101,0.56,0.022222222222222223,45,45,45.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,context_background,1,100,101,0.71,0.03333333333333333,30,30,30.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,all_U,1,150,151,0.4266666666666667,0.011494252873563218,87,87,87.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,all_U,1,150,151,0.64,0.01818181818181818,55,55,55.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,all_U,1,150,151,0.7666666666666667,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,context,1,50,51,0.32,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,context,1,50,51,0.62,0.05,20,20,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.227670248696953,1.0
TP53,EP300,Q09472,ipin_optimized,context,1,50,51,0.32,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
