query_gene,partner_gene,partner_uniprot,model,candidate_set,score,rank_min,rank_max,rank_mid,panel_size,top5_fractional_credit,top10_fractional_credit,top20_fractional_credit
ERN1,PDIA6,Q15084,tuna_retrained,background,-8.74140707651774,39,39,39.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,background,-8.616581281026205,34,34,34.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,low_plausibility,-3.6701322396596274,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,low_plausibility,-11.230369567871094,98,98,98.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,low_plausibility,-8.74140707651774,17,17,17.0,204,0.0,0.0,1.0
ERN1,SEC61A1,P61619,tuna_retrained,low_plausibility,-8.616581281026205,11,11,11.0,204,0.0,0.0,1.0
ERN1,ERN1,O75460,tuna_retrained,context_background,-3.6701322396596274,1,1,1.0,404,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,context_background,-11.230369567871094,325,325,325.0,404,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,context_background,-8.74140707651774,123,123,123.0,404,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,context_background,-8.616581281026205,109,109,109.0,404,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,all_U,-3.6701322396596274,1,1,1.0,604,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,all_U,-11.230369567871094,419,419,419.0,604,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,all_U,-8.74140707651774,137,137,137.0,604,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,all_U,-8.616581281026205,118,118,118.0,604,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,context,0.855528712272644,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,context,0.6366562247276306,126,126,126.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,context,0.6879025101661682,75,75,75.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,context,0.6290624141693115,130,130,130.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,background,0.855528712272644,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,background,0.6366562247276306,49,49,49.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,background,0.6879025101661682,30,30,30.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,background,0.6290624141693115,54,54,54.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,low_plausibility,0.855528712272644,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,low_plausibility,0.6366562247276306,8,8,8.0,204,0.0,1.0,1.0
ERN1,PDIA6,Q15084,tuna_original,low_plausibility,0.6879025101661682,4,4,4.0,204,1.0,1.0,1.0
ERN1,SEC61A1,P61619,tuna_original,low_plausibility,0.6290624141693115,9,9,9.0,204,0.0,1.0,1.0
ERN1,ERN1,O75460,tuna_original,context_background,0.855528712272644,1,1,1.0,404,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,context_background,0.6366562247276306,172,172,172.0,404,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,context_background,0.6879025101661682,103,103,103.0,404,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,context_background,0.6290624141693115,180,180,180.0,404,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_original,all_U,0.855528712272644,1,1,1.0,604,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_original,all_U,0.6366562247276306,177,177,177.0,604,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_original,all_U,0.6879025101661682,105,105,105.0,604,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_original,all_U,0.6290624141693115,185,185,185.0,604,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,context,-2.060058116912842,117,117,117.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,context,-1.8046123186747234,96,96,96.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,context,-1.1178932785987854,44,44,44.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,background,-2.060058116912842,87,87,87.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,background,-1.8046123186747234,71,71,71.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,background,-1.1178932785987854,33,33,33.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,low_plausibility,-2.060058116912842,56,56,56.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,low_plausibility,-1.8046123186747234,38,38,38.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,low_plausibility,-1.1178932785987854,14,14,14.0,153,0.0,0.0,1.0
TP53,MDM2,Q00987,ipin_baseline,context_background,-2.060058116912842,201,201,201.0,303,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,context_background,-1.8046123186747234,165,165,165.0,303,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,context_background,-1.1178932785987854,76,76,76.0,303,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_baseline,all_U,-2.060058116912842,254,254,254.0,453,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_baseline,all_U,-1.8046123186747234,201,201,201.0,453,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_baseline,all_U,-1.1178932785987854,89,89,89.0,453,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,context,-1.4277615745862324,96,96,96.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,context,-0.8630164662996928,63,63,63.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_optimized,context,-1.751328428586324,117,117,117.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,background,-1.4277615745862324,69,69,69.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,background,-0.8630164662996928,51,51,51.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_optimized,background,-1.751328428586324,86,86,86.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,low_plausibility,-1.4277615745862324,53,53,53.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,low_plausibility,-0.8630164662996928,35,35,35.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_optimized,low_plausibility,-1.751328428586324,73,73,73.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,context_background,-1.4277615745862324,163,163,163.0,303,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,context_background,-0.8630164662996928,113,113,113.0,303,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_optimized,context_background,-1.751328428586324,200,200,200.0,303,0.0,0.0,0.0
TP53,MDM2,Q00987,ipin_optimized,all_U,-1.4277615745862324,214,214,214.0,453,0.0,0.0,0.0
TP53,MDM4,O15151,ipin_optimized,all_U,-0.8630164662996928,147,147,147.0,453,0.0,0.0,0.0
TP53,EP300,Q09472,ipin_optimized,all_U,-1.751328428586324,270,270,270.0,453,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_retrained,context,-5.815252621968587,23,23,23.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_retrained,context,-6.332675933837891,36,36,36.0,153,0.0,0.0,0.0
TP53,EP300,Q09472,tuna_retrained,context,-6.823338349660237,57,57,57.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_retrained,background,-5.815252621968587,6,6,6.0,153,0.0,1.0,1.0
TP53,MDM4,O15151,tuna_retrained,background,-6.332675933837891,18,18,18.0,153,0.0,0.0,1.0
TP53,EP300,Q09472,tuna_retrained,background,-6.823338349660237,30,30,30.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_retrained,low_plausibility,-5.815252621968587,3,3,3.0,153,1.0,1.0,1.0
TP53,MDM4,O15151,tuna_retrained,low_plausibility,-6.332675933837891,8,8,8.0,153,0.0,1.0,1.0
TP53,EP300,Q09472,tuna_retrained,low_plausibility,-6.823338349660237,15,15,15.0,153,0.0,0.0,1.0
TP53,MDM2,Q00987,tuna_retrained,context_background,-5.815252621968587,28,28,28.0,303,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_retrained,context_background,-6.332675933837891,52,52,52.0,303,0.0,0.0,0.0
TP53,EP300,Q09472,tuna_retrained,context_background,-6.823338349660237,84,84,84.0,303,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_retrained,all_U,-5.815252621968587,30,30,30.0,453,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_retrained,all_U,-6.332675933837891,58,58,58.0,453,0.0,0.0,0.0
TP53,EP300,Q09472,tuna_retrained,all_U,-6.823338349660237,96,96,96.0,453,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_original,context,0.6187607049942017,23,23,23.0,153,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_original,context,0.6424752473831177,15,15,15.0,153,0.0,0.0,1.0
TP53,EP300,Q09472,tuna_original,context,0.5492487549781799,65,65,65.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_original,background,0.6187607049942017,13,13,13.0,153,0.0,0.0,1.0
TP53,MDM4,O15151,tuna_original,background,0.6424752473831177,7,7,7.0,153,0.0,1.0,1.0
TP53,EP300,Q09472,tuna_original,background,0.5492487549781799,34,34,34.0,153,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_original,low_plausibility,0.6187607049942017,2,2,2.0,153,1.0,1.0,1.0
TP53,MDM4,O15151,tuna_original,low_plausibility,0.6424752473831177,1,1,1.0,153,1.0,1.0,1.0
TP53,EP300,Q09472,tuna_original,low_plausibility,0.5492487549781799,9,9,9.0,153,0.0,1.0,1.0
TP53,MDM2,Q00987,tuna_original,context_background,0.6187607049942017,34,34,34.0,303,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_original,context_background,0.6424752473831177,21,21,21.0,303,0.0,0.0,0.0
TP53,EP300,Q09472,tuna_original,context_background,0.5492487549781799,96,96,96.0,303,0.0,0.0,0.0
TP53,MDM2,Q00987,tuna_original,all_U,0.6187607049942017,34,34,34.0,453,0.0,0.0,0.0
TP53,MDM4,O15151,tuna_original,all_U,0.6424752473831177,21,21,21.0,453,0.0,0.0,0.0
TP53,EP300,Q09472,tuna_original,all_U,0.5492487549781799,102,102,102.0,453,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_baseline,context,-1.6319588820139568,41,41,41.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_baseline,context,-2.3526440461476645,96,96,96.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_baseline,context,-1.5951319535573323,37,37,37.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_baseline,background,-1.6319588820139568,37,37,37.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_baseline,background,-2.3526440461476645,97,97,97.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_baseline,background,-1.5951319535573323,31,31,31.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_baseline,low_plausibility,-1.6319588820139568,44,44,44.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_baseline,low_plausibility,-2.3526440461476645,106,106,106.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_baseline,low_plausibility,-1.5951319535573323,39,39,39.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_baseline,context_background,-1.6319588820139568,76,76,76.0,303,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_baseline,context_background,-2.3526440461476645,190,190,190.0,303,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_baseline,context_background,-1.5951319535573323,67,67,67.0,303,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_baseline,all_U,-1.6319588820139568,118,118,118.0,453,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_baseline,all_U,-2.3526440461476645,293,293,293.0,453,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_baseline,all_U,-1.5951319535573323,105,105,105.0,453,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_optimized,context,-1.8957593441009521,41,41,41.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_optimized,context,-2.27628763516744,62,62,62.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_optimized,context,-2.13212513923645,53,53,53.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_optimized,background,-1.8957593441009521,53,53,53.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_optimized,background,-2.27628763516744,68,68,68.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_optimized,background,-2.13212513923645,65,65,65.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_optimized,low_plausibility,-1.8957593441009521,42,42,42.0,153,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_optimized,low_plausibility,-2.27628763516744,55,55,55.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_optimized,low_plausibility,-2.13212513923645,49,49,49.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_optimized,context_background,-1.8957593441009521,93,93,93.0,303,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_optimized,context_background,-2.27628763516744,127,127,127.0,303,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_optimized,context_background,-2.13212513923645,116,116,116.0,303,0.0,0.0,0.0
EGFR,GRB2,P62993,ipin_optimized,all_U,-1.8957593441009521,134,134,134.0,453,0.0,0.0,0.0
EGFR,SHC1,P29353,ipin_optimized,all_U,-2.27628763516744,179,179,179.0,453,0.0,0.0,0.0
EGFR,CBL,P22681,ipin_optimized,all_U,-2.13212513923645,163,163,163.0,453,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_retrained,context,-7.295586585998535,9,9,9.0,153,0.0,1.0,1.0
EGFR,SHC1,P29353,tuna_retrained,context,-8.561941464742025,26,26,26.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,tuna_retrained,context,-10.382659276326498,71,71,71.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_retrained,background,-7.295586585998535,12,12,12.0,153,0.0,0.0,1.0
EGFR,SHC1,P29353,tuna_retrained,background,-8.561941464742025,41,41,41.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,tuna_retrained,background,-10.382659276326498,97,97,97.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_retrained,low_plausibility,-7.295586585998535,7,7,7.0,153,0.0,1.0,1.0
EGFR,SHC1,P29353,tuna_retrained,low_plausibility,-8.561941464742025,23,23,23.0,153,0.0,0.0,0.0
EGFR,CBL,P22681,tuna_retrained,low_plausibility,-10.382659276326498,69,69,69.0,153,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_retrained,context_background,-7.295586585998535,20,20,20.0,303,0.0,0.0,1.0
EGFR,SHC1,P29353,tuna_retrained,context_background,-8.561941464742025,65,65,65.0,303,0.0,0.0,0.0
EGFR,CBL,P22681,tuna_retrained,context_background,-10.382659276326498,165,165,165.0,303,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_retrained,all_U,-7.295586585998535,26,26,26.0,453,0.0,0.0,0.0
EGFR,SHC1,P29353,tuna_retrained,all_U,-8.561941464742025,86,86,86.0,453,0.0,0.0,0.0
EGFR,CBL,P22681,tuna_retrained,all_U,-10.382659276326498,231,231,231.0,453,0.0,0.0,0.0
EGFR,GRB2,P62993,tuna_original,context,0.807906985282898,4,4,4.0,153,1.0,1.0,1.0
EGFR,SHC1,P29353,tuna_original,context,0.8374773859977722,2,2,2.0,153,1.0,1.0,1.0
EGFR,CBL,P22681,tuna_original,context,0.853426456451416,1,1,1.0,153,1.0,1.0,1.0
EGFR,GRB2,P62993,tuna_original,background,0.807906985282898,4,4,4.0,153,1.0,1.0,1.0
EGFR,SHC1,P29353,tuna_original,background,0.8374773859977722,2,2,2.0,153,1.0,1.0,1.0
EGFR,CBL,P22681,tuna_original,background,0.853426456451416,1,1,1.0,153,1.0,1.0,1.0
EGFR,GRB2,P62993,tuna_original,low_plausibility,0.807906985282898,3,3,3.0,153,1.0,1.0,1.0
EGFR,SHC1,P29353,tuna_original,low_plausibility,0.8374773859977722,2,2,2.0,153,1.0,1.0,1.0
EGFR,CBL,P22681,tuna_original,low_plausibility,0.853426456451416,1,1,1.0,153,1.0,1.0,1.0
EGFR,GRB2,P62993,tuna_original,context_background,0.807906985282898,5,5,5.0,303,1.0,1.0,1.0
EGFR,SHC1,P29353,tuna_original,context_background,0.8374773859977722,2,2,2.0,303,1.0,1.0,1.0
EGFR,CBL,P22681,tuna_original,context_background,0.853426456451416,1,1,1.0,303,1.0,1.0,1.0
EGFR,GRB2,P62993,tuna_original,all_U,0.807906985282898,5,5,5.0,453,1.0,1.0,1.0
EGFR,SHC1,P29353,tuna_original,all_U,0.8374773859977722,2,2,2.0,453,1.0,1.0,1.0
EGFR,CBL,P22681,tuna_original,all_U,0.853426456451416,1,1,1.0,453,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_baseline,context,-0.9792822400728861,7,7,7.0,153,0.0,1.0,1.0
BCL2,BAD,Q92934,ipin_baseline,context,-1.266326904296875,13,13,13.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,ipin_baseline,context,-0.21183940892418227,1,1,1.0,153,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_baseline,background,-0.9792822400728861,7,7,7.0,153,0.0,1.0,1.0
BCL2,BAD,Q92934,ipin_baseline,background,-1.266326904296875,17,17,17.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,ipin_baseline,background,-0.21183940892418227,3,3,3.0,153,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_baseline,low_plausibility,-0.9792822400728861,11,11,11.0,153,0.0,0.0,1.0
BCL2,BAD,Q92934,ipin_baseline,low_plausibility,-1.266326904296875,17,17,17.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,ipin_baseline,low_plausibility,-0.21183940892418227,2,2,2.0,153,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_baseline,context_background,-0.9792822400728861,12,12,12.0,303,0.0,0.0,1.0
BCL2,BAD,Q92934,ipin_baseline,context_background,-1.266326904296875,27,27,27.0,303,0.0,0.0,0.0
BCL2,BBC3,Q9BXH1,ipin_baseline,context_background,-0.21183940892418227,3,3,3.0,303,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_baseline,all_U,-0.9792822400728861,21,21,21.0,453,0.0,0.0,0.0
BCL2,BAD,Q92934,ipin_baseline,all_U,-1.266326904296875,41,41,41.0,453,0.0,0.0,0.0
BCL2,BBC3,Q9BXH1,ipin_baseline,all_U,-0.21183940892418227,4,4,4.0,453,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_optimized,context,0.7513763507207235,4,4,4.0,153,1.0,1.0,1.0
BCL2,BAD,Q92934,ipin_optimized,context,0.3422282934188843,9,9,9.0,153,0.0,1.0,1.0
BCL2,BBC3,Q9BXH1,ipin_optimized,context,0.5386053224404653,5,5,5.0,153,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_optimized,background,0.7513763507207235,4,4,4.0,153,1.0,1.0,1.0
BCL2,BAD,Q92934,ipin_optimized,background,0.3422282934188843,9,9,9.0,153,0.0,1.0,1.0
BCL2,BBC3,Q9BXH1,ipin_optimized,background,0.5386053224404653,6,6,6.0,153,0.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_optimized,low_plausibility,0.7513763507207235,2,2,2.0,153,1.0,1.0,1.0
BCL2,BAD,Q92934,ipin_optimized,low_plausibility,0.3422282934188843,5,5,5.0,153,1.0,1.0,1.0
BCL2,BBC3,Q9BXH1,ipin_optimized,low_plausibility,0.5386053224404653,3,3,3.0,153,1.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_optimized,context_background,0.7513763507207235,7,7,7.0,303,0.0,1.0,1.0
BCL2,BAD,Q92934,ipin_optimized,context_background,0.3422282934188843,15,15,15.0,303,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,ipin_optimized,context_background,0.5386053224404653,9,9,9.0,303,0.0,1.0,1.0
BCL2,BCL2L11,O43521,ipin_optimized,all_U,0.7513763507207235,8,8,8.0,453,0.0,1.0,1.0
BCL2,BAD,Q92934,ipin_optimized,all_U,0.3422282934188843,17,17,17.0,453,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,ipin_optimized,all_U,0.5386053224404653,10,10,10.0,453,0.0,1.0,1.0
BCL2,BCL2L11,O43521,tuna_retrained,context,-3.922259251276652,5,5,5.0,153,1.0,1.0,1.0
BCL2,BAD,Q92934,tuna_retrained,context,-4.508002281188965,11,11,11.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,tuna_retrained,context,-6.492899258931478,42,42,42.0,153,0.0,0.0,0.0
BCL2,BCL2L11,O43521,tuna_retrained,background,-3.922259251276652,14,14,14.0,153,0.0,0.0,1.0
BCL2,BAD,Q92934,tuna_retrained,background,-4.508002281188965,16,16,16.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,tuna_retrained,background,-6.492899258931478,51,51,51.0,153,0.0,0.0,0.0
BCL2,BCL2L11,O43521,tuna_retrained,low_plausibility,-3.922259251276652,10,10,10.0,153,0.0,1.0,1.0
BCL2,BAD,Q92934,tuna_retrained,low_plausibility,-4.508002281188965,18,18,18.0,153,0.0,0.0,1.0
BCL2,BBC3,Q9BXH1,tuna_retrained,low_plausibility,-6.492899258931478,69,69,69.0,153,0.0,0.0,0.0
BCL2,BCL2L11,O43521,tuna_retrained,context_background,-3.922259251276652,18,18,18.0,303,0.0,0.0,1.0
BCL2,BAD,Q92934,tuna_retrained,context_background,-4.508002281188965,25,25,25.0,303,0.0,0.0,0.0
BCL2,BBC3,Q9BXH1,tuna_retrained,context_background,-6.492899258931478,90,90,90.0,303,0.0,0.0,0.0
