target,query_uniprot,anchor_gene,anchor_uniprot,partner_gene,partner_uniprot,length,anchor_length,length_ratio,localization_class,annotation_quality,uniprot_experimental_location,hpa_supported_location,hpa_all_locations,hpa_high_confidence_locations,evidence_tier,reason,uniprot_location,uniprot_signal_peptide,HPA_Ensembl,HPA_gene,HPA_reliability,UniProt_URL,HPA_URL,sequence_sha256
ERN1,O75460,ERN1,O75460,MTREX,P42285,1042,977,1.0665301944728762,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:30842217}. Nucleus, nucleolus {ECO:0000269|PubMed:12429849}. Nucleus {ECO:0000269|PubMed:16782053}. Nucleus speckle {ECO:0000269|PubMed:30842217}.",,ENSG00000039123,MTREX,Supported,https://www.uniprot.org/uniprotkb/P42285/entry,https://www.proteinatlas.org/ENSG00000039123/subcellular,754ea281cb5b88a30939cc91a228a422b1d166d2c553d766864c8c2e437c14bf
ERN1,O75460,ERN1,O75460,MSH2,P43246,934,977,0.9559877175025588,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24882211, ECO:0000269|PubMed:26300262}. Chromosome {ECO:0000269|PubMed:26300262}.",,ENSG00000095002,MSH2,Supported,https://www.uniprot.org/uniprotkb/P43246/entry,https://www.proteinatlas.org/ENSG00000095002/subcellular,e27b898beec9c370e421fdcb5b7e37dd8801c81224cd397a021ec76dbe4096ea
ERN1,O75460,ERN1,O75460,RBM10,P98175,930,977,0.9518935516888434,nuclear,0,True,True,Nuclear speckles,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18315527}. Note=In the extranucleolar nucleoplasm constitutes hundreds of nuclear domains, which dynamically change their structures in a reversible manner. Upon globally reducing RNA polymerase II transcription, the nuclear bodies enlarge and decrease in number. They occur closely adjacent to nuclear speckles or IGCs (interchromatin granule clusters) but coincide with TIDRs (transcription-inactivation-dependent RNA domains).",,ENSG00000182872,RBM10,Enhanced,https://www.uniprot.org/uniprotkb/P98175/entry,https://www.proteinatlas.org/ENSG00000182872/subcellular,14ee69b1a19a03372946f30cbf7f3656100e0be94e39f5b9ea9fb6e301e86081
ERN1,O75460,ERN1,O75460,SF3B2,Q13435,895,977,0.9160696008188332,nuclear,0,True,True,Nuclear speckles,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27720643, ECO:0000269|PubMed:28541300}. Nucleus speckle {ECO:0000269|PubMed:16923959}.",,ENSG00000087365,SF3B2,Enhanced,https://www.uniprot.org/uniprotkb/Q13435/entry,https://www.proteinatlas.org/ENSG00000087365/subcellular,6393cb68dbede1293820a95483c36a1f194cf91591b35568f715683a60c219b3
ERN1,O75460,ERN1,O75460,HLTF,Q14527,1009,977,1.0327533265097237,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8672239}. Chromosome {ECO:0000269|PubMed:39142279, ECO:0000269|PubMed:40680746}.",,ENSG00000071794,HLTF,Enhanced,https://www.uniprot.org/uniprotkb/Q14527/entry,https://www.proteinatlas.org/ENSG00000071794/subcellular,690f21b5d2f5b9dc5de2910209539bb666ac95e7d1ddad0905a2b5fa900bcb24
ERN1,O75460,ERN1,O75460,ZRANB3,Q5FWF4,1079,977,1.1044012282497442,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}. Chromosome {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}. Note=Following DNA damage, recruited to sites of DNA damage and stalled replication forks by polyubiquitinated PCNA (PubMed:22704558, PubMed:22705370, PubMed:22759634). {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}.",,ENSG00000121988,ZRANB3,Supported,https://www.uniprot.org/uniprotkb/Q5FWF4/entry,https://www.proteinatlas.org/ENSG00000121988/subcellular,4c675c686f42f2a180f28228e77c320ddad97e6064b95d07a8c6112b2e0209c4
ERN1,O75460,ERN1,O75460,PITRM1,Q5JRX3,1037,977,1.0614124872057318,mitochondrial_matrix,0,True,True,Mitochondria,Mitochondria,A_compartment_separation,Mature mitochondrial_matrix protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16849325, ECO:0000269|PubMed:19196155, ECO:0000269|PubMed:21621546, ECO:0000305|PubMed:26697887}.",,ENSG00000107959,PITRM1,Supported,https://www.uniprot.org/uniprotkb/Q5JRX3/entry,https://www.proteinatlas.org/ENSG00000107959/subcellular,7392a50d8d4b4a9e635f9fe754241ac0ac19feea5a63b9cb04cb971d5cde4ed3
ERN1,O75460,ERN1,O75460,SFMBT2,Q5VUG0,894,977,0.9150460593654043,nuclear,0,True,True,Nuclear speckles;Nucleoplasm,Nuclear speckles;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23385818}.,,ENSG00000198879,SFMBT2,Supported,https://www.uniprot.org/uniprotkb/Q5VUG0/entry,https://www.proteinatlas.org/ENSG00000198879/subcellular,5da9b83525bc40d148dc5e715a1a4eef17ef37afe4b2229b7734b681453648a6
ERN1,O75460,ERN1,O75460,DCLRE1A,Q6PJP8,1040,977,1.0644831115660185,nuclear,0,True,True,Nucleoli fibrillar center;Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10848582, ECO:0000269|PubMed:12446782, ECO:0000269|PubMed:15572677}. Note=In some cells it may be found in typically 1 or 2 discrete nuclear aggregates of unknown function which also contain TP53BP1. Also found in multiple discrete nuclear foci which increase in number following treatment with ionizing radiation or interstrand cross-linking agents. These foci overlap with those formed by the MRN complex (composed of MRE11, RAD50 and NBN) and BRCA1.",,ENSG00000198924,DCLRE1A,Supported,https://www.uniprot.org/uniprotkb/Q6PJP8/entry,https://www.proteinatlas.org/ENSG00000198924/subcellular,94dab7050e09cd3c3b02bd6c432de4aa56787299b8383f3cebb82cf6e3649a2a
ERN1,O75460,ERN1,O75460,DDX46,Q7L014,1031,977,1.0552712384851586,nuclear,0,True,True,Nuclear speckles;Nucleoli fibrillar center,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:12234937}. Nucleus, Cajal body {ECO:0000269|PubMed:12234937}. Note=Present in Cajal bodies (CBs) and nuclear speckles. {ECO:0000269|PubMed:12234937}.",,ENSG00000145833,DDX46,Supported,https://www.uniprot.org/uniprotkb/Q7L014/entry,https://www.proteinatlas.org/ENSG00000145833/subcellular,301e1b3628ac94eaea5b4d308d99dcb25f3919c42e4b44bbfa59da3a7e977cfa
ERN1,O75460,ERN1,O75460,MCM10,Q7L590,875,977,0.8955987717502559,nuclear,0,True,True,Nucleoli;Nucleoplasm,Nucleoli;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11095689, ECO:0000269|PubMed:15136575, ECO:0000269|PubMed:32865517}. Note=Colocalizes with ORC2 in nuclei foci. Associated with chromatin in S phase. From early to mid-S phase located in discrete nuclear foci. In early S phase, several hundred foci appeared throughout the nucleus. In mid-S phase, the foci appeared at the nuclear periphery and nucleolar regions. In the late S and G phases localized to nucleoli.",,ENSG00000065328,MCM10,Supported,https://www.uniprot.org/uniprotkb/Q7L590/entry,https://www.proteinatlas.org/ENSG00000065328/subcellular,162db325f2725a70a6f2fcf369c6c6f37b22f6829605890c6e833c924f84062c
ERN1,O75460,ERN1,O75460,POLN,Q7Z5Q5,900,977,0.9211873080859775,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12794064}.,,ENSG00000130997,POLN,Enhanced,https://www.uniprot.org/uniprotkb/Q7Z5Q5/entry,https://www.proteinatlas.org/ENSG00000130997/subcellular,b7628c21eae270b0a469afb98e7940e901466453f0117242f698979670956dc0
ERN1,O75460,ERN1,O75460,CHD1L,Q86WJ1,897,977,0.9181166837256909,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19661379}. Chromosome {ECO:0000269|PubMed:19661379, ECO:0000269|PubMed:29220652, ECO:0000269|PubMed:34486521, ECO:0000269|PubMed:34874266}. Note=Localizes at sites of DNA damage; recruited by histones H2B and H3 poly-ADP-ribosylated on 'Ser-6' and 'Ser-10', respectively (H2BS6ADPr and H3S10ADPr) by PARP1 or PARP2. {ECO:0000269|PubMed:34486521, ECO:0000269|PubMed:34874266}.",,ENSG00000131778,CHD1L,Enhanced,https://www.uniprot.org/uniprotkb/Q86WJ1/entry,https://www.proteinatlas.org/ENSG00000131778/subcellular,21fc8ebf5a4b13cdaa40047d772420abb3c777c638d6cc94ce3750a43a54b22c
ERN1,O75460,ERN1,O75460,NPAS3,Q8IXF0,933,977,0.95496417604913,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:12746393}.",,ENSG00000151322,NPAS3,Supported,https://www.uniprot.org/uniprotkb/Q8IXF0/entry,https://www.proteinatlas.org/ENSG00000151322/subcellular,ce681f5107a60e8626f96c8cccdf43dcf1cf75a1d23620c3f3d1c5acd289387e
ERN1,O75460,ERN1,O75460,SRRM1,Q8IYB3,904,977,0.925281473899693,nuclear,0,True,True,Nuclear speckles,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:12624182, ECO:0000269|PubMed:9531537}. Nucleus speckle {ECO:0000269|PubMed:11546874, ECO:0000269|PubMed:9531537}.",,ENSG00000133226,SRRM1,Enhanced,https://www.uniprot.org/uniprotkb/Q8IYB3/entry,https://www.proteinatlas.org/ENSG00000133226/subcellular,59cd492a9864f6be196adcf66fc692fb4473ef4bb696b8aa17b84d7f0400deac
ERN1,O75460,ERN1,O75460,RBM15B,Q8NDT2,890,977,0.9109518935516888,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:16129689}. Nucleus speckle {ECO:0000269|PubMed:19586903}. Nucleus envelope {ECO:0000269|PubMed:19586903}. Note=Colocalizes with BMLF1 in the nucleus. Localized in the nucleoplasm with a granular staining pattern and excluded from the nucleoli. {ECO:0000269|PubMed:16129689}.",,ENSG00000259956,RBM15B,Enhanced,https://www.uniprot.org/uniprotkb/Q8NDT2/entry,https://www.proteinatlas.org/ENSG00000259956/subcellular,1e14dcfe3014c6fd154735997680247ebf801718e67ac2416759cfb052fde797
ERN1,O75460,ERN1,O75460,PHC3,Q8NDX5,983,977,1.0061412487205732,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12167701, ECO:0000269|PubMed:21282530}.",,ENSG00000173889,PHC3,Supported,https://www.uniprot.org/uniprotkb/Q8NDX5/entry,https://www.proteinatlas.org/ENSG00000173889/subcellular,7a7d96aa7ad108604cd7af7365bde276560cd930eda885270c0e854cff7280eb
ERN1,O75460,ERN1,O75460,ZNF473,Q8WTR7,871,977,0.8915046059365405,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16714279}. Note=Stable component of Cajal bodies (CBs). Colocalizes with SMN, coilin and U7 snRNA.",,ENSG00000142528,ZNF473,Supported,https://www.uniprot.org/uniprotkb/Q8WTR7/entry,https://www.proteinatlas.org/ENSG00000142528/subcellular,91a891547b3b392fdae57596ea0f58abee2d77505fbd6dcc21c9130e88b4cd3b
ERN1,O75460,ERN1,O75460,MAML1,Q92585,1016,977,1.0399181166837257,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:11101851}. Note=Nuclear, in a punctate manner.",,ENSG00000161021,MAML1,Supported,https://www.uniprot.org/uniprotkb/Q92585/entry,https://www.proteinatlas.org/ENSG00000161021/subcellular,5c45f0fb13941cb8cbee483d3a11e88b0984f95709e4dc7317fb232d039d0e20
ERN1,O75460,ERN1,O75460,MBD6,Q96DN6,1003,977,1.0266120777891505,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20700456, ECO:0000269|PubMed:24634419}. Chromosome {ECO:0000269|PubMed:20700456, ECO:0000269|PubMed:24634419}. Note=Associates with heterochromatin containing chromocentres in a subset of cells in a DNA methylation-independent manner (PubMed:20700456). Localizes to sites of DNA damage independent of the PR-DUB complex (PubMed:24634419). {ECO:0000269|PubMed:20700456, ECO:0000269|PubMed:24634419}.",,ENSG00000166987,MBD6,Enhanced,https://www.uniprot.org/uniprotkb/Q96DN6/entry,https://www.proteinatlas.org/ENSG00000166987/subcellular,319e9b5d15bb3ff1557a51e18e36b87ec7239967d208ae61267a6e40a4f56a00
ERN1,O75460,ERN1,O75460,ZNF512B,Q96KM6,892,977,0.9129989764585466,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:39460621}. Chromosome {ECO:0000250|UniProtKB:Q6PHP4}. Note=Colocalizes with chromatin. Associated with pericentric heterochromatin (By similarity). {ECO:0000250|UniProtKB:Q6PHP4, ECO:0000269|PubMed:39460621}.",,ENSG00000196700,ZNF512B,Enhanced,https://www.uniprot.org/uniprotkb/Q96KM6/entry,https://www.proteinatlas.org/ENSG00000196700/subcellular,01c8fa3bcc2dbb4aee4e41d15fe90484a04943bb00b89adc4beaaa0122b6a63e
ERN1,O75460,ERN1,O75460,PPP1R10,Q96QC0,940,977,0.962128966223132,nuclear,0,True,True,Nuclear bodies;Nucleoplasm,Nuclear bodies;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00649, ECO:0000269|PubMed:9450550}. Chromosome {ECO:0000269|PubMed:39603239, ECO:0000269|PubMed:39603240}. Note=Found in discrete nucleoplasmic bodies and within nucleoli (PubMed:9450550). Associates with RNA polymerase II (Pol II) on chromatin during pause-release checkpoint (PubMed:39603239, PubMed:39603240). Associates with chromatin during interphase, excluded from condensed chromosomes during early mitosis and is reloaded onto chromosomes at the late telophase (By similarity). {ECO:0000250|UniProtKB:Q80W00, ECO:0000269|PubMed:39603239, ECO:0000269|PubMed:39603240, ECO:0000269|PubMed:9450550}.",,ENSG00000204569,PPP1R10,Enhanced,https://www.uniprot.org/uniprotkb/Q96QC0/entry,https://www.proteinatlas.org/ENSG00000204569/subcellular,3012c77a8a12dc43c76e7f18294eb2912f0355b1319be70f172c3d75a904c028
ERN1,O75460,ERN1,O75460,PHF12,Q96QT6,1004,977,1.0276356192425793,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11390640}.,,ENSG00000109118,PHF12,Enhanced,https://www.uniprot.org/uniprotkb/Q96QT6/entry,https://www.proteinatlas.org/ENSG00000109118/subcellular,f4fb97b3875a8be3f93692efc5b1b58c872f67c2c2ea3fb989cb458940f6f2ef
ERN1,O75460,ERN1,O75460,USP28,Q96RU2,1077,977,1.1023541453428864,nuclear,0,True,True,Nuclear bodies;Nucleoplasm,Nuclear bodies;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:17558397}.",,ENSG00000048028,USP28,Supported,https://www.uniprot.org/uniprotkb/Q96RU2/entry,https://www.proteinatlas.org/ENSG00000048028/subcellular,ddf97b426586c7f15711c2e5ad359a68f6b781adc81d0b615f1161d1fc9e0aeb
ERN1,O75460,ERN1,O75460,POP1,Q99575,1024,977,1.0481064483111566,nuclear,0,True,True,Nucleoli,Nucleoli,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:8918471}.",,ENSG00000104356,POP1,Supported,https://www.uniprot.org/uniprotkb/Q99575/entry,https://www.proteinatlas.org/ENSG00000104356/subcellular,946753a4498b36c6a561a162debc32219a498e45debe1c026bd2da09e0683aa1
ERN1,O75460,ERN1,O75460,RBBP8,Q99708,897,977,0.9181166837256909,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10764811, ECO:0000269|PubMed:17965729, ECO:0000269|PubMed:23623683}. Chromosome {ECO:0000269|PubMed:10764811, ECO:0000269|PubMed:16818604, ECO:0000269|PubMed:27814491, ECO:0000269|PubMed:27889449, ECO:0000269|PubMed:29042561, ECO:0000269|PubMed:33836577}. Note=Associates with sites of DNA damage in S/G2 phase (PubMed:10764811, PubMed:25349192). Recruited to DSBs by the MRE11-RAD50-NBN (MRN) complex following phosphorylation by CDK1, which promotes interaction with NBN (PubMed:27814491, PubMed:27889449, PubMed:33836577). Ubiquitinated RBBP8 binds to chromatin following DNA damage (PubMed:16818604). {ECO:0000269|PubMed:10764811, ECO:0000269|PubMed:16818604, ECO:0000269|PubMed:25349192, ECO:0000269|PubMed:27814491, ECO:0000269|PubMed:27889449, ECO:0000269|PubMed:33836577}.",,ENSG00000101773,RBBP8,Supported,https://www.uniprot.org/uniprotkb/Q99708/entry,https://www.proteinatlas.org/ENSG00000101773/subcellular,4136f7827fb1c4c762aabfeaa9ed2beda8bb69ec486e74fba5904822f6335c63
ERN1,O75460,ERN1,O75460,XRN2,Q9H0D6,950,977,0.9723643807574207,nuclear,0,True,True,Nucleoli;Nucleoplasm,Nucleoli;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.",,ENSG00000088930,XRN2,Enhanced,https://www.uniprot.org/uniprotkb/Q9H0D6/entry,https://www.proteinatlas.org/ENSG00000088930/subcellular,8318428ca976096305d8c371a32fcd21c57a39f94e0e0a80278bda9c1b56a9a6
ERN1,O75460,ERN1,O75460,SAP130,Q9H0E3,1048,977,1.0726714431934494,nuclear,0,True,True,Nuclear speckles,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15561718}.,,ENSG00000136715,SAP130,Supported,https://www.uniprot.org/uniprotkb/Q9H0E3/entry,https://www.proteinatlas.org/ENSG00000136715/subcellular,1b546d10381c8972afaca7728a53709cb1fbffcc55325e8a8ce6c4700c8bd6e8
