query_gene,partner_gene,partner_uniprot,model,score,rank_min,rank_max,rank_mid,panel_size,top5_fractional_credit,top10_fractional_credit,top20_fractional_credit,development_exposed_positive,training_exposed_positive,prior_train_development_pair,homomeric
KEAP1,SQSTM1,Q13501,tuna_retrained,-5.522786617279053,95,95,95.0,303,0.0,0.0,0.0,True,False,True,False
BRCA1,BARD1,Q99728,ipin_baseline,-0.5525114337603251,16,16,16.0,303,0.0,0.0,1.0,False,False,False,False
BRCA1,PALB2,Q86YC2,ipin_baseline,-1.759886344273885,132,132,132.0,303,0.0,0.0,0.0,False,False,False,False
BRCA1,BRIP1,Q9BX63,ipin_baseline,-1.826077143351237,145,145,145.0,303,0.0,0.0,0.0,False,False,False,False
BRCA1,BARD1,Q99728,ipin_optimized,-0.03799167275428772,15,15,15.0,303,0.0,0.0,1.0,False,False,False,False
BRCA1,PALB2,Q86YC2,ipin_optimized,-0.563131054242452,38,38,38.0,303,0.0,0.0,0.0,False,False,False,False
BRCA1,BRIP1,Q9BX63,ipin_optimized,-1.0274316569169362,82,82,82.0,303,0.0,0.0,0.0,False,False,False,False
BRCA1,BARD1,Q99728,tuna_retrained,-5.600692431131999,26,26,26.0,303,0.0,0.0,0.0,False,False,False,False
BRCA1,PALB2,Q86YC2,tuna_retrained,-4.2183451652526855,3,3,3.0,303,1.0,1.0,1.0,False,False,False,False
BRCA1,BRIP1,Q9BX63,tuna_retrained,-5.81093708674113,33,33,33.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,RAF1,P04049,ipin_baseline,-1.1705057621002197,74,74,74.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,BRAF,P15056,ipin_baseline,-1.3491066296895344,99,99,99.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,ARAF,P10398,ipin_baseline,-1.4294844071070354,111,111,111.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,RAF1,P04049,ipin_optimized,0.6731463670730591,15,15,15.0,303,0.0,0.0,1.0,False,False,False,False
KRAS,BRAF,P15056,ipin_optimized,0.502097045381864,22,22,22.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,ARAF,P10398,ipin_optimized,0.0836472362279892,44,44,44.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,RAF1,P04049,tuna_retrained,-5.498026371002197,21,21,21.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,BRAF,P15056,tuna_retrained,-6.137468338012695,48,48,48.0,303,0.0,0.0,0.0,False,False,False,False
KRAS,ARAF,P10398,tuna_retrained,-5.895461718241374,33,33,33.0,303,0.0,0.0,0.0,False,False,False,False
CDK2,CCNA2,P20248,ipin_baseline,-1.4664467970530193,130,130,130.0,303,0.0,0.0,0.0,False,False,False,False
CDK2,CCNE1,P24864,ipin_baseline,0.01669992133975029,20,20,20.0,303,0.0,0.0,1.0,False,False,False,False
CDK2,CDKN1B,P46527,ipin_baseline,-1.599911093711853,145,145,145.0,303,0.0,0.0,0.0,False,False,False,False
CDK2,CCNA2,P20248,ipin_optimized,1.1817440191904705,14,14,14.0,303,0.0,0.0,1.0,False,False,False,False
CDK2,CCNE1,P24864,ipin_optimized,2.5599937438964844,1,1,1.0,303,1.0,1.0,1.0,False,False,False,False
CDK2,CDKN1B,P46527,ipin_optimized,-0.6701095302899679,104,104,104.0,303,0.0,0.0,0.0,False,False,False,False
CDK2,CCNA2,P20248,tuna_retrained,-4.972988764444987,37,37,37.0,303,0.0,0.0,0.0,False,False,False,False
CDK2,CCNE1,P24864,tuna_retrained,-3.866285959879557,9,9,9.0,303,0.0,1.0,1.0,False,False,False,False
CDK2,CDKN1B,P46527,tuna_retrained,-4.926161924997966,34,34,34.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,ARNT,P27540,ipin_baseline,-1.4184089104334514,100,100,100.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,VHL,P40337,ipin_baseline,-0.6756925384203593,22,22,22.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,EP300,Q09472,ipin_baseline,-1.667292594909668,127,127,127.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,ARNT,P27540,ipin_optimized,-1.1929535865783691,72,72,72.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,VHL,P40337,ipin_optimized,-0.24454685052235922,12,12,12.0,303,0.0,0.0,1.0,False,False,False,False
HIF1A,EP300,Q09472,ipin_optimized,-2.375386953353882,235,235,235.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,ARNT,P27540,tuna_retrained,-6.356932004292806,8,8,8.0,303,0.0,1.0,1.0,False,False,False,False
HIF1A,VHL,P40337,tuna_retrained,-8.743433793385824,153,153,153.0,303,0.0,0.0,0.0,False,False,False,False
HIF1A,EP300,Q09472,tuna_retrained,-8.2893705368042,117,117,117.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CDH1,P12830,ipin_baseline,-0.585255761941274,51,51,51.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CTNNA1,P35221,ipin_baseline,0.5045664211114248,4,4,4.0,303,1.0,1.0,1.0,False,False,False,False
CTNNB1,TCF7L2,Q9NQB0,ipin_baseline,-0.6331377228101095,54,54,54.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CDH1,P12830,ipin_optimized,-0.7758577118317286,180,180,180.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CTNNA1,P35221,ipin_optimized,0.2552837133407593,78,78,78.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,TCF7L2,Q9NQB0,ipin_optimized,-0.1231214702129364,108,108,108.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CDH1,P12830,tuna_retrained,-7.666908582051595,191,191,191.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,CTNNA1,P35221,tuna_retrained,-4.234531005223592,23,23,23.0,303,0.0,0.0,0.0,False,False,False,False
CTNNB1,TCF7L2,Q9NQB0,tuna_retrained,-6.833107789357503,137,137,137.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TNF,P01375,ipin_baseline,-0.7483862042427063,33,33,33.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,LTA,P01374,ipin_baseline,-1.4332315524419148,81,81,81.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TRADD,Q15628,ipin_baseline,-2.8718372186024985,243,243,243.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TNF,P01375,ipin_optimized,1.23443599541982,2,2,2.0,303,1.0,1.0,1.0,False,False,False,False
TNFRSF1A,LTA,P01374,ipin_optimized,-0.6288055578867594,55,55,55.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TRADD,Q15628,ipin_optimized,-2.0964779059092202,165,165,165.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TNF,P01375,tuna_retrained,-4.763001998265584,6,6,6.0,303,0.0,1.0,1.0,False,False,False,False
TNFRSF1A,LTA,P01374,tuna_retrained,-10.022473335266113,139,139,139.0,303,0.0,0.0,0.0,False,False,False,False
TNFRSF1A,TRADD,Q15628,tuna_retrained,-14.142199834187826,283,283,283.0,303,0.0,0.0,0.0,False,False,False,False
BECN1,ATG14,Q6ZNE5,ipin_baseline,0.30973300337791443,4,4,4.0,303,1.0,1.0,1.0,False,True,True,False
BECN1,UVRAG,Q9P2Y5,ipin_baseline,-0.27804674704869586,17,17,17.0,303,0.0,0.0,1.0,False,True,True,False
BECN1,BCL2,P10415,ipin_baseline,-2.101015488306681,206,206,206.0,303,0.0,0.0,0.0,False,False,False,False
BECN1,ATG14,Q6ZNE5,ipin_optimized,1.3333593209584553,2,2,2.0,303,1.0,1.0,1.0,False,True,True,False
BECN1,UVRAG,Q9P2Y5,ipin_optimized,0.4440583388010661,9,9,9.0,303,0.0,1.0,1.0,False,True,True,False
BECN1,BCL2,P10415,ipin_optimized,-2.09838859240214,182,182,182.0,303,0.0,0.0,0.0,False,False,False,False
BECN1,ATG14,Q6ZNE5,tuna_retrained,-3.2622700929641724,1,1,1.0,303,1.0,1.0,1.0,False,True,True,False
BECN1,UVRAG,Q9P2Y5,tuna_retrained,-4.638746500015259,4,4,4.0,303,1.0,1.0,1.0,False,True,True,False
BECN1,BCL2,P10415,tuna_retrained,-10.041807492574057,142,142,142.0,303,0.0,0.0,0.0,False,False,False,False
