U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
context,Q00987,U,False,False,37,FGD2,655,3eb82387ef1e43ed5cbd1255434c028d2a8ff3951be3e1d2718f49650b96d98a,Q7Z6J4,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0275008877118428,-0.01042818029721578,-7.460864543914795,-12.42790412902832,-11.1376314163208,-10.342133363087973,61.0,40.0,267.0
context,Q00987,U,False,False,38,PLEKHO1,409,8f93733e55c89af72462b91dc080e6cd90f964229fc3e3fa0174dce529fc567d,Q53GL0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.133501410484314,-1.2669212023417156,-11.003641128540039,-11.811145782470703,-10.909963607788086,-11.241583506266275,78.0,142.0,280.0
context,Q00987,U,False,False,39,ZNF585A,769,cd8be722220512b546736931da613d643629a0102319b1312f9ebe1363ae8a1b,Q6P3V2,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-3.0641635258992515,-2.033596913019816,-5.105288982391357,-7.070749282836914,-6.4426164627075195,-6.206218242645264,279.0,230.0,45.0
context,Q00987,U,False,False,40,ZNF2,425,3bf7414cc0df843541bf68705a9f0ab99f1a27d2d7c1d557db480b4c61546a22,Q9BSG1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.667506138483683,-1.2383998036384583,-6.495161533355713,-9.933990478515625,-6.8984694480896,-7.7758738199869795,262.0,140.0,161.0
context,Q00987,U,False,False,41,RPS6KA3,740,49fe047bcbcb31e41253f9377715ec6f0c7987bb8362e25ebcd09b4ef0afaf83,P51812,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0745191772778828,-0.3932220737139384,-7.558846473693848,-9.540870666503906,-7.147508144378662,-8.082408428192139,67.0,69.0,180.0
context,Q00987,U,False,False,42,TLE6,572,38d934412df40e9ee95fde57c22bba7c2ef3c08312dad51555aea55168bba1e0,Q9H808,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.7288780609766643,-0.20225186149279276,-8.59799575805664,-8.009536743164062,-8.773703575134277,-8.46041202545166,156.0,52.0,198.0
context,Q00987,U,False,False,43,TUBD1,453,0957fcfd23773d3c7268ada6bc2829a5e687e6ff68884ca3a7830bede67b1618,Q9UJT1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.6125301917394002,-0.32633183399836224,-10.479323387145996,-9.536803245544434,-8.400888442993164,-9.472338358561197,137.0,63.0,252.0
context,Q00987,U,False,False,44,MX2,715,9cafa4716b0b4bc85b1c4b7163ac8bc835083bb53e3ba458eb03af0580321885,P20592,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.9317671457926432,-0.851171463727951,-5.888972759246826,-8.60271167755127,-4.814759731292725,-6.4354813893636065,51.0,112.0,60.0
context,Q00987,U,False,False,45,RAD52,418,847a139c2e50a9e6f402079c4eaf7061284ab92b9fd68c381eaa0eca57a55728,P43351,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.7120636701583862,-0.2840885917345683,-6.2820940017700195,-6.949544906616211,-4.64274787902832,-5.958128929138184,36.0,59.0,34.0
context,Q00987,U,False,False,46,UNKL,680,425031f7ec9ca28109105324d08b57606dbbf1f8a3e547c5ea9df9c19af02039,Q9H9P5,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.05058525875210762,-0.15540904800097147,-6.214325904846191,-6.746514797210693,-4.069862365722656,-5.676901022593181,8.0,49.0,25.0
context,Q00987,U,False,False,47,NUP107,925,7e9eebd5bd10618a05dc1266af994c0d8a711ad81b8976970a69269a46603934,P57740,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.6878954966862996,-1.326343019803365,-7.351841926574707,-12.123313903808594,-6.429996013641357,-8.635050614674887,148.0,149.0,214.0
context,Q00987,U,False,False,48,ELL,621,f96e3d86b668df42b57369845b0ddc2d8d30f18704f6b851d5d3b20249f3c5ae,P55199,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.07376236841082573,1.2137871980667114,-2.9831137657165527,-8.212907791137695,-4.245944976806641,-5.147322177886963,9.0,5.0,11.0
context,Q00987,U,False,False,49,GCAT,419,610147436d774ee4c780e306ff2912640f7463b648c1b4e9c595f78671ff2192,O75600,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.388169805208842,-0.15685415267944336,-4.5343017578125,-7.770900726318359,-6.029271602630615,-6.111491362253825,17.0,50.0,41.0
context,Q00987,U,False,False,50,DUX4,424,7081bf005990fb44f12ec01df0135752532424c6cf7f6428e7c0b716bac32d4a,Q9UBX2,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.2656848554809888,1.0461389621098836,-7.837597370147705,-6.392394065856934,-4.195833206176758,-6.141941547393799,15.0,6.0,43.0
context,Q00987,U,False,False,51,AFMID,303,ffc8d52f686a5db6eec0d4c14a41903ab1c6ad1d2d6f852848bf4244e5cd2f99,Q63HM1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.07369468609492,-2.0814141035079956,-7.240859508514404,-9.14024543762207,-5.2086405754089355,-7.196581840515137,66.0,238.0,111.0
context,Q00987,U,False,False,52,ZNF230,474,b80a8083b3f36b3577a39308197472e2fa68eb62fd6954bca845545f1e6b6e3c,Q9UIE0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.7774957021077475,-1.7783653338750203,-4.222988128662109,-6.548834800720215,-7.936260223388672,-6.236027717590332,268.0,205.0,47.0
context,Q00987,U,False,False,53,WDR77,342,f5236aacb5a677fa76a7544f56d4688e94ea3eaadc4c6e5d2ec0d2213a48394c,Q9BQA1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.313106139500936,-2.050406893094381,-9.38121223449707,-9.75550651550293,-7.015810489654541,-8.717509746551514,232.0,235.0,218.0
background,Q00987,U,False,False,54,RASL12,266,ba23a35cf6c6a0be072d109ccf05ef9a34afc2fd7eba28fd0e4140fdc3564dc0,Q9NYN1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.404592275619507,-2.3724632263183594,-8.542328834533691,-11.999288558959961,-8.915157318115234,-9.818924903869629,242.0,253.0,259.0
background,Q00987,U,False,False,55,ZNF780B,833,ff87ee6a81b9fe270c5d7e6888a6449197818ebb0d451924a72dc6a716d96de8,Q9Y6R6,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-3.0963305632273355,-2.518129507700602,-5.364386081695557,-8.015376091003418,-9.528042793273926,-7.635934988657634,281.0,259.0,149.0
background,Q00987,U,False,False,56,WDR83,315,9828924db96f902fbc23aca6864a8445b306ac9dc645f5cc7cc0c5971c48e0c1,Q9BRX9,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.1996611754099527,-0.6146193544069926,-5.0833001136779785,-9.267410278320312,-7.871880531311035,-7.407530307769775,218.0,86.0,134.0
background,Q00987,U,False,False,57,ADGRF4,695,0b4bc10050969ff1764634718b5b410067da4e4ba9217e75b2afced8d24e999c,Q8IZF3,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-3.4982169469197593,-4.57009220123291,-14.1345853805542,-14.715570449829102,-8.843801498413086,-12.564652442932129,291.0,301.0,291.0
background,Q00987,U,False,False,58,EXOSC10,885,313117431a8c3892766e5d52d4cebab709f6dc830a45dc880f0e913fe80bec0e,Q01780,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.7071350614229838,-1.6291468143463135,-7.83196496963501,-11.061984062194824,-5.694725036621094,-8.196224689483643,35.0,182.0,184.0
background,Q00987,U,False,False,59,ACTR3B,418,39e561705378587a244f479773f2b75a0b93addbaac2e22502cc6ece065a4fdd,Q9P1U1,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.6065255800882974,-2.041778326034546,-8.958251953125,-7.438738822937012,-4.111845970153809,-6.836278915405273,256.0,232.0,85.0
background,Q00987,U,False,False,60,FIGNL2,653,ff8ab791be3f107a85c7c19e21c7e3b929e08582adbda23390e56bd328d763cf,A6NMB9,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.6865766843159995,-1.4136093457539876,-7.109915733337402,-9.640138626098633,-4.025180339813232,-6.925078233083089,263.0,158.0,87.0
background,Q00987,U,False,False,61,ANXA11,505,c82b2bc51108c3f2e2959e051a47ae22bcac265e30ea947559f614ffbc4d5850,P50995,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.4252345363299052,-0.7141879598299662,-6.762042045593262,-11.633723258972168,-5.68849515914917,-8.0280868212382,20.0,101.0,177.0
background,Q00987,U,False,False,62,GRM2,872,95d418e293225bfd6e882a972d6a593a5c0dbe96e87443c51c8ac3caa25ec555,Q14416,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.6349616845448813,-2.074697176615397,-12.622380256652832,-13.659566879272461,-13.536225318908691,-13.272724151611328,259.0,237.0,296.0
background,Q00987,U,False,False,63,KCNK18,384,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,Q7Z418,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-3.953963120778402,-3.857860565185547,-15.667854309082031,-15.983298301696777,-12.9865083694458,-14.879220326741537,295.0,294.0,301.0
background,Q00987,U,False,False,64,C1QTNF3,246,f1c1154ee896d65763c86590223a6270704f63c9b7e3dbae263918289fc51b5f,Q9BXJ4,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.176068107287089,-0.07396580775578816,-10.780431747436523,-9.213298797607422,-11.20679759979248,-10.400176048278809,84.0,46.0,269.0
background,Q00987,U,False,False,65,DCAF12L2,463,e314eada8d2875b35ab19f53c26c86659d51e6443c61b0ad20df58224c4d4856,Q5VW00,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.3007569313049316,-1.7522446711858113,-7.700954437255859,-12.349727630615234,-6.979743957519531,-9.010142008463541,229.0,201.0,239.0
background,Q00987,U,False,False,66,CAPNS1,268,52b0706d878664cac77cca85df92d2e3b8b93c9d6f03c75738860222a0c18d3c,P04632,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.7650221784909567,0.007169107596079509,-6.53578519821167,-10.703022003173828,-8.95610237121582,-8.73163652420044,41.0,39.0,220.0
background,Q00987,U,False,False,67,PHYHD1,291,d51e33badd10690e25b48d3a8f22289690c1a5b20fa3335416bf68d3533ee922,Q5SRE7,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.3073430061340332,-1.4273776809374492,-6.336617469787598,-8.419824600219727,-3.8093554973602295,-6.188599189122518,96.0,162.0,44.0
