target,model,positive_subset,U_stratum,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,ipin_optimized,all_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,all_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,ipin_optimized,exclude_development_P,all_U,4,400,404,0.505,0.026332356452838383,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,5.05,0.09992090652113537,1.0
ERN1,ipin_optimized,exclude_development_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,exclude_development_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,all_U,3,400,403,0.35083333333333333,0.007512294740351754,248,248,248.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,context,3,200,203,0.3283333333333333,0.01444681861348528,130,130,130.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,background,3,200,203,0.37333333333333335,0.015380830593106807,119,119,119.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_prior_train_development_P,all_U,4,400,404,0.505,0.026332356452838383,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,5.05,0.09992090652113537,1.0
ERN1,ipin_optimized,exclude_prior_train_development_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,exclude_prior_train_development_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,ipin_optimized,exclude_prior_train_development_P_and_homomers,all_U,3,400,403,0.35083333333333333,0.007512294740351754,248,248,248.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_prior_train_development_P_and_homomers,context,3,200,203,0.3283333333333333,0.01444681861348528,130,130,130.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_prior_train_development_P_and_homomers,background,3,200,203,0.37333333333333335,0.015380830593106807,119,119,119.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,all_P,all_U,4,400,404,0.6575,0.2637616400158356,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_retrained,all_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,all_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_development_P,all_U,4,400,404,0.6575,0.2637616400158356,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_development_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_development_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,all_U,3,400,403,0.5433333333333333,0.011637320380489778,108,108,108.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,context,3,200,203,0.43166666666666664,0.01754330830218223,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,background,3,200,203,0.655,0.03468712327125967,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_prior_train_development_P,all_U,4,400,404,0.6575,0.2637616400158356,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_prior_train_development_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_prior_train_development_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_retrained,exclude_prior_train_development_P_and_homomers,all_U,3,400,403,0.5433333333333333,0.011637320380489778,108,108,108.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_prior_train_development_P_and_homomers,context,3,200,203,0.43166666666666664,0.01754330830218223,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_prior_train_development_P_and_homomers,background,3,200,203,0.655,0.03468712327125967,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,all_P,all_U,3,300,303,0.5155555555555555,0.013401493330794195,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,all_P,context,3,150,153,0.44222222222222224,0.023067210567210568,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,all_P,background,3,150,153,0.5888888888888889,0.030984934336075666,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P,all_U,3,300,303,0.5155555555555555,0.013401493330794195,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P,context,3,150,153,0.44222222222222224,0.023067210567210568,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P,background,3,150,153,0.5888888888888889,0.030984934336075666,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P_and_homomers,all_U,3,300,303,0.5155555555555555,0.013401493330794195,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P_and_homomers,context,3,150,153,0.44222222222222224,0.023067210567210568,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_development_P_and_homomers,background,3,150,153,0.5888888888888889,0.030984934336075666,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P,all_U,3,300,303,0.5155555555555555,0.013401493330794195,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P,context,3,150,153,0.44222222222222224,0.023067210567210568,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P,background,3,150,153,0.5888888888888889,0.030984934336075666,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P_and_homomers,all_U,3,300,303,0.5155555555555555,0.013401493330794195,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P_and_homomers,context,3,150,153,0.44222222222222224,0.023067210567210568,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_baseline,exclude_prior_train_development_P_and_homomers,background,3,150,153,0.5888888888888889,0.030984934336075666,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,all_P,all_U,3,300,303,0.4777777777777778,0.01203983205747688,113,113,113.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,all_P,context,3,150,153,0.4,0.020782458282458283,63,63,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,all_P,background,3,150,153,0.5555555555555556,0.027825690437954756,51,51,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P,all_U,3,300,303,0.4777777777777778,0.01203983205747688,113,113,113.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P,context,3,150,153,0.4,0.020782458282458283,63,63,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P,background,3,150,153,0.5555555555555556,0.027825690437954756,51,51,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P_and_homomers,all_U,3,300,303,0.4777777777777778,0.01203983205747688,113,113,113.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P_and_homomers,context,3,150,153,0.4,0.020782458282458283,63,63,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_development_P_and_homomers,background,3,150,153,0.5555555555555556,0.027825690437954756,51,51,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P,all_U,3,300,303,0.4777777777777778,0.01203983205747688,113,113,113.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P,context,3,150,153,0.4,0.020782458282458283,63,63,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P,background,3,150,153,0.5555555555555556,0.027825690437954756,51,51,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P_and_homomers,all_U,3,300,303,0.4777777777777778,0.01203983205747688,113,113,113.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P_and_homomers,context,3,150,153,0.4,0.020782458282458283,63,63,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,ipin_optimized,exclude_prior_train_development_P_and_homomers,background,3,150,153,0.5555555555555556,0.027825690437954756,51,51,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,all_P,all_U,3,300,303,0.8244444444444444,0.036630036630036625,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,all_P,context,3,150,153,0.7555555555555555,0.050555131790829724,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,all_P,background,3,150,153,0.8933333333333333,0.1259259259259259,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.16716045496620227,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2776328499252997,1.0
TP53,tuna_retrained,exclude_development_P,all_U,3,300,303,0.8244444444444444,0.036630036630036625,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_development_P,context,3,150,153,0.7555555555555555,0.050555131790829724,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_development_P,background,3,150,153,0.8933333333333333,0.1259259259259259,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.16716045496620227,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2776328499252997,1.0
TP53,tuna_retrained,exclude_development_P_and_homomers,all_U,3,300,303,0.8244444444444444,0.036630036630036625,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_development_P_and_homomers,context,3,150,153,0.7555555555555555,0.050555131790829724,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_development_P_and_homomers,background,3,150,153,0.8933333333333333,0.1259259259259259,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.16716045496620227,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2776328499252997,1.0
TP53,tuna_retrained,exclude_prior_train_development_P,all_U,3,300,303,0.8244444444444444,0.036630036630036625,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_prior_train_development_P,context,3,150,153,0.7555555555555555,0.050555131790829724,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_prior_train_development_P,background,3,150,153,0.8933333333333333,0.1259259259259259,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.16716045496620227,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2776328499252997,1.0
TP53,tuna_retrained,exclude_prior_train_development_P_and_homomers,all_U,3,300,303,0.8244444444444444,0.036630036630036625,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_prior_train_development_P_and_homomers,context,3,150,153,0.7555555555555555,0.050555131790829724,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,tuna_retrained,exclude_prior_train_development_P_and_homomers,background,3,150,153,0.8933333333333333,0.1259259259259259,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.16716045496620227,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2776328499252997,1.0
EGFR,ipin_baseline,all_P,all_U,3,300,303,0.6366666666666667,0.0190102120974077,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,ipin_baseline,all_P,context,3,150,153,0.6266666666666667,0.035685838277301686,37,37,37.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,ipin_baseline,all_P,background,3,150,153,0.6466666666666666,0.03907998454057649,31,31,31.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,ipin_baseline,exclude_development_P,all_U,3,300,303,0.6366666666666667,0.0190102120974077,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
