U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_original_rank,tuna_retrained_rank
context,Q99728,U,False,False,11,TOP1,765,fa554cc87a32d58ec860310b47bd8ba0682f5a1f4dee892685283f4289b12e2e,P11387,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.6919902165730796,-1.8600611686706543,0.4724653959274292,-8.158638954162598,-11.011791229248047,-7.710355281829834,-8.960261821746826,241.0,182.0,138.0,243.0
context,Q99728,U,False,False,12,STAT5B,787,3022e4ecd19d9622d20a4bcf5a82abbbbc2392dea73200afda92048e136c000f,P51692,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.0983614524205525,-0.9975699583689371,0.36045482754707336,-4.438640117645264,-8.094075202941895,-5.244588375091553,-5.92576789855957,49.0,78.0,225.0,37.0
context,Q99728,U,False,False,13,FBXW7,707,bfdc26fac48952f19f47f110a28251b1f7ec7812bb7a73933c72ddc40ef840ff,Q969H0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.01667857170105,-1.4913420677185059,0.37604188919067383,-6.128274917602539,-7.749495029449463,-5.015466690063477,-6.297745545705159,168.0,129.0,210.0,58.0
context,Q99728,U,False,False,14,INTS12,462,cdb8c037136728cb114777945a61a218d274971fe7deba65782a4eec1644f8ad,Q96CB8,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.85406231880188,-2.3426138162612915,0.5307527780532837,-7.750985622406006,-5.128132343292236,-8.475314140319824,-7.1181440353393555,253.0,220.0,81.0,114.0
context,Q99728,U,False,False,15,DDX56,547,d4bf3f09a7472b079ca324f70477a2e050973a019f234fc848c78b4d8c1dc847,Q9NY93,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.638696273167928,-2.4362797339757285,0.46812134981155396,-9.12983512878418,-10.451624870300293,-8.682857513427734,-9.421439170837402,238.0,230.0,141.0,263.0
context,Q99728,U,False,False,16,SFMBT1,866,e8fd18bde8ab47cde0df23a9735039f87e9b1b583499ea1addf54378408bdb9e,Q9UHJ3,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.6483060518900553,0.07688965400060017,0.555137574672699,-5.350533485412598,-7.637200355529785,-4.867269992828369,-5.951667944590251,18.0,13.0,62.0,40.0
context,Q99728,U,False,False,17,ARRB1,418,b8c57f388780bdd610e940daed9376303e48088269cff487092179a7eb33a92b,P49407,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.8876512249310812,0.6013323962688446,0.3260878622531891,-10.008965492248535,-9.438239097595215,-8.03598690032959,-9.16106383005778,29.0,3.0,243.0,250.0
context,Q99728,U,False,False,18,GTF3C5,519,150d109a27949d3dba27b6584cec0b0a0699018e047f288cba6915b9022e8bd3,Q9Y5Q8,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.9418093363444011,-1.900145411491394,0.5633675456047058,-9.521970748901367,-7.74149751663208,-11.78419017791748,-9.682552814483643,159.0,185.0,55.0,268.0
context,Q99728,U,False,False,19,ACSS2,701,4b3334bba830c2f7d886e2ec16e1d2a9270108ea40b962522c22590594be467c,Q9NR19,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.0388625462849936,-2.4756091833114624,0.3605690598487854,-10.649078369140625,-10.503703117370605,-8.897295951843262,-10.016692479451498,169.0,234.0,224.0,275.0
context,Q99728,U,False,False,20,BCL9L,1499,d18ef2ec12184986deb86ad1cc45fb524eadcc668d16de46cad51aa3d7b2af5d,Q86UU0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-3.7260104020436606,-2.1578450202941895,0.4096596837043762,-7.819766044616699,-6.727519512176514,-5.600370407104492,-6.715885321299235,291.0,203.0,185.0,91.0
context,Q99728,U,False,False,21,SAXO6,714,91a0be4d01423918e4f32e788eea041b2574c575a6c74b5bba0a7cb98a531395,Q8TC05,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.1977036794026692,-1.6324427127838135,0.37640079855918884,-7.066277027130127,-6.035702228546143,-6.211650848388672,-6.4378767013549805,59.0,143.0,208.0,65.0
context,Q99728,U,False,False,22,ZNF382,550,9c7afc854d29717c32e2ac1b567d70687d7e0e903525b0aedec03447f40cf16d,Q96SR6,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.4102693696816762,-1.2087046305338542,0.5785250067710876,-5.200343608856201,-5.306687355041504,-4.417609214782715,-4.97488005956014,13.0,103.0,43.0,16.0
context,Q99728,U,False,False,23,MED23,1368,9c7cd4e1000690e7e9384ff37b6fdc3f9d755ea5d58e0d10b204cab5a0cde040,Q9ULK4,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.5923930009206138,-1.7086170117060344,0.3978976011276245,-7.821845531463623,-6.311875343322754,-5.768879413604736,-6.634200096130371,234.0,160.0,191.0,86.0
context,Q99728,U,False,False,24,ZIC5,639,bb779aa460cf9d62880f98f605cc92f77174506f0af229d32382b527142bead0,Q96T25,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-4.043086051940918,-1.9323173761367798,0.45580223202705383,-9.579554557800293,-12.649365425109863,-8.132884979248047,-10.120601654052734,299.0,191.0,149.0,279.0
context,Q99728,U,False,False,25,BAHD1,780,0eea02061d8fd1302f402d0772113c1c510d7eec25721fd3187a5031cacffcc8,Q8TBE0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.88114341100057,-2.6791231632232666,0.519143283367157,-8.361777305603027,-9.01735782623291,-8.40407657623291,-8.594403902689615,254.0,248.0,97.0,226.0
context,Q99728,U,False,False,26,MAK,623,52167ce29e8003d2543358b7d7a3a6d3c74e749babf6bb25fbc13b288d7d562c,P20794,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.0832196474075317,-0.5748468637466431,0.5549841523170471,-5.246679782867432,-8.659648895263672,-7.851472854614258,-7.25260051091512,46.0,39.0,63.0,126.0
context,Q99728,U,False,False,27,FOXI3,420,f0b42ed6b9f6b39e90416fc95e54cd2e1fd8e6cfb15472392e35ddb5f10ee026,A8MTJ6,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.739414850870768,-2.103700121243795,0.4236071705818176,-9.24173355102539,-8.660082817077637,-11.101705551147461,-9.667840639750162,243.0,200.0,175.0,267.0
context,Q99728,U,False,False,28,PHC3,983,7a7d96aa7ad108604cd7af7365bde276560cd930eda885270c0e854cff7280eb,Q8NDX5,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.131362199783325,-0.765136294066906,0.5113379955291748,-6.879700660705566,-7.006062984466553,-6.616650581359863,-6.834138075510661,182.0,55.0,101.0,98.0
context,Q99728,U,False,False,29,ZNF385D,395,cfbef40aade02728221097e8e084a69d311bb45fc27d49d3ab7bfc26201be779,Q9H6B1,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.1383652687072754,-2.427126328150431,0.5379951000213623,-7.038498401641846,-5.58540153503418,-8.00368595123291,-6.8758619626363116,183.0,228.0,77.0,100.0
context,Q99728,U,False,False,30,PHF8,1060,d66081596c80ed050012bed72fc55fe9e306d7d9c6b5bb7a126456a1aa4ac043,Q9UPP1,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.8566382726033528,-1.7714473803838093,0.5513404607772827,-5.677243232727051,-9.21938705444336,-8.9807710647583,-7.959133783976237,148.0,169.0,67.0,181.0
context,Q99728,U,False,False,31,NUAK1,661,3e47834d60d364507fbc198d6ad2e889e466bf1aad1c362ceb8b8ea590f033af,O60285,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.5326552788416545,-2.7994467417399087,0.3149667978286743,-8.479077339172363,-7.871549129486084,-8.027966499328613,-8.126197655995687,103.0,255.0,248.0,194.0
context,Q99728,U,False,False,32,ADAR,1226,4c6227d55a2a3c4faac5fee8b9211f1cb694554acbcbaaf1b25886b4a4120f19,P55265,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.966630220413208,-2.2929906050364175,0.4868869185447693,-8.460787773132324,-9.595726013183594,-6.73071813583374,-8.262410640716553,160.0,217.0,123.0,206.0
context,Q99728,U,False,False,33,ZNF18,549,36db86ef92ada45b5a91afee1a0cf96643f3983661081d0bad4118ddc2289bed,P17022,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.5718518495559692,-0.6911813616752625,0.5695962309837341,-4.472529411315918,-6.747877597808838,-7.043075084686279,-6.087827364603679,106.0,48.0,50.0,46.0
context,Q99728,U,False,False,34,CSTF1,431,41a1a69c5826aa17e8ab1f2cba897d7b56bfbef4c9b9f733d624610ae6476701,Q05048,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.6234676440556843,-0.09514339764912923,0.5282060503959656,-6.142054080963135,-8.193222999572754,-5.4676289558410645,-6.600968678792317,111.0,17.0,85.0,81.0
context,Q99728,U,False,False,35,DOT1L,1537,fee687778a3f8e1209fc64cb4c55875b5a9f68b1e5346d315d4a2accf8ef313c,Q8TEK3,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.313418388366699,-2.226997494697571,0.58670973777771,-6.5579376220703125,-8.000385284423828,-7.147875785827637,-7.235399564107259,201.0,211.0,31.0,124.0
context,Q99728,U,False,False,36,LRR1,414,fb29de6475c62029fe6a792723d58ea9620b569dc5d3da978452b639cfc74399,Q96L50,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.3819305896759033,-0.23794247706731161,0.5980110168457031,-8.771793365478516,-8.991655349731445,-8.775541305541992,-8.846330006917318,76.0,23.0,19.0,239.0
context,Q99728,U,False,False,37,ZNF687,1237,d6bf164a5db6060f86ad53c333eb40719a1d208a9faaa0c0cf5ecfcf5fef284b,Q8N1G0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.5373826821645102,-1.6172504822413127,0.4907846450805664,-6.370674133300781,-6.597362041473389,-6.802435398101807,-6.590157190958659,229.0,140.0,119.0,78.0
context,Q99728,U,False,False,38,WTIP,430,e0239b8af92a4693a4117d647e141ebd324aa99ea382bdd25740aaba755f609d,A6NIX2,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.412862737973531,-0.7054069836934408,0.3709423840045929,-6.475452899932861,-9.076051712036133,-5.241272926330566,-6.9309258460998535,85.0,50.0,214.0,106.0
context,Q99728,U,False,False,39,MX2,715,9cafa4716b0b4bc85b1c4b7163ac8bc835083bb53e3ba458eb03af0580321885,P20592,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.6443156003952026,-1.508098880449931,0.5013142228126526,-7.284438610076904,-8.235433578491211,-7.0930376052856445,-7.537636597951253,115.0,132.0,106.0,151.0
context,Q99728,U,False,False,40,HSF1,529,e1332cd2b231cf13fb9f6a650c37a5841475fb58fa1b96299a204bf851ec62d1,Q00613,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.039116660753886,-0.6314192612965902,0.42592987418174744,-4.304870128631592,-8.962565422058105,-5.21940803527832,-6.162281195322673,40.0,43.0,173.0,53.0
context,Q99728,U,False,False,41,ZNF222,451,e2a70849dec3ee0aa1430e01fbf2d7c1da51f9466ad41d046e73125d573791ab,Q9UK12,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,0.03880853081742922,-0.797689159711202,0.5494140982627869,-5.370882034301758,-3.87662410736084,-5.027941703796387,-4.758482615152995,6.0,57.0,70.0,10.0
context,Q99728,U,False,False,42,THOC1,657,db786d1ef2bb66259dcedd75fa4015de64f47f783058ac8aacd4d743c656ab87,Q96FV9,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.8756262063980103,-0.7991189360618591,0.36850908398628235,-5.7077436447143555,-6.564496040344238,-7.362617492675781,-6.544952392578125,151.0,58.0,218.0,74.0
context,Q99728,U,False,False,43,FBXO38,1188,0068ad7d9d6fb925e4dd832427e70f7f9ce5b298fea416c536348caf3683000c,Q6PIJ6,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.8207337061564128,-0.853255013624827,0.431022584438324,-5.908432483673096,-8.118326187133789,-5.712338447570801,-6.5796990394592285,143.0,63.0,169.0,77.0
context,Q99728,U,False,False,44,INPPL1,1258,90eb126213d7187353b8576a84b049128ad4419ba9c6fa21828cb4ac658a32a5,O15357,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.768999973932902,-2.21796186765035,0.27266475558280945,-9.722004890441895,-9.689469337463379,-8.695460319519043,-9.368978182474772,244.0,208.0,264.0,259.0
context,Q99728,U,False,False,45,DTL,730,214dcc052e189a0f2bbfd51e48b60843f587d8c18d2dbba10c5caa7831f0b28e,Q9NZJ0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.1810315450032554,-1.234575629234314,0.5186418890953064,-7.619280815124512,-7.25210428237915,-8.645023345947266,-7.838802814483643,190.0,105.0,98.0,174.0
context,Q99728,U,False,False,46,CDK11A,783,beaadd7a1ba2db12e3477e0c1a2bab941db05c7abc017685aca3dfdf2f0f02fc,Q9UQ88,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.4712897141774495,-2.0472371180852256,0.5805854201316833,-8.412423133850098,-9.196578979492188,-8.703850746154785,-8.77095095316569,94.0,197.0,39.0,235.0
context,Q99728,U,False,False,47,GCM2,506,6b9b0f6eb8c91c3816a1a52290e92f8631e4983b97e08bc3121e9fdeea5fddd7,O75603,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-3.0686610539754233,-3.380688269933065,0.5462425351142883,-7.388023376464844,-5.836446285247803,-6.4602179527282715,-6.561562538146973,266.0,279.0,73.0,76.0
context,Q99728,U,False,False,48,MYBL1,752,b419535583576b54f9ec4fc2f823d9a0fb20d8ce70a71a6515e28aefd752a3d5,P10243,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.8946810563405355,-1.906924804051717,0.589871883392334,-5.983610153198242,-6.272982120513916,-6.241487503051758,-6.166026592254639,31.0,187.0,28.0,54.0
context,Q99728,U,False,False,49,USP25,1055,a0f81f5f3f729e811b03e4ec40869e2cb705c6591f53b3b42f5c5e650b6e0f6e,Q9UHP3,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.7843390703201294,-0.5083462968468666,0.49299514293670654,-5.6462082862854,-9.971450805664062,-5.927128314971924,-7.181595802307129,23.0,34.0,113.0,119.0
context,Q99728,U,False,False,50,USP8,1118,75d3870bdf21bdba60fa8975a7abe3b7be6183613427ad745a98f97bc7659331,P40818,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.9307667016983032,-1.055302123228709,0.48000368475914,-4.313482761383057,-7.974093914031982,-6.197338581085205,-6.161638418833415,32.0,86.0,133.0,52.0
context,Q99728,U,False,False,51,LHX5,402,2f612d60538c739c8e1d970fa243ce79dd00497a7ff968fb3c2762c8b1ca0970,Q9H2C1,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.5256396532058716,0.2918862501780192,0.3280477821826935,-5.65445613861084,-6.573545932769775,-7.363537788391113,-6.530513286590576,15.0,8.0,242.0,73.0
context,Q99728,U,False,False,52,POLD3,466,6680c385eb2aadede95bdb264e3870b65d4657ee553784e91719abf88a67848e,Q15054,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.6375701030095418,-1.4068649212519329,0.5670607686042786,-4.5816874504089355,-6.404349327087402,-6.735383987426758,-5.907140254974365,113.0,120.0,51.0,36.0
context,Q99728,U,False,False,53,BRF2,419,9ad4c07db22299e10a34d49ca8ae0abd45151bc8d205e83894358b16cdf29d9a,Q9HAW0,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.8397541443506876,0.49636709690093994,0.49361467361450195,-6.311934947967529,-5.524888038635254,-4.151682376861572,-5.329501787821452,27.0,5.0,111.0,21.0
background,Q99728,U,False,False,54,AHI1,1196,2c1160aaeeb0fccb2db563b97c46bed9dc3cf0f1565c129947fbc60992c94535,Q8N157,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.6950925588607788,-1.2070503234863281,0.49596890807151794,-7.687370300292969,-10.16831111907959,-4.631894588470459,-7.495858669281006,121.0,102.0,108.0,148.0
background,Q99728,U,False,False,55,SEMA5B,1151,e130baba06b6023b8c9701f4ce55f458f8e89ccf7613f430aebba9736f5e10fb,Q9P283,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.9384432633717856,-2.7392374674479165,0.2412271946668625,-7.793835163116455,-9.564657211303711,-9.50135612487793,-8.953282833099365,259.0,251.0,268.0,242.0
background,Q99728,U,False,False,56,PRIM2,509,f655c010e88eb41d43074f22bc956d23f7a2f7207987efd3c681df1f89a8fbaf,P49643,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.38716790576775867,-0.49580750862757367,0.4164472222328186,-4.625644683837891,-6.558149814605713,-8.167911529541016,-6.450568675994873,12.0,33.0,182.0,68.0
background,Q99728,U,False,False,57,PIPOX,390,bdc3f474ab2c309a04c71b189b1b8b65e2b250ab8ac6e11dc80225a0780b8e11,Q9P0Z9,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-3.355370044708252,-3.342365582784017,0.37900394201278687,-7.400927543640137,-10.220352172851562,-7.921070098876953,-8.514116605122885,281.0,278.0,205.0,221.0
background,Q99728,U,False,False,58,SREBF2,1141,6d5bd13c37b38aedead679c6ad09370938dde3972e33c3aed1130102745e9d8c,Q12772,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.5298982461293538,-0.9794293642044067,0.3831078112125397,-8.175429344177246,-8.825562477111816,-7.365363597869873,-8.122118473052979,101.0,76.0,201.0,192.0
background,Q99728,U,False,False,59,ERICH6,663,be57572441bc7c810d982a5134675a4141558ee7b3fe59a7c2364c5df1e30cf8,Q7L0X2,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.901029149691264,-1.9053223530451457,0.553123950958252,-7.582639217376709,-7.309395790100098,-5.073676586151123,-6.655237197875977,153.0,186.0,65.0,88.0
background,Q99728,U,False,False,60,ANKMY2,441,9243e22df71bd7084e37826c7dbf68c5fa22d3e4851d90039f9417d683001295,Q8IV38,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.9352583090464275,-1.4320168693860371,0.3929779529571533,-6.358731746673584,-8.589594841003418,-7.412476539611816,-7.453601042429606,158.0,121.0,196.0,144.0
background,Q99728,U,False,False,61,WDR72,1102,6f9438144ac6b921cf36fd8189aacb1b9f162a06be23e84f2a54762afa8ae6e4,Q3MJ13,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-3.108108123143514,-1.8214174906412761,0.4711979031562805,-7.709407806396484,-9.106870651245117,-6.639773845672607,-7.818684101104736,270.0,176.0,140.0,173.0
background,Q99728,U,False,False,62,PDZK1,519,e767177774abb2bda5d6a3360d871f68ba7c7c3b2cdb781466b053e3b2526776,Q5T2W1,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.0954726537068684,-1.0552354256312053,0.1663108617067337,-7.817075252532959,-8.31108283996582,-6.3340349197387695,-7.48739767074585,48.0,85.0,295.0,147.0
background,Q99728,U,False,False,63,UNC45A,944,7e2847e60b3d4241029838efaa803d9a398b3b63b2cbd8b1618eef65e581702e,Q9H3U1,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.9957126379013062,-0.8396636744340261,0.4630308151245117,-6.809099197387695,-8.162335395812988,-9.930926322937012,-8.300786972045898,166.0,62.0,144.0,210.0
background,Q99728,U,False,False,64,NLRX1,975,c2d4848c40edff9e6d93fa0713a31c9ce2ecf25b2a259db910be11228549942c,Q86UT6,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.4013036092122397,-1.6751822233200073,0.4065057039260864,-10.191329956054688,-12.170111656188965,-8.263612747192383,-10.208351453145346,212.0,152.0,188.0,284.0
background,Q99728,U,False,False,65,SLC5A9,681,0b9ff8022ce56d434928462fdf3222010a7ed24b8ff666a2bfc2dfe46d84060f,Q2M3M2,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-3.461104949315389,-5.420084794362386,0.1632934957742691,-11.252618789672852,-9.829254150390625,-10.00220012664795,-10.361357688903809,285.0,303.0,296.0,287.0
