query_gene,query_uniprot,partner_gene,partner_uniprot,class,query_primary_uniprot,query_sequence_length,query_sequence_sha256,partner_primary_uniprot,partner_sequence_length,partner_sequence_sha256,uniprot_release,uniprot_release_date,optimized_score,baseline_score
ERN1,O75460,B3GAT1,Q9P2W7,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9P2W7,334,b0dd8d84ad3e5def0a5bd9968c93ce92d4df4a8a4b6f87f5b5b5be07d44cfa83,2026_03,02-September-2026,-0.89117674032847083,-1.2864078481992085
ERN1,O75460,BAG6,P46379,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P46379,1132,99e4e7960700532799dc7064b6ed16cbc6432ae1c9eae245227e89ac43d42ce1,2026_03,02-September-2026,-2.3926660219828286,-2.0920268694559732
ERN1,O75460,BGN,P21810,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P21810,368,9596471dd2f257de479d3957dc3528ed0685866d5597cd71cf993ce98777a819,2026_03,02-September-2026,-4.4317852656046552,-3.5866825580596924
ERN1,O75460,BLTP2,Q14667,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q14667,2235,ec497bcad3f5e8a3f68975ea3ae0b6024b84adac1158ec2e16f0658f0854a006,2026_03,02-September-2026,-4.6390372912089033,-2.4188753763834634
ERN1,O75460,BMP2,P12643,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P12643,396,6542066a27136f5808dff4ab46c55e644401228c62b9cfa317c5b3afadb2abf7,2026_03,02-September-2026,-1.9141330718994141,-1.7021567821502686
ERN1,O75460,BMP2K,Q9NSY1,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NSY1,1161,04770a360e7954ab34f507b43e99f4bf5e82130f35800ddd1a5c8b5cbeeadc80,2026_03,02-September-2026,-4.1138143539428711,-2.8870987892150879
ERN1,O75460,BMP4,P12644,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P12644,408,d33315eb3aa3425aa85de6e46ec9f17a8aaa9ae2bbc48787a1192876eff8f954,2026_03,02-September-2026,-2.079217791557312,-1.8244154453277588
ERN1,O75460,BMP5,P22003,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P22003,454,524f65b0e73d4398394efe20e36cf9a98019b8551fcb8b101972363bd2990a87,2026_03,02-September-2026,-2.2014498710632324,-2.0381588538487754
ERN1,O75460,BPNT1,O95861,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O95861,308,b98c35af5cb2bfae47bc0793fdcc6252c4f29eb6a7ec98bfa56a01d6eb3dbff4,2026_03,02-September-2026,-2.8003903230031333,-1.7324438492457073
ERN1,O75460,BRD4,O60885,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O60885,1362,3c818ee2c080f534eaf3cb422f25c94f2f49241f958d47673d7c8575ec18a73e,2026_03,02-September-2026,-3.4887879689534507,-2.7342794736226401
ERN1,O75460,BTN1A1,Q13410,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q13410,526,30581104597fc54b377f3b3e2273c13f71bd3e47a12d3e65e5d14b37246ef9db,2026_03,02-September-2026,-1.5072509398063023,-2.0551250378290811
ERN1,O75460,C12orf4,Q9NQ89,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NQ89,552,f59358d5a1cdf455053974e16d0b04e88de7e20a08fa3ffd90a88f1db8924568,2026_03,02-September-2026,-1.6167763074239094,-1.667284369468689
ERN1,O75460,C12orf57,Q99622,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q99622,126,9016d21dfc9ba1400d9d68644838e0ab1bc1deb19d26df8ef0d8e9acaa717de3,2026_03,02-September-2026,-2.413496414820353,-2.0441102186838784
ERN1,O75460,C15orf48,Q9C002,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9C002,83,ab42000e7f7bed124f2c8831183ba0768b990dc68a8acf38921f41e7b479f2de,2026_03,02-September-2026,-2.706463098526001,-2.6995158990224204
ERN1,O75460,CALB2,P22676,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P22676,271,d35b5713afec3d662a9f22e3d5a62d4a14f3abfd82fa92832914f1c8b7615c3b,2026_03,02-September-2026,-0.96012767155965173,-2.1821297009785972
ERN1,O75460,CARMIL2,Q6F5E8,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q6F5E8,1435,3b24dfffcfd8291f96980a44677dc149ebbd99cc145af9837fa4575bf95c1eba,2026_03,02-September-2026,-2.982067902882894,-2.2041586240132651
ERN1,O75460,CCDC115,Q96NT0,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q96NT0,180,7fd5ee395f824b5d53efadaeaeb1509a86353f25a339652fa8bf51ae604d77f3,2026_03,02-September-2026,-1.6728688081105549,-2.3595451513926187
ERN1,O75460,CCNT1,O60563,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O60563,726,7cddb9224d8365b7b8cacec7ab8d651735abffb63fbe3ee06b6c0c99ae9ca842,2026_03,02-September-2026,-3.3130574226379395,-2.3310047785441079
ERN1,O75460,CD274,Q9NZQ7,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NZQ7,290,b1b17c7fca3cbab15bc66b90bd4c07f73617cb5a03db105b0a38084fe7bca48b,2026_03,02-September-2026,-2.9978822867075601,-2.4611988862355552
ERN1,O75460,CD4,P01730,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P01730,458,b598cecf65abf705dba5812286f09dfd6921c638b3f0c7cbee5a156df090db63,2026_03,02-September-2026,-3.9008228778839111,-2.920490026473999
ERN1,O75460,CD68,P34810,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P34810,354,1ce65b514b2da647edba33b17ba6587a73fde0645399710a68c43668c3e9bfcf,2026_03,02-September-2026,-3.7721724510192871,-2.9228260517120361
ERN1,O75460,CDKN2C,P42773,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P42773,168,c9144e8a63aa8c3d4149002416bc1768b6b69505b4a2008b23dad23fc6166434,2026_03,02-September-2026,-0.91052663326263428,-1.6638583342234294
ERN1,O75460,CDS1,Q92903,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q92903,461,492e38fb084c209130b00a3ed7b59fb96d61a4874bc9145a301ab4e84ed1bc8f,2026_03,02-September-2026,-2.2572780450185141,-2.3748435974121094
ERN1,O75460,CDS2,O95674,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O95674,445,5c7f7e597afea2aab583cc1ef094f67984395d4ae00412212cd0506ac2a7c555,2026_03,02-September-2026,-1.7569279670715332,-2.1238442659378052
ERN1,O75460,CDSN,Q15517,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q15517,529,1d1d6a3dd6adc416932ec92677b2c1621230c5b86aacdecfc059fa2dff84909c,2026_03,02-September-2026,-1.8005808989206951,-1.4868601163228352
ERN1,O75460,CELA1,Q9UNI1,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9UNI1,258,810a03461d9a30b688f5948cebb5972e4b7c4ab0748eeb4da7a51ff0dc11c713,2026_03,02-September-2026,-2.5970874627431235,-1.7483547925949097
ERN1,O75460,CELA2A,P08217,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P08217,269,5543f0f8a802244a6a5649116e82b6c9fbc22420a3849b0a67b6fb85d597679d,2026_03,02-September-2026,-3.5067018667856851,-2.7588366667429605
ERN1,O75460,CELA2B,P08218,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P08218,269,a513d0f01aed7602bb551a2e2b29bd9296bae05e18b80ffc4916b55d07f5de56,2026_03,02-September-2026,-3.2080824375152588,-2.4894298712412515
ERN1,O75460,CELA3A,P09093,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P09093,270,92185b625151664190a37f855d0e088d17a0661e5527259293beefef0eabece7,2026_03,02-September-2026,-4.2125517527262373,-3.267256180445353
ERN1,O75460,CELA3B,P08861,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P08861,270,358bfbf6cc276530faa6cc72746c7d015c1d55253b8baf330874072a6b52637e,2026_03,02-September-2026,-4.122560977935791,-3.2841891447703042
ERN1,O75460,CEP170,Q5SW79,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q5SW79,1584,973414eac970d61a4a073cb56fd98868f2657bac2e81a6847bf947f8d9a2fab0,2026_03,02-September-2026,-3.917917569478353,-2.8369959195454917
ERN1,O75460,CEP19,Q96LK0,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q96LK0,163,1ae86f4c8e796dd30815cff184ec798733516ebefa8696629b1b69e6fd539f7d,2026_03,02-September-2026,-1.9424712260564168,-2.0533841053644815
ERN1,O75460,CHIT1,Q13231,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q13231,466,b80e7f8779cf9ff1123674a0495773359793a44a934fff710ef4e675278f619f,2026_03,02-September-2026,-1.9562753836313884,-2.3430173397064209
ERN1,O75460,CHRDL2,Q6WN34,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q6WN34,429,bf3bf614ebfefbe52a8a618542d545b9fbac82b91e93bf8e92bf2fa946e8c3fb,2026_03,02-September-2026,-3.0026596387227378,-1.6204651196797688
ERN1,O75460,COCH,O43405,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O43405,550,329f0527f70d6733ae4a37066df68f85148893df557242ca0e8b07d354198378,2026_03,02-September-2026,-3.397143522898356,-2.8720998764038086
ERN1,O75460,CPA3,P15088,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P15088,417,39d5006d6452e28c6d09de4c63971be9b9238c8a61d1f551424d758dbf78ff7a,2026_03,02-September-2026,-4.4976431528727217,-3.0499007701873779
ERN1,O75460,CRHBP,P24387,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P24387,322,8fc385be2df9b754058391ed7755e313e2864033245f2cfedce6448f2b5703ef,2026_03,02-September-2026,-3.255918582280477,-3.9998922348022461
ERN1,O75460,CSN2,P05814,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P05814,226,1a7f815ac9993bf6dad1b914bf8760ca533094723a8453ca0d50b046832c25be,2026_03,02-September-2026,-2.1741855939229331,-1.122626781463623
ERN1,O75460,CSPG4,Q6UVK1,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q6UVK1,2322,b3e4372d480afb946499f545fe67d1f4c532736435265b6ab9352ed469cf2860,2026_03,02-September-2026,-2.0423222780227661,-1.5844227870305378
ERN1,O75460,CST7,O76096,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O76096,145,9ad3d0b9553aa07076df95b930be4487a137bddfff9eebaffc49e6695848c369,2026_03,02-September-2026,-3.0978732903798423,-3.854268709818522
ERN1,O75460,CTSB,P07858,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P07858,339,fd1d7c74a3dfed65d3084eebd2e21e15fa9d7137233e72bfca1515bb01aa3c34,2026_03,02-September-2026,-5.1527999242146807,-4.1334842046101885
ERN1,O75460,CYFIP1,Q7L576,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q7L576,1253,8991de39d2b4a86c1ab5a9ff23cfe755d196ef0f2522868c2d05d0e5cd149385,2026_03,02-September-2026,-2.226201057434082,-1.8373752037684123
ERN1,O75460,DDR1,Q08345,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q08345,913,8668509c1c5a38917d30a46f023eded94584a129e7dac90b7e80fd4e56d943ac,2026_03,02-September-2026,-3.9530983765920005,-2.1148371299107871
ERN1,O75460,DMBT1,Q9UGM3,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9UGM3,2413,690ac18bbb39715b693324b861adea25985a77be9474b173c38638b153f9be81,2026_03,02-September-2026,-0.59896604220072425,-0.97740181287129724
ERN1,O75460,DNAJB13,P59910,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P59910,316,9fae7056d6ea9bdb428a333aca64e3566a8408f18242cbb1031f0d8d2651249e,2026_03,02-September-2026,-2.4593412478764853,-2.9900089104970298
ERN1,O75460,DNALI1,O14645,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O14645,258,59248028801c3f09ba40fae15127ee4771e95ef1f27b9133a1549ac18a86f6e4,2026_03,02-September-2026,-2.6164007186889648,-1.6978341738382976
ERN1,O75460,DROSHA,Q9NRR4,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NRR4,1374,471e95563918082caec3b5cd193f78c72a43ca7535721f27e3f371d0ff5454a1,2026_03,02-September-2026,-4.3860058784484863,-2.7298700014750161
ERN1,O75460,EGFR,P00533,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P00533,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,2026_03,02-September-2026,-3.3495078881581626,-2.1416449149449668
ERN1,O75460,EIF2B2,P49770,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P49770,351,7c91d6fa65de0dc91b2fdc82dfea2e83c69c3f02ca15df415cd4a957ecdb29f8,2026_03,02-September-2026,-3.2275700569152832,-3.0758700370788574
ERN1,O75460,ENPP3,O14638,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O14638,875,332a615fa2c3bc173a06bcc49fae71432ccdd91eb59277b93cb8bbbbf0e67a42,2026_03,02-September-2026,-2.6040727297465005,-2.5070203940073648
ERN1,O75460,EPCAM,P16422,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P16422,314,e5d527336d82e9309b5ea19a32a85ad410a303db94b245801462e791abd1623c,2026_03,02-September-2026,-2.4085863431294761,-2.335610787073771
ERN1,O75460,ERVFRD-1,P60508,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P60508,538,7a43016ccd49145495afc02c7b04ae88d8cb63c150bc1d75f27241aa8e4f7ba4,2026_03,02-September-2026,-3.3067161242167153,-3.5105106035868325
ERN1,O75460,ERVV-1,B6SEH8,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,B6SEH8,477,bd20f7e2367c94149aac5ba0c18ab41746867796ae5b5fd600782a25e6ac9915,2026_03,02-September-2026,-4.3542895317077637,-3.5173780123392739
ERN1,O75460,ERVV-2,B6SEH9,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,B6SEH9,535,480e135a5533ca30bd70b4caa317aa4c5c60292229d20e01d6a65a9c2e7978ed,2026_03,02-September-2026,-4.3108603954315186,-3.3967797756195068
ERN1,O75460,EZR,P15311,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P15311,586,bfc1203c9856e9f80dc0b3bfcd04ef0aab711badd6d31eab3e67ed39d9dcf033,2026_03,02-September-2026,-3.6295159657796225,-2.2792571385701499
ERN1,O75460,FCN3,O75636,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O75636,299,7168a184904e96089f1c05f7f43fd691458db24e61b7e0d86389b209300d599c,2026_03,02-September-2026,-4.4826541741689043,-3.582468350728353
ERN1,O75460,FIP1L1,Q6UN15,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q6UN15,594,6a95d057c99847ad527f941644728c4ea7b8845f40608e257e6e625d154d0650,2026_03,02-September-2026,-3.0426739056905112,-1.6741066376368205
ERN1,O75460,FJX1,Q86VR8,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q86VR8,437,a01c59ecc8d39876ea35dc8beb554655ca8f757b49c9e476f2734b0565e9c1f6,2026_03,02-September-2026,-2.8772424856821694,-2.6835114161173501
ERN1,O75460,FKBP4,Q02790,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q02790,459,6ebcd9d1f5201ce756f83bdc960921125f57a30d267f8b2993f4652f9c93a620,2026_03,02-September-2026,-3.415834903717041,-2.0102124214172363
ERN1,O75460,FOXD4L1,Q9NU39,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NU39,408,4f3c3848e251cdaaa55057e365f430c9adbf46769aa668185c1dc4c1c258a3c4,2026_03,02-September-2026,-2.4909263451894126,-2.226188818613688
ERN1,O75460,FXYD7,P58549,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P58549,80,13ba7908746f5c538b3299b28d6bd36fa1bd03a4310ae824b9fa53e4067a3c55,2026_03,02-September-2026,-2.6153333187103271,-2.4916609128316245
ERN1,O75460,FZD7,O75084,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O75084,574,8ecc09d746ea0a01c7d6990b41faecbfb0e1afee82c84b509dea60851eaecf1c,2026_03,02-September-2026,-4.0580860773722334,-4.572667121887207
ERN1,O75460,GAPDH,P04406,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P04406,335,4b2c2bd32a59c45cd89bf42b340c41f03a8517f2fd427d837cfa76b63742ffee,2026_03,02-September-2026,-2.7233374118804932,-2.7471179167429605
ERN1,O75460,GCLC,P48506,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P48506,637,06e0ce45faa2300e8b207959833598caab00d7718c9cd0c6877d83cd56a665e3,2026_03,02-September-2026,-2.4258438746134439,-2.932044823964437
ERN1,O75460,GCLM,P48507,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P48507,274,2f8ea1be4e3ca964b1b5e0c74056e2a434c8def2d6c90f5fbd1e69b83e947990,2026_03,02-September-2026,-3.618560473124186,-3.2248203754425049
ERN1,O75460,GDAP1L1,Q96MZ0,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q96MZ0,367,6d168180a717665828e445621563346b8ffdf8670ed9d0d48a5ada9d21027678,2026_03,02-September-2026,-1.2937426169713337,-0.88158243894577026
