sequence_sha256,historical_exact_TRAIN_endpoint,historical_exact_DEV_endpoint,exact_train_31k_P_endpoint,exact_train_U_pool_endpoint,exact_expanded_development_endpoint,any_model_exact_TRAIN_DEV_endpoint,newly_flagged_endpoint
00bc092ccb3b0795e863c0c705a463f19d07a99f50a99ab3c115e182e6f850e9,False,False,False,False,False,False,False
00bc84753b9793e2e34a5500edce311ba6bcc302ef897629a49d86081ccc2573,True,True,True,True,True,True,False
00be3c53ecd04a27f8db1cc3d0e38c4906af2313cfaaefddff5e521b7742d7d1,True,True,True,True,True,True,False
00c4be1f8f2dfe6d043052412cf69888c37aee50a43d34164f3bd4c9a3dfb70a,False,False,False,False,False,False,False
00c6241cbf2a1d2c2f2b8ca315b302e22459063e1bacec1f77d0945469387c75,True,True,True,True,True,True,False
00c9c3dd7125b89e408a24ea6948b68c1e6a2918b482ff73cfeeec82f58554f4,False,False,False,False,False,False,False
00ca00a84ef0e88a3965fcd2fd6485b2a0d5d2e82fd2f2ee3c8dabb1e1ab14df,False,False,False,False,False,False,False
00d000b5802e419d23a0568cd3eaa2fa932bb8c01d1bf6a4d8ccabb4d15ef591,False,False,False,True,False,True,True
00d07e9bf01fe0380ae9c0d8d242d43b242f065361d52d32be967a11fa9cec0a,False,False,False,False,False,False,False
00d2910960a27d392ef0d18ae6a73b1116de6de29922677f781a8254d866b2c8,False,False,False,False,False,False,False
00d89dd1bc4dffe429cbb26dbec33498b83475449928642e802d2c953710753e,False,True,False,False,True,True,False
00db91b4578ef5aae6a919976e58dcdc9cd9ca77a912f999f0aa62c9cacee3c0,False,False,True,True,False,True,True
00de3d04b94e1fccbedae3f466c93d8dac32cbbb36fcea961a3abdebbdcbb1b3,False,False,False,False,False,False,False
00e3a1cd1fb2b42d09e9e6432f0620e8f1ba4c381bdbf4dac3fb1e08f86f0267,False,True,False,False,True,True,False
00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,False,False,False,False,False,False,False
00faa03960eff7aaf6553ce24656ee7de25ff8202d1435be7ff13d11e7573551,False,True,False,False,True,True,False
00faf52e877f8ec4d0da6ca32313f09350fb35484546287f7d68e8d95efc02b9,True,True,True,True,True,True,False
00fe8415eefd34ee6d77d5c74823b4910b36e776f3cda9ec5aa612ab28aebc8e,False,False,False,False,False,False,False
010279388d4470da88f481db5b36f152065c9fbf0c6ed122f24c296d1ff24551,False,False,False,False,False,False,False
0102f10bc6adfa72158118209d2988a75b5d012aa2e60e8e4457ad8abc3b14e8,False,False,False,True,False,True,True
0105d21c4d1cedf3383d495f2c83bc4794cb87baab521397510e6c1f2d5dcc3c,False,False,False,False,False,False,False
0105ef9f799f2f393815e4ee414aae65daec39e829b5e06770a8b81375cedf9f,False,False,True,True,False,True,True
01062407ddcb2c98548de1d956dafa8c5c18aca14ac61c0d36c635e235eb3e73,False,True,False,False,True,True,False
0107364e156260f9dd15c3e65a2e118abb859bc6c88559e88a8fe0cccd7ca579,True,True,True,True,True,True,False
0109d7827258db081cc89240a49da2500deec2eff44b1896903344e0075a54be,True,True,True,True,True,True,False
0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,False,False,False,False,False,False,False
011ac3729c716c870d415a9468faec44eb4b3295d868d180f7bcf5b6f028b31f,False,False,False,False,False,False,False
011b29df0ce28bf5ed25ab922e3b490924ed2bb990c8e2c6cfbbb7ae893b21db,False,False,False,True,False,True,True
011fb8d31011461160aa215dd4df8e7f883d41c4d66a3e22aa374d5c70142049,False,False,False,False,False,False,False
012183f9b1019887a1e5c9f392825265993249cbda8aa442ddf5a0386e912dff,True,True,True,True,True,True,False
0122dec227550b7e4dfbb84f2583c5e297fa5749353db8d50c24de388c186a48,False,False,False,True,False,True,True
012339a86a89e5e2a785208de67e89465a27f364c4ba34d3f75a739bf80d1666,False,False,False,True,False,True,True
0125d8ce04bafca978fedd75b7cb6fbb587a44858715439ab298c5a61df95ab4,True,True,True,True,True,True,False
0129437b9feb1f8c23bd7b0c0bdefd6dd6834441add9f3a55281e9fdf6013758,False,False,False,False,False,False,False
012b62d19ba2ff5b8f975fa8bf93cc7cfb5cdb0c85d49af7eeb29f216c6f5ffb,True,True,True,True,True,True,False
012c926845dfdaefe6df24a28ef777b1c4502448d85dd23f07821d3216eff16d,False,False,False,False,False,False,False
012ec75c2ced9ef89af1ad0a1b23377a5fd22f265bc1d24dcd144c192016b6c4,False,True,False,False,True,True,False
0136d98f553bd40c5dd5aee99f8c1d9e34e952fcfb31184123f977165783b0bc,False,False,False,True,False,True,True
013c0ae9a88383cc8351886c25f45d039a4c6e163d082202f0fbdee74fd985b1,False,False,False,False,False,False,False
013e07f27a022f2bcac8af13c2e3c4c2225fbb1f61e4ff54b09b32afc9412b15,False,False,False,False,False,False,False
0142befbc8401f79b928667d2c0a584ecc0cf604e57c4c2e06076e486a8fde4d,False,True,False,False,True,True,False
0149ecf7121e44736c88047c6dfcffd17649da43effbb4d1363f5948ebaefe20,False,False,False,False,False,False,False
014a2ec7aae2b5e98faf242ac6f10354b3c6e146833763e93fa00ec5cecf4b07,True,True,True,True,True,True,False
014d5c62fdf7f8a0fd11c77e346dfd917412ccb85c30ca13d69cd70cc90f65f6,False,False,False,False,False,False,False
014dd24ea6ea11c23768eee762593c05a59edfc52fdbad8834d05e9c628ba1e5,False,False,True,True,False,True,True
0154d06ce124d4d82dd3ac35f58cf01f7978e6d58257694b24a1bb94bf5d7989,True,True,True,True,True,True,False
01565d7e9e39301c2152697b64b13b69b8dd6a375b7dcc352bc5280dbde9e201,False,True,False,False,True,True,False
01579188e7bea3a835d8b069dab3edd115ec8848927988823c9eadc11296e799,False,False,False,False,False,False,False
01584f0a1a21f926c2715e8c3b5c7b8914f8a5b42ccde02b5ed2a5751be6c9c2,False,False,False,False,False,False,False
015cbea61cda500fa2b947f7eaec5a3c18063f0cced5c05da886b401777cd98c,False,False,False,False,False,False,False
015f4bd91eb1ae0731e7fa44552636508f59862c9269876fbbc107774dfe54dd,False,False,False,True,False,True,True
0160cd0c529f86516b445bddbd911770a0c3daece3c70b14b7e9b824705e37ac,False,False,False,False,False,False,False
016140b9cd7896fede7578d26c18c4c5592f4e560743ba9f4a9347158b6dcfe9,False,False,False,True,False,True,True
01670dc46fcf157854eefb0f3d7734540decf65b9df938c67ca51288015e535c,False,False,False,True,False,True,True
016c59e3a8d1b9dce396039892230a953410ecdd19a0ac7a0cd83e0c45537eba,True,True,True,True,True,True,False
016ca06fa839a505bef59e2676dc50a68bab988ba214e05fcbd56f9e65f73a4a,False,False,False,False,False,False,False
016dedc48fb624f3e8268e06db1eb26813422f4212d70c0a44ccc9e2310ae4b4,False,False,False,True,False,True,True
016e00ac5df23ca78af5be54d4bf6eb0411ba5fefbbf465fafc61c03f0771e7a,False,False,False,False,False,False,False
016eb430ac83ff15c8e30033697f04e9928176fb154e3601ad3981e57defada0,False,False,False,False,False,False,False
0176c827199dd0c3578186e27853eb5a3befae2b2bff7944a3886e3061ab4462,False,False,False,False,False,False,False
017754d76f203726a4e7511c66f2f73a0801c7998a053f4821300753e009e546,False,False,True,True,False,True,True
017a5a9485395d6efa5ac9d2daac2acf0eff82c85037981d6622eec75e28e9cc,False,False,True,True,False,True,True
017d0b22db938953cab6f31a871ef92071d378bece9739f1d7cc1268703d29fd,False,False,False,False,False,False,False
01800a30d494dd7ef2a03f23c86e3c10e98e989e770cbae9625e4bc2deffb4b1,False,False,False,False,False,False,False
018324b60fede8c4a6e92450498b27da38ba19ae6e87b57f141d6baef1255646,False,False,False,False,False,False,False
0186fa18d89fa3eb10781ac0bbd6c8efb4336c8f644a58eb1ff5a53a15a8fe82,False,False,False,False,False,False,False
0187df864418fb65abeeb882ef847c5ebabbcb765098c1fa8487fd7f74d33722,False,False,False,False,False,False,False
0188944f951f7300410414315e79beaf06491df606425d46ed0f3f713c0c94c9,False,False,False,False,False,False,False
0189b2724b86504f3b8813639cec7082bd91852857dd1d6b384b96485a7e34e4,False,False,True,True,False,True,True
018ab740d40a2138cc6c2c79a0111b639b4a85952c177248bbd4c114f5e90542,False,False,False,False,False,False,False
018ba5b5386effd78ea51bcaa59270e438900d0eb685659d98b942f5de4e3927,False,False,False,False,False,False,False
019670853f8043a1e1623f4ad2f80a006aa84490eeb22f18f005d6507d235e82,False,False,True,True,False,True,True
019839260589fe81c66aeaf992a993c5ae90bd183e67442f28cac66c8c45136a,False,True,False,False,True,True,False
019db8a168c528c5ccdee2b125ff0e61c44ec9b9db4df8a4d69d47ba91536d4e,True,True,True,True,True,True,False
019e89442fd8a49b4ff7d49465523ecc34972cbc2fc669af17018c2c266f2c9a,False,False,False,False,False,False,False
01a0091049a32000f736911786dfb88ab750ff835138a8581fd7b7a0f3bc1537,False,False,False,False,False,False,False
01a54092563f48d6588b6b2529c652b029ac7cc70a2ba0686c465c9dd5e36a45,False,False,False,False,False,False,False
01a94f11705e76d6747b6e29529607e32c7dac0df85b78165c8fbc95731e31e5,True,True,True,True,True,True,False
01ab6ffeb9a69a50cd0992f112e2dd9302a59f284441c57a86271bdd00547e1b,False,True,False,False,True,True,False
01b5278aea00332d125a098197887ea8e11efd71db467591de4b5250b865ceff,False,False,False,True,False,True,True
01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,True,True,True,True,True,True,False
01bd341df0ecd09176263cd40db7436b66490d929dc0e6005ac02ee854c09a0e,False,True,False,False,True,True,False
01bd9cf6dde1b1e7374875353f61d8bdce1cdce00d8db1e60a2a70afd4acd928,False,False,False,False,False,False,False
01c3425bac9e75b75889e9c96b3d0357e86287618213ffd6575154d3d288927b,True,True,True,True,True,True,False
01c65d6312eb4222f860a135481e45fa6f044b543e33f083fb57331972ddc6c8,False,True,False,False,True,True,False
01c8fa3bcc2dbb4aee4e41d15fe90484a04943bb00b89adc4beaaa0122b6a63e,True,True,True,True,True,True,False
01c9ef0b0d1d7baaddcefdae572b4b7e48e356be5ff6bda70ec44619270d35f4,False,False,False,True,False,True,True
01cdf5c3ff479443fe3ebde9b115a66ffb5e98d0c3f216466c5e3f5054104eaa,False,False,False,False,False,False,False
01d70f5e1a154e2e4d1e4f87ae136c800d0d4ce3c83382938e9117c1aab55c85,True,True,True,True,True,True,False
01da783fc2b770c73c236da88fde71f88b6f29e770e0418871be3f0d5c64d2b3,False,False,False,True,False,True,True
01de1f9ad6f3e993ff7c37fe3c320a4741fadd5e9bb8849a5169cafa410db286,False,False,False,False,False,False,False
01e37d2f3a633693786ed2504a31313d29aa720aaf4e0f022a9ce65bd73328fb,True,True,True,True,True,True,False
01e6f13cca07421e6ef03ff88201382929e055a93482ce6e2d4c40bfad874910,False,False,False,False,False,False,False
01e86819755fd267c0ea343ff8e2d7a122fab3c58d9f8343623684b7ad715101,False,False,False,False,False,False,False
01e988a935055b3c57d7a073517b26d9bed04f57214bf0e7f9b60e40711d4458,True,True,True,True,True,True,False
01ebf64d37aadda69c02aacb245baad2e4f9f66daf80588bb9189c4fd61f8239,False,False,False,False,False,False,False
01f6b32bc671da5125dab3e6764181569c88477283dc37d5b76fac80d8b71713,False,False,False,False,False,False,False
01f9a91033b4f1a14937e437e76edfb9aed8b80f508ce57461da960b27e0042f,False,False,False,False,False,False,False
01fbb0ace33e0fa412a2ab03c79789aadf30139342faea312691065ad97e211f,False,False,False,False,False,False,False
01ff06bc08361b014e03b13aa4868b5f1024400bd6c394cbece238e4b0c7de99,False,False,False,False,False,False,False
0200667aa70b8eab0e71d997f3760f0653c7f154c72b554d0f02aa2d62200d60,False,False,True,True,False,True,True
020418e0b2240d5598eb458dbdeafb0d5ddb44a6148800dbe15d44d962fbc08a,False,False,False,False,False,False,False
020509b1e21cf87c7fd031707a9c1c9a3628c0ad8936051535048d7853874977,False,False,False,False,False,False,False
0205160d1e489c8aa112a25611f724afade5034b07c718ec7cc70c4f71944846,False,False,False,False,False,False,False
020684bc3cff42ddbfa7ac27e037c1f15927d06179b706edf5482463a03f43c4,False,False,False,True,False,True,True
020c11b8422162d1f0031a0b93cc2b1560b0f1eb23b752616591ff327bf3ff6f,False,False,True,True,False,True,True
020fb3ed8a9d233b08a3b5d540d6ecceaedeff4f1c7a35b677970e8c549f8234,False,False,True,True,False,True,True
021a90151d5c4ccd6616c7c82803fe9dbbf53b48679b00bdc2f9c77a41b5676a,False,False,False,False,False,False,False
021fcbfe8a49f5b28561822ae8edf218c3793e066da31f35cf764dac8a623fcf,False,True,False,False,True,True,False
022361e8da70f958fc73df6a6d24006f0f93a1d8fca50ba2c62c3ee4fa512d93,False,False,False,True,False,True,True
0223e30c3b971811b9c64c955bec01baefa6bf1296714d1db98a61f3b5b37fcc,False,False,False,False,False,False,False
0225f6871f1931eb8530853620b2a01187760d6bc9dfb63010082a9a0639e6c4,True,True,True,True,True,True,False
022677d497e66cdd1e44300c6fd4fb061510d938dd27d5335d69ef804c8446b2,True,True,True,True,True,True,False
022c5e46aa4d58f82ea0b1dcb834398f4f1195826519611b0447b8b5e3536ef3,False,False,False,True,False,True,True
023f10424e4f865018d123c92e9a7e3eab1a82f6bf54f7eecff5d5a049c979f4,False,False,True,True,False,True,True
0243361c941afa8d77de3c041b487ff838deafb1916802b5859282d28184a857,False,False,False,False,False,False,False
024435b6a912aaecfa2992585f7d822f4f49a8a1338b3bc6a7b36bd8991acd0a,False,False,False,False,False,False,False
0245deffad73dcd5cf0c8f7c09aef20860fbe11c1fb839049bce6dd95819195c,False,False,True,True,False,True,True
024ad2280c9fa9a79e89baa3b667f0b6c6466930bf76a8707185a5921ead500c,False,False,False,False,False,False,False
024bb19c37eb259cf4e00f545292c3dd77b4259fe500366e7dff04ff9b300f9b,False,False,False,False,False,False,False
024e6e0e175557bafe570528b4942b82b5d170879d4c1aaa01c04a88cd1e35f6,False,False,False,False,False,False,False
0258f4ed5f092d0650b22c15ff291c036a95a3b5b4b5172bf1346e3172aef188,False,True,False,False,True,True,False
025f53bb7b61d7ff93a932e7af3847f13013f8f3a49ab3b2b7f983b2b2c72aee,False,False,True,True,False,True,True
0260b505401ce409585f56f9630f68d64791fcc5f30ba22c2a2956bf038050dd,False,True,False,False,True,True,False
026357a39302bbab8c9ba9a83f6603bef36ef7611cb9631075dd386d2e151383,False,False,False,False,False,False,False
0266279721a3708cfb9dbe49ca05a8c90e87fc1b3808d01cfcb79cf472e0bb78,False,True,False,False,True,True,False
026a2006e044b043ac06697a2d9390a3680a20e2dedb2797de1ccd9d10a7382f,True,True,True,True,True,True,False
026c095bf6a15b3372255e05f845404e8699f41493ab5908719232c6bfae3dbc,False,False,False,False,False,False,False
026f44b94efb82dab73bb96c86f6a2033ea51963b18b06d5e63f590d5b141a2b,False,False,False,False,False,False,False
0270d63c1fd238fcf13cc996688f7854365a60f0c40a6030af492b557c8e805c,False,False,False,False,False,False,False
0270f0f41ef901b7594254734aff43140744a99f85c6d4532effe0fd40df37fb,True,True,True,True,True,True,False
0285991de11ecbe596f79cfe97ec2458a104c5eb2f1313a414cbc1ef9eb6a5c7,True,True,True,True,True,True,False
02875f17070853923320cc091a7125090bd91332a73225c1e73f67e5e01cc5ed,False,False,False,False,False,False,False
028936b8c4533ea4e268ad719b1d346a8a9bc8df20628f39f935899679c24c8e,False,False,False,False,False,False,False
0289697c01df32df85d5d9329cb16982ebbb767f2a6750aadbc82ad4499ed384,False,False,False,True,False,True,True
028bdb5039a4f1a9488a4d040e6a579aed316af230830f7813829d3e6646c056,False,False,False,False,False,False,False
028e25384c333c4eb751e4f09358ccfe19ca1ae392043a85fb1d712447b84197,False,False,False,True,False,True,True
028f4d4e6566b0a43bf03df24d0833f95e4772db5434a3841a945be32735ed1b,False,True,False,False,True,True,False
0295ea67c87464748eac0dd000662f536ff56d7c309611e4604fe61f1efab162,False,False,False,True,False,True,True
02969e538b189ee1ef90ce6a6e2a445bf729010d2e044756bcc22d3546e09412,False,True,False,False,True,True,False
029a67afc4f83fabc31bbb7d9971dd29cb6bc92d2812059be1335afa5226bbc5,False,False,True,True,False,True,True
029b1be827837923bb8c9239d96fcf0bf1d830aaea1884a11c372f32eb18a75c,False,False,False,False,False,False,False
029f8580eefc0e726eb5b51ca651638e2c6a0d294560ae22521c3333fea68d11,True,True,True,True,True,True,False
02a133528dcb1870c1714eb7981ac5ce233858ccf1954c4ee95cdbb9a2eba820,True,True,True,True,True,True,False
02a15e338a8f1eaa56576353dbfc9d8eb1387fdb8fa8906a7f3f8808f8613433,True,True,True,True,True,True,False
02a18a268e6ed3f1c53d8d25f7074d527f990b156c70b092fdffb707cca508e6,False,False,False,False,False,False,False
02a512ae2d579e7ee3c6f876f6a64bde2d46d1cfe2f6aef60ea60fc069d1d80c,False,False,False,False,False,False,False
02a72d538e172816304f657f04ce02920877c22e28d438fb5c4262934fbe281a,False,False,False,False,False,False,False
02a7fa9f4745cdff0335db445a7b4b1a7829e9bb3f6a0771bea04ed6d49fc3cb,True,True,True,True,True,True,False
02aaca23823b37e822096c9c13ef98ef10a0bbdfabb106c1d2e47d46aca7a6da,False,False,False,True,False,True,True
02ac01e9db3894ea674abcba51431327481683ee6990ea09f0869906b51a6bcc,False,False,False,False,False,False,False
02af713eb531c4f813b16c866aa3d679387e0966f94ac43767528da2f60c1510,False,False,True,True,False,True,True
02b0aee44cc7d18c074d3ce1c543f4ec7cf7be1703ccf744d9c1fa552123107c,False,False,False,False,False,False,False
02b2e855e36a9df3ad0daeb0f72e8bb0c64d3dfdca57503c02ef185f20547e44,False,False,False,True,False,True,True
02b63a4f59185406063b809dd6e6326a4b79273768d5b9c55ff295c047b9a236,False,False,False,False,False,False,False
02ba8adadbe52975b0f18f1e0fe5181cdf10fdb5cdb52e87bd451d7c41222310,False,False,False,True,False,True,True
02bbc36a8e068e5a6f038b9039d113de54877a2f35ee25e7933cb6f362f8faff,False,False,False,False,False,False,False
02bbf967c6f1b20b2512361de72713f9e9d82d21d052ad79190a4abed4870ee0,False,True,False,False,True,True,False
02bc5d0a6307e46dd64890f0a0d0ae828bcce0b6a31502ce6c4b3c414475ba03,False,False,False,False,False,False,False
02bcb97182452bfdfba71a1a48dd96c80b387f5f01fb0e765f4569082a80c367,False,False,False,True,False,True,True
02bcc1a0649414450dce0f794b34a68310118bc61d995d539d51a4aac5e40906,False,False,False,True,False,True,True
02bda7c5eb83da10fa0030a561e78a692121d11f2956ac5147e735909a272356,False,False,False,True,False,True,True
02c7cf31dabc4d4cf4a7331164fc4cadfb9c962a61406cc60144ce7f42be7d2d,False,False,False,False,False,False,False
02ca901bb61b9a8f7e387c562c3a2cfde19412d09fcf7b4eb472a4a8101520f3,False,False,True,True,False,True,True
02cbde72e43ec2216f08c7d48c9152f8a61226d4eddc703bccd7c944bcebf006,True,True,True,True,True,True,False
02cd9fe282994502c12ea0f7782e619810cc9f9d00e83fbfefbdca32937a73fe,True,True,True,True,True,True,False
02d0a555ffee67657091c5f31100135307b02dab3113dfbf378c6571ac325d35,False,False,False,True,False,True,True
02d0d7740fa50f41f70de6d0e78157cc38eba52d838fec3dd85b87d71d04761b,False,False,False,False,False,False,False
02d40cea21ed34e001f8ce86979bca2317c07a77384b2b6f7d4173553a204b51,False,False,False,False,False,False,False
02d8ad63219e357c16c4f087ce1d24c1cd2ca0673f5a4ad22d773cd40424c1f9,False,False,False,False,False,False,False
02d9c6461d05a40bce91b1031767757376c406fbaa971b8669aa9207db6eeada,False,False,False,False,False,False,False
02d9df81edb25306e14a0bac6614034a663fb018d7265cfb80e4b37fb9787872,True,True,True,True,True,True,False
02da0b71e29af5f73b79af4dd44faf84e65a003a13438551ea0ab52712e77371,False,False,False,True,False,True,True
02ddbefe50f52d3b5f7e34912c37af3bbeca13731cf0afdfa91d3cb81d127b7f,False,False,False,False,False,False,False
02df8b3bb9e44b33c56a24b5f19c081499a9635d77dc8b5ab55e9b623687fe52,False,False,False,False,False,False,False
02e02e05b233d7c59ed7a009091770ba76eb2f08a791fe61d0b07fcb54a87f0a,False,False,False,False,False,False,False
02e2e7f35b9e77e5ba8a77ba5428d649f5b60f5c021f6198f6dac1282fd06e59,False,False,False,False,False,False,False
02e3bbe355bf70c99f1c45f8c6f57d45a93ba9630fcda7297c08a67d190b1ff9,True,True,True,True,True,True,False
02eb87187606f72f24b1911e07276e2ae27d0f64c3638f1233e35c88ba0890b3,True,True,True,True,True,True,False
02ff564638b6d6c0cc1bdbb27b4b4592dbadec6288679f4e3430bc9b804f0db0,True,True,True,True,True,True,False
0305524072b4fb37bd6f68341c86f234e3a8f95acf11ddc5b6b1357b30ece719,False,False,True,True,False,True,True
030781d3ccf61b99a62b8992337fbeb95daa25957bf06f34b2069202203c0de3,False,False,False,False,False,False,False
