query_gene,query_uniprot,partner_gene,partner_uniprot,class
HIF1A,Q16665,TTBK2,Q6IQ55,U
HIF1A,Q16665,HCFC1,P51610,U
HIF1A,Q16665,ANKRD31,Q8N7Z5,U
HIF1A,Q16665,SUPT6H,Q7KZ85,U
HIF1A,Q16665,DNMT1,P26358,U
HIF1A,Q16665,PTPN13,Q12923,U
HIF1A,Q16665,ZFHX3,Q15911,U
HIF1A,Q16665,KNTC1,P50748,U
HIF1A,Q16665,NAV3,Q8IVL0,U
HIF1A,Q16665,ZMYM2,Q9UBW7,U
HIF1A,Q16665,CHD8,Q9HCK8,U
HIF1A,Q16665,CPSF1,Q10570,U
HIF1A,Q16665,KDM5A,P29375,U
HIF1A,Q16665,YLPM1,P49750,U
HIF1A,Q16665,KDM5C,P41229,U
HIF1A,Q16665,KDM3A,Q9Y4C1,U
HIF1A,Q16665,PER1,O15534,U
HIF1A,Q16665,ASXL1,Q8IXJ9,U
HIF1A,Q16665,TCOF1,Q13428,U
HIF1A,Q16665,TICRR,Q7Z2Z1,U
HIF1A,Q16665,ZFHX4,Q86UP3,U
HIF1A,Q16665,BRPF1,P55201,U
HIF1A,Q16665,ZNF532,Q9HCE3,U
HIF1A,Q16665,DHX9,Q08211,U
HIF1A,Q16665,NEK1,Q96PY6,U
HIF1A,Q16665,DOT1L,Q8TEK3,U
HIF1A,Q16665,MYCBP2,O75592,U
HIF1A,Q16665,TRIP12,Q14669,U
HIF1A,Q16665,MKI67,P46013,U
HIF1A,Q16665,ANKRD11,Q6UB99,U
HIF1A,Q16665,CNOT1,A5YKK6,U
HIF1A,Q16665,CAND1,Q86VP6,U
HIF1A,Q16665,AGTPBP1,Q9UPW5,U
HIF1A,Q16665,TRPS1,Q9UHF7,U
HIF1A,Q16665,PDS5B,Q9NTI5,U
HIF1A,Q16665,HTT,P42858,U
HIF1A,Q16665,GLI3,P10071,U
HIF1A,Q16665,JARID2,Q92833,U
HIF1A,Q16665,NUP98,P52948,U
HIF1A,Q16665,SLX4,Q8IY92,U
HIF1A,Q16665,CYFIP2,Q96F07,U
HIF1A,Q16665,ZNF335,Q9H4Z2,U
HIF1A,Q16665,FAM193A,P78312,U
HIF1A,Q16665,KIF13A,Q9H1H9,U
HIF1A,Q16665,COL18A1,P39060,U
HIF1A,Q16665,COL17A1,Q9UMD9,U
HIF1A,Q16665,NOTCH2,Q04721,U
HIF1A,Q16665,MYH9,P35579,U
HIF1A,Q16665,FREM3,P0C091,U
HIF1A,Q16665,PFAS,O15067,U
HIF1A,Q16665,NBPF26,B4DH59,U
HIF1A,Q16665,APC2,O95996,U
HIF1A,Q16665,CFAP47,Q6ZTR5,U
HIF1A,Q16665,DICER1,Q9UPY3,U
HIF1A,Q16665,TNS2,Q63HR2,U
HIF1A,Q16665,COL7A1,Q02388,U
HIF1A,Q16665,CHL1,O00533,U
HIF1A,Q16665,ARAP3,Q8WWN8,U
HIF1A,Q16665,ACACB,O00763,U
HIF1A,Q16665,PLXNB1,O43157,U
HIF1A,Q16665,SCN1A,P35498,U
HIF1A,Q16665,CRYBG2,Q8N1P7,U
HIF1A,Q16665,MYO7B,Q6PIF6,U
HIF1A,Q16665,ARHGEF11,O15085,U
HIF1A,Q16665,DSP,P15924,U
HIF1A,Q16665,PCF11,O94913,U
HIF1A,Q16665,KDM6A,O15550,U
HIF1A,Q16665,ANKRD36B,Q8N2N9,U
HIF1A,Q16665,DOCK9,Q9BZ29,U
HIF1A,Q16665,CSMD3,Q7Z407,U
HIF1A,Q16665,KIF27,Q86VH2,U
HIF1A,Q16665,ASCC3,Q8N3C0,U
HIF1A,Q16665,LRP4,O75096,U
HIF1A,Q16665,TOP2A,P11388,U
HIF1A,Q16665,USP6,P35125,U
HIF1A,Q16665,KIAA0232,Q92628,U
HIF1A,Q16665,PCDH15,Q96QU1,U
HIF1A,Q16665,MICAL2,O94851,U
HIF1A,Q16665,CUBN,O60494,U
HIF1A,Q16665,WRN,Q14191,U
HIF1A,Q16665,CARMIL1,Q5VZK9,U
HIF1A,Q16665,GREB1,Q4ZG55,U
HIF1A,Q16665,KIF16B,Q96L93,U
HIF1A,Q16665,DOCK8,Q8NF50,U
HIF1A,Q16665,MAST1,Q9Y2H9,U
HIF1A,Q16665,CNTNAP5,Q8WYK1,U
HIF1A,Q16665,POGZ,Q7Z3K3,U
HIF1A,Q16665,MLH3,Q9UHC1,U
HIF1A,Q16665,CHD7,Q9P2D1,U
HIF1A,Q16665,ADGRB2,O60241,U
HIF1A,Q16665,ZFC3H1,O60293,U
HIF1A,Q16665,NEURL4,Q96JN8,U
