species,target_id,subset,candidate_set,model,target_similarity_bin,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,background,ipin_tuna_31k,30_to_50pct,2,98,100,0.923469387755102,0.3125,2,2,2.0,0.5,1.0,0.5,0.2,10.0,0.38685280723454163,1.0,1.0,0.5,0.1,5.0,0.38685280723454163,1.0,2.0,1.0,0.1,5.0,0.5368596003428795,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,30_to_50pct,2,100,102,0.65,0.05266343825665859,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5500000000000003,0.15693994437792994,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,30_to_50pct,2,100,102,0.575,0.035873015873015876,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,30_to_50pct,2,100,102,0.79,0.09774436090225563,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,5.1000000000000005,0.20438239758848611,1.0,1.0,0.5,0.05,2.5500000000000003,0.20438239758848611,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,30_to_50pct,2,100,102,0.865,0.14,5,5,5.0,0.2,1.0,0.5,0.2,10.200000000000001,0.23719771276929622,1.0,1.0,0.5,0.1,5.1000000000000005,0.23719771276929622,1.0,1.0,0.5,0.05,2.5500000000000003,0.23719771276929622,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,30_to_50pct,2,198,200,0.6994949494949495,0.030309278350515466,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,30_to_50pct,2,198,200,0.6338383838383839,0.02115171650055371,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,30_to_50pct,2,198,200,0.7828282828282829,0.05827505827505827,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,5.0,0.1710330840677181,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,30_to_50pct,2,198,200,0.8939393939393939,0.10897435897435898,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,10.0,0.21840743681816419,1.0,1.0,0.5,0.05,5.0,0.21840743681816419,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,30_to_50pct,2,98,100,0.75,0.06666666666666667,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5,0.16569576576522954,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,30_to_50pct,2,98,100,0.6938775510204082,0.04904306220095694,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5,0.14186890186599416,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,30_to_50pct,2,98,100,0.7755102040816326,0.12380952380952381,5,5,5.0,0.2,1.0,0.5,0.2,10.0,0.23719771276929622,1.0,1.0,0.5,0.1,5.0,0.23719771276929622,1.0,1.0,0.5,0.05,2.5,0.23719771276929622,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_tuna_31k,30_to_50pct,2,98,100,0.923469387755102,0.3125,2,2,2.0,0.5,1.0,0.5,0.2,10.0,0.38685280723454163,1.0,1.0,0.5,0.1,5.0,0.38685280723454163,1.0,2.0,1.0,0.1,5.0,0.5368596003428795,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,30_to_50pct,2,100,102,0.65,0.05266343825665859,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5500000000000003,0.15693994437792994,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,30_to_50pct,2,100,102,0.575,0.035873015873015876,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,30_to_50pct,2,100,102,0.79,0.09774436090225563,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,5.1000000000000005,0.20438239758848611,1.0,1.0,0.5,0.05,2.5500000000000003,0.20438239758848611,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,30_to_50pct,2,100,102,0.865,0.14,5,5,5.0,0.2,1.0,0.5,0.2,10.200000000000001,0.23719771276929622,1.0,1.0,0.5,0.1,5.1000000000000005,0.23719771276929622,1.0,1.0,0.5,0.05,2.5500000000000003,0.23719771276929622,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,30_to_50pct,2,198,200,0.6994949494949495,0.030309278350515466,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,30_to_50pct,2,198,200,0.6338383838383839,0.02115171650055371,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,30_to_50pct,2,198,200,0.7828282828282829,0.05827505827505827,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,5.0,0.1710330840677181,1.0
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,30_to_50pct,2,198,200,0.8939393939393939,0.10897435897435898,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,10.0,0.21840743681816419,1.0,1.0,0.5,0.05,5.0,0.21840743681816419,1.0
mouse,mouse:P47242,all,background,ipin_baseline,at_least_80pct,2,100,102,0.99,0.75,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8772153153380493,1.0,2.0,1.0,0.2,10.200000000000001,0.8772153153380493,1.0,2.0,1.0,0.1,5.1000000000000005,0.8772153153380493,1.0
mouse,mouse:P47242,all,background,ipin_optimized,at_least_80pct,2,100,102,0.995,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.9197207891481876,1.0,2.0,1.0,0.2,10.200000000000001,0.9197207891481876,1.0,2.0,1.0,0.1,5.1000000000000005,0.9197207891481876,1.0
mouse,mouse:P47242,all,background,tuna_retrained,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,all,background,ipin_tuna_31k,at_least_80pct,2,100,102,0.97,0.625,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.8065735963827293,1.0,2.0,1.0,0.1,5.1000000000000005,0.8065735963827293,1.0
mouse,mouse:P47242,all,matched,ipin_baseline,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,all,matched,ipin_optimized,at_least_80pct,2,100,102,1.0,1.0,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,1.0,1.0,2.0,1.0,0.2,10.200000000000001,1.0,1.0,2.0,1.0,0.1,5.1000000000000005,1.0,1.0
mouse,mouse:P47242,all,matched,tuna_retrained,at_least_80pct,2,100,102,0.96,0.6,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.7903864795495061,1.0,2.0,1.0,0.1,5.1000000000000005,0.7903864795495061,1.0
mouse,mouse:P47242,all,matched,ipin_tuna_31k,at_least_80pct,2,100,102,0.915,0.5526315789473684,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,1.0,0.5,0.1,5.1000000000000005,0.6131471927654584,1.0,2.0,1.0,0.1,5.1000000000000005,0.7550160946314525,1.0
mouse,mouse:P47242,all,all_U,ipin_baseline,at_least_80pct,2,200,202,0.9875,0.6428571428571428,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,2.0,1.0,0.2,20.2,0.8175295903539445,1.0,2.0,1.0,0.1,10.1,0.8175295903539445,1.0
mouse,mouse:P47242,all,all_U,ipin_optimized,at_least_80pct,2,200,202,0.9975,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,40.4,0.9197207891481876,1.0,2.0,1.0,0.2,20.2,0.9197207891481876,1.0,2.0,1.0,0.1,10.1,0.9197207891481876,1.0
mouse,mouse:P47242,all,all_U,tuna_retrained,at_least_80pct,2,200,202,0.9725,0.5769230769230769,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,2.0,1.0,0.1,10.1,0.7741900178546666,1.0
mouse,mouse:P47242,all,all_U,ipin_tuna_31k,at_least_80pct,2,200,202,0.9425,0.54,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,1.0,0.5,0.05,5.05,0.6131471927654584,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,at_least_80pct,2,100,102,0.99,0.75,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8772153153380493,1.0,2.0,1.0,0.2,10.200000000000001,0.8772153153380493,1.0,2.0,1.0,0.1,5.1000000000000005,0.8772153153380493,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,at_least_80pct,2,100,102,0.995,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.9197207891481876,1.0,2.0,1.0,0.2,10.200000000000001,0.9197207891481876,1.0,2.0,1.0,0.1,5.1000000000000005,0.9197207891481876,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,background,ipin_tuna_31k,at_least_80pct,2,100,102,0.97,0.625,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.8065735963827293,1.0,2.0,1.0,0.1,5.1000000000000005,0.8065735963827293,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,at_least_80pct,2,100,102,1.0,1.0,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,1.0,1.0,2.0,1.0,0.2,10.200000000000001,1.0,1.0,2.0,1.0,0.1,5.1000000000000005,1.0,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,at_least_80pct,2,100,102,0.96,0.6,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.7903864795495061,1.0,2.0,1.0,0.1,5.1000000000000005,0.7903864795495061,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,at_least_80pct,2,100,102,0.915,0.5526315789473684,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,1.0,0.5,0.1,5.1000000000000005,0.6131471927654584,1.0,2.0,1.0,0.1,5.1000000000000005,0.7550160946314525,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,at_least_80pct,2,200,202,0.9875,0.6428571428571428,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,2.0,1.0,0.2,20.2,0.8175295903539445,1.0,2.0,1.0,0.1,10.1,0.8175295903539445,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,at_least_80pct,2,200,202,0.9975,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,40.4,0.9197207891481876,1.0,2.0,1.0,0.2,20.2,0.9197207891481876,1.0,2.0,1.0,0.1,10.1,0.9197207891481876,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,at_least_80pct,2,200,202,0.9725,0.5769230769230769,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,2.0,1.0,0.1,10.1,0.7741900178546666,1.0
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,at_least_80pct,2,200,202,0.9425,0.54,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,1.0,0.5,0.05,5.05,0.6131471927654584,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,at_least_80pct,2,100,102,0.99,0.75,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8772153153380493,1.0,2.0,1.0,0.2,10.200000000000001,0.8772153153380493,1.0,2.0,1.0,0.1,5.1000000000000005,0.8772153153380493,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,at_least_80pct,2,100,102,0.995,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.9197207891481876,1.0,2.0,1.0,0.2,10.200000000000001,0.9197207891481876,1.0,2.0,1.0,0.1,5.1000000000000005,0.9197207891481876,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_tuna_31k,at_least_80pct,2,100,102,0.97,0.625,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.8065735963827293,1.0,2.0,1.0,0.1,5.1000000000000005,0.8065735963827293,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,at_least_80pct,2,100,102,0.985,0.7,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,0.8503449055347546,1.0,2.0,1.0,0.2,10.200000000000001,0.8503449055347546,1.0,2.0,1.0,0.1,5.1000000000000005,0.8503449055347546,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,at_least_80pct,2,100,102,1.0,1.0,1,1,1.0,1.0,2.0,1.0,0.4,20.400000000000002,1.0,1.0,2.0,1.0,0.2,10.200000000000001,1.0,1.0,2.0,1.0,0.1,5.1000000000000005,1.0,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,at_least_80pct,2,100,102,0.96,0.6,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,2.0,1.0,0.2,10.200000000000001,0.7903864795495061,1.0,2.0,1.0,0.1,5.1000000000000005,0.7903864795495061,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,at_least_80pct,2,100,102,0.915,0.5526315789473684,1,1,1.0,1.0,1.0,0.5,0.2,10.200000000000001,0.6131471927654584,1.0,1.0,0.5,0.1,5.1000000000000005,0.6131471927654584,1.0,2.0,1.0,0.1,5.1000000000000005,0.7550160946314525,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,at_least_80pct,2,200,202,0.9875,0.6428571428571428,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,2.0,1.0,0.2,20.2,0.8175295903539445,1.0,2.0,1.0,0.1,10.1,0.8175295903539445,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,at_least_80pct,2,200,202,0.9975,0.8333333333333333,1,1,1.0,1.0,2.0,1.0,0.4,40.4,0.9197207891481876,1.0,2.0,1.0,0.2,20.2,0.9197207891481876,1.0,2.0,1.0,0.1,10.1,0.9197207891481876,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,at_least_80pct,2,200,202,0.9725,0.5769230769230769,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,2.0,1.0,0.1,10.1,0.7741900178546666,1.0
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,at_least_80pct,2,200,202,0.9425,0.54,1,1,1.0,1.0,1.0,0.5,0.2,20.2,0.6131471927654584,1.0,1.0,0.5,0.1,10.1,0.6131471927654584,1.0,1.0,0.5,0.05,5.05,0.6131471927654584,1.0
mouse,mouse:Q9JL10,all,background,ipin_baseline,at_least_80pct,7,100,107,0.49142857142857144,0.10633498186159407,3,3,3.0,0.3333333333333333,1.0,0.14285714285714285,0.2,3.057142857142858,0.16958010263680806,1.0,1.0,0.14285714285714285,0.1,1.528571428571429,0.13743816645714543,1.0,1.0,0.14285714285714285,0.05,0.7642857142857145,0.13743816645714543,1.0
mouse,mouse:Q9JL10,all,background,ipin_optimized,at_least_80pct,7,100,107,0.6042857142857143,0.1470876299779954,2,2,2.0,0.5,1.0,0.14285714285714285,0.2,3.057142857142858,0.21398626473452756,1.0,1.0,0.14285714285714285,0.1,1.528571428571429,0.17342765698823948,1.0,1.0,0.14285714285714285,0.05,0.7642857142857145,0.17342765698823948,1.0
mouse,mouse:Q9JL10,all,background,tuna_retrained,at_least_80pct,7,100,107,0.45714285714285713,0.09587539970999219,10,10,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.1,1.528571428571429,0.07945707943276742,1.0,3.0,0.42857142857142855,0.15,2.292857142857143,0.21844749117683446,1.0
mouse,mouse:Q9JL10,all,background,ipin_tuna_31k,at_least_80pct,7,100,107,0.40285714285714286,0.05947051504415658,26,26,26.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:Q9JL10,all,matched,ipin_baseline,at_least_80pct,7,100,107,0.5571428571428572,0.11478687264457453,3,3,3.0,0.3333333333333333,1.0,0.14285714285714285,0.2,3.057142857142858,0.16958010263680806,1.0,1.0,0.14285714285714285,0.1,1.528571428571429,0.13743816645714543,1.0,1.0,0.14285714285714285,0.05,0.7642857142857145,0.13743816645714543,1.0
mouse,mouse:Q9JL10,all,matched,ipin_optimized,at_least_80pct,7,100,107,0.5942857142857143,0.10920380808532038,4,4,4.0,0.25,1.0,0.14285714285714285,0.2,3.057142857142858,0.14606834984270645,1.0,1.0,0.14285714285714285,0.1,1.528571428571429,0.11838279295536293,1.0,1.0,0.14285714285714285,0.05,0.7642857142857145,0.11838279295536293,1.0
mouse,mouse:Q9JL10,all,matched,tuna_retrained,at_least_80pct,7,100,107,0.48142857142857143,0.09061798880487948,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,0.15,2.292857142857143,0.2072200392177177,1.0
mouse,mouse:Q9JL10,all,matched,ipin_tuna_31k,at_least_80pct,7,100,107,0.4942857142857143,0.07564540554243551,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.05,0.7642857142857145,0.07428207290250749,1.0
