row_index,query_gene,query_uniprot,partner_gene,partner_uniprot,class,train_17k_P_sequence,train_17k_P_accession,train_17k_P,train_31k_P_sequence,train_31k_P_accession,train_31k_P,train_U_pool_sequence,train_U_pool_accession,train_U_pool,selection_dev_legacy_P_sequence,selection_dev_legacy_P_accession,selection_dev_legacy_P,selection_dev_legacy_U_sequence,selection_dev_legacy_U_accession,selection_dev_legacy_U,selection_dev_added_P_sequence,selection_dev_added_P_accession,selection_dev_added_P,selection_dev_added_U_sequence,selection_dev_added_U_accession,selection_dev_added_U,newly_added_train_P,selected_31k_prior_pair
43,ERN1,O75460,CLGN,O14967,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,ERN1,O75460,LBR,Q14739,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,ERN1,O75460,GRAMD1A,Q96CP6,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,ERN1,O75460,ERMP1,Q7Z2K6,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,ERN1,O75460,SLC30A1,Q9Y6M5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,ERN1,O75460,ANO5,Q75V66,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,ERN1,O75460,DSE,Q9UL01,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,ERN1,O75460,CSPG5,O95196,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,ERN1,O75460,RHBDF2,Q6PJF5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,ERN1,O75460,TMEM67,Q5HYA8,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,ERN1,O75460,ANKLE2,Q86XL3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,ERN1,O75460,SEMA4B,Q9NPR2,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
55,ERN1,O75460,ARCN1,P48444,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,ERN1,O75460,INTS3,Q68E01,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,ERN1,O75460,DCAF8L2,P0C7V8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,ERN1,O75460,DCLRE1C,Q96SD1,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59,ERN1,O75460,SYN1,P17600,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,ERN1,O75460,TGM1,P22735,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,ERN1,O75460,NLRP10,Q86W26,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,ERN1,O75460,LGALS3BP,Q08380,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,ERN1,O75460,NCOA2,Q15596,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,ERN1,O75460,CTNND1,O60716,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,ERN1,O75460,FLYWCH1,Q4VC44,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,ERN1,O75460,ANO8,Q9HCE9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,ERN1,O75460,PRKD1,Q15139,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,ERN1,O75460,ZNF546,Q86UE3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,ERN1,O75460,NPHP4,O75161,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,ERN1,O75460,DENND1A,Q8TEH3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,ERN1,O75460,ENTPD2,Q9Y5L3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,ERN1,O75460,EXO1,Q9UQ84,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,ERN1,O75460,ITGA6,P23229,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,ERN1,O75460,DLL4,Q9NR61,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,ERN1,O75460,ANKRD13C,Q8N6S4,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,ERN1,O75460,EPHA6,Q9UF33,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,ERN1,O75460,CYP1B1,Q16678,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,ERN1,O75460,SESN3,P58005,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,ERN1,O75460,AP1G2,O75843,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,ERN1,O75460,MARK4,Q96L34,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,ERN1,O75460,ZSWIM6,Q9HCJ5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,ERN1,O75460,MAP3K11,Q16584,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,ERN1,O75460,SLC22A10,Q63ZE4,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,ERN1,O75460,STK31,Q9BXU1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,ERN1,O75460,FAM91A1,Q658Y4,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,ERN1,O75460,DLAT,P10515,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,ERN1,O75460,SLC6A4,P31645,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,ERN1,O75460,CCDC14,Q49A88,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,ERN1,O75460,EIF4G3,O43432,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,ERN1,O75460,NUP160,Q12769,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,ERN1,O75460,ADAM11,O75078,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,ERN1,O75460,PLAG1,Q6DJT9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,ERN1,O75460,REXO1,Q8N1G1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,ERN1,O75460,ACVRL1,P37023,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,ERN1,O75460,ZNF287,Q9HBT7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,ERN1,O75460,TFRC,P02786,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,ERN1,O75460,KCNH1,O95259,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,ERN1,O75460,DIAPH1,O60610,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,ERN1,O75460,PHTF2,Q8N3S3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,ERN1,O75460,PGLYRP2,Q96PD5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,ERN1,O75460,PHACTR4,Q8IZ21,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,ERN1,O75460,KANK1,Q14678,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,ERN1,O75460,ROCK2,O75116,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,ERN1,O75460,POGLUT1,Q8NBL1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,ERN1,O75460,SIRT6,Q8N6T7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,ERN1,O75460,ATG14,Q6ZNE5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,ERN1,O75460,MTMR9,Q96QG7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,ERN1,O75460,PRSS50,Q9UI38,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,ERN1,O75460,SCYL1,Q96KG9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,ERN1,O75460,TRIM32,Q13049,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,ERN1,O75460,NHLRC1,Q6VVB1,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,ERN1,O75460,SULF2,Q8IWU5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,ERN1,O75460,CYP2C18,P33260,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,ERN1,O75460,TESPA1,A2RU30,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,ERN1,O75460,CYP26A1,O43174,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,ERN1,O75460,CYP2F1,P24903,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,ERN1,O75460,NPHS2,Q9NP85,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,ERN1,O75460,CYP2J2,P51589,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,ERN1,O75460,ASPSCR1,Q9BZE9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,ERN1,O75460,PDIA4,P13667,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,ERN1,O75460,RSAD2,Q8WXG1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122,ERN1,O75460,RCN3,Q96D15,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,ERN1,O75460,KLHL14,Q9P2G3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,ERN1,O75460,CALR,P27797,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,ERN1,O75460,SEC24D,O94855,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,ERN1,O75460,PLOD3,O60568,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,ERN1,O75460,SRP68,Q9UHB9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,ERN1,O75460,LGI1,O95970,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,ERN1,O75460,GASK1A,Q9UFP1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,ERN1,O75460,RASGRP1,O95267,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,ERN1,O75460,AZIN2,Q96A70,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,ERN1,O75460,DDN,O94850,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,ERN1,O75460,COLGALT1,Q8NBJ5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,ERN1,O75460,P3H1,Q32P28,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,ERN1,O75460,CTTN,Q14247,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,ERN1,O75460,MMP27,Q9H306,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,ERN1,O75460,CYP26B1,Q9NR63,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,ERN1,O75460,PIP4K2C,Q8TBX8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,ERN1,O75460,CYP3A43,Q9HB55,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
140,ERN1,O75460,LSG1,Q9H089,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,ERN1,O75460,AHCY,P23526,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,ERN1,O75460,NCK2,O43639,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,ERN1,O75460,UBA5,Q9GZZ9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,ERN1,O75460,CYP2W1,Q8TAV3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,ERN1,O75460,SQSTM1,Q13501,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,ERN1,O75460,UFL1,O94874,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,ERN1,O75460,POFUT1,Q9H488,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,ERN1,O75460,ZC3H12A,Q5D1E8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,ERN1,O75460,CLEC18A,A5D8T8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,ERN1,O75460,GORASP2,Q9H8Y8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
151,ERN1,O75460,HYAL3,O43820,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
152,ERN1,O75460,CYP1A1,P04798,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,ERN1,O75460,LPIN1,Q14693,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,ERN1,O75460,TMC8,Q8IU68,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,ERN1,O75460,DLX2,Q07687,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,ERN1,O75460,ETV6,P41212,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,ERN1,O75460,OSBPL10,Q9BXB5,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,ERN1,O75460,HLX,Q14774,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
159,ERN1,O75460,MMP15,P51511,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,ERN1,O75460,PELI2,Q9HAT8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
161,ERN1,O75460,TEKT3,Q9BXF9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
162,ERN1,O75460,NFKBIZ,Q9BYH8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,ERN1,O75460,HAPLN1,P10915,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,ERN1,O75460,CATSPERG,Q6ZRH7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
165,ERN1,O75460,CASS4,Q9NQ75,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
166,ERN1,O75460,CPNE2,Q96FN4,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,ERN1,O75460,ZBTB49,Q6ZSB9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,ERN1,O75460,ITGAM,P11215,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,ERN1,O75460,ZNF687,Q8N1G0,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,ERN1,O75460,GNAQ,P50148,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,ERN1,O75460,QKI,Q96PU8,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,ERN1,O75460,FOLH1,Q04609,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
173,ERN1,O75460,POLRMT,O00411,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174,ERN1,O75460,TTLL2,Q9BWV7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,ERN1,O75460,ADAM22,Q9P0K1,U,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
176,ERN1,O75460,CPB2,Q96IY4,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,ERN1,O75460,ODAD4,Q96NG3,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,ERN1,O75460,PPM1B,O75688,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
179,ERN1,O75460,GPC4,O75487,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,ERN1,O75460,OTOP1,Q7RTM1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,ERN1,O75460,ERVS71-1,P61550,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,ERN1,O75460,TGFBRAP1,Q8WUH2,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,ERN1,O75460,CA12,O43570,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,ERN1,O75460,CAMK1,Q14012,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,ERN1,O75460,RABEPK,Q7Z6M1,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
186,ERN1,O75460,LRRC8B,Q6P9F7,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,ERN1,O75460,TTC39A,Q5SRH9,U,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
